row_id,account_id,event_time,amount,category
R00463,A0007,1772756100000,4.95,rent
R00464,A0065,1772757780000,24.22,other
R00465,A0030,1772759700000,16.5,travel
R00466,A0125,1772760600000,2.96,salary
R00467,A0077,1772761920000,2.26,rent
R00468,A0113,1772763240000,18.14,travel
R00469,A0100,1772763240000,26.5,rent
R00470,A0059,1772763300000,4.89,travel
R00471,A0095,1772763300000,13.44,other
R00472,A0060,1772763540000,87.05,travel
R00473,A0130,1772764260000,11.53,other
R00474,A0087,1772764440000,10.51,grocery
R00475,A0148,1772764560000,10.55,other
R00476,A0064,1772764680000,83.07,grocery
R00477,A0090,1772764920000,31.83,rent
R00478,A0021,1772765040000,1.81,other
R00479,A0069,1772765160000,12.09,travel
R00480,A0096,1772766360000,12.61,salary
R00481,A0074,1772766600000,18.75,other
R00482,A0126,1772766720000,27.89,salary
R00483,A0111,1772767020000,6.84,travel
R00484,A0022,1772767140000,63.69,salary
R00485,A0116,1772768040000,1.34,grocery
R00486,A0122,1772768220000,11.6,travel
R00487,A0036,1772768700000,12.77,other
R00488,A0121,1772769600000,33.88,other
R00489,A0064,1772771280000,3.65,salary
R00490,A0053,1772772060000,22.7,other
R00491,A0061,1772772660000,10.54,grocery
R00492,A0021,1772773080000,4.56,rent
R00493,A0095,1772773080000,41.46,grocery
R00494,A0123,1772773440000,11.68,travel
R00495,A0120,1772773620000,42.34,grocery
R00496,A0030,1772774820000,13.54,salary
R00497,A0101,1772775120000,4.25,grocery
R00498,A0008,1772775180000,10.56,salary
R00499,A0146,1772776800000,9.88,rent
R00500,A0112,1772776920000,6.18,rent
R00501,A0006,1772777640000,2.35,salary
R00502,A0014,1772778300000,80.58,travel
R00503,A0145,1772779260000,18.83,salary
R00504,A0110,1772779920000,28.21,rent
R00505,A0062,1772780340000,7.66,salary
R00506,A0129,1772780760000,18.4,salary
R00507,A0004,1772780820000,37.77,rent
R00508,A0063,1772781540000,26.6,grocery
R00509,A0067,1772781900000,55.05,grocery
R00510,A0056,1772782440000,28.05,travel
R00511,A0025,1772783640000,6.25,rent
R00512,A0031,1772783760000,19.76,travel
R00513,A0121,1772783820000,49.2,grocery
R00514,A0123,1772784420000,41.6,grocery
R00515,A0083,1772784480000,34.59,grocery
R00516,A0055,1772784660000,3.89,rent
R00517,A0031,1772785080000,47.78,other
R00518,A0134,1772785320000,22.67,travel
R00519,A0041,1772787120000,21.03,other
R00520,A0001,1772787360000,21.73,rent
R00521,A0008,1772788080000,35.86,salary
R00522,A0127,1772788260000,14.08,rent
R00523,A0140,1772790300000,33.27,travel
R00524,A0059,1772790900000,12.95,travel
R00525,A0110,1772792160000,5.57,other
R00526,A0141,1772792940000,21.68,grocery
R00527,A0080,1772795220000,9.56,grocery
R00528,A0090,1772796120000,6.96,grocery
R00529,A0033,1772797560000,12.89,other
R00530,A0029,1772798820000,81.04,salary
R00531,A0120,1772799120000,10.47,grocery
R00532,A0123,1772799300000,35.51,other
R00533,A0027,1772799540000,12.17,other
R00534,A0145,1772800620000,88.47,rent
R00535,A0112,1772800740000,13.8,travel
R00536,A0072,1772801340000,38.09,grocery
R00537,A0112,1772801400000,2.95,rent
R00538,A0124,1772804640000,29.43,rent
R00539,A0041,1772805360000,13.49,travel
R00540,A0136,1772805420000,15.72,salary
R00541,A0134,1772806620000,57.09,grocery
R00542,A0118,1772806860000,33.38,other
R00543,A0062,1772807340000,15.16,rent
R00544,A0133,1772807640000,28.82,rent
R00545,A0135,1772807700000,9.41,rent
R00546,A0103,1772808480000,86.19,grocery
R00547,A0134,1772812020000,6.83,other
R00548,A0002,1772812320000,13.82,grocery
R00549,A0029,1772813640000,202.4,rent
R00550,A0142,1772813820000,26.21,rent
R00551,A0001,1772814540000,16.32,other
R00552,A0139,1772816880000,26.46,rent
R00553,A0051,1772819220000,96.0,salary
R00554,A0094,1772820780000,27.99,other
R00555,A0099,1772821260000,20.47,travel
R00556,A0003,1772821680000,103.18,other
R00557,A0117,1772821800000,27.1,other
R00558,A0110,1772822100000,10.27,salary
R00559,A0101,1772823060000,47.84,salary
R00560,A0105,1772823060000,18.84,other
R00561,A0093,1772823540000,26.15,travel
R00562,A0110,1772824140000,92.77,salary
R00563,A0148,1772824140000,85.24,grocery
R00564,A0104,1772824680000,58.59,other
R00565,A0114,1772825760000,5.26,salary
R00566,A0048,1772826120000,12.52,other
R00567,A0142,1772827260000,18.71,grocery
R00568,A0141,1772827920000,7.24,other
R00569,A0075,1772827920000,5.95,rent
R00570,A0076,1772830440000,17.6,salary
R00571,A0069,1772832180000,15.48,other
R00572,A0052,1772833200000,53.11,salary
R00573,A0117,1772833200000,13.16,travel
R00574,A0105,1772833440000,8.91,salary
R00575,A0042,1772833920000,5.72,rent
R00576,A0072,1772835540000,9.04,travel
R00577,A0148,1772836380000,31.71,rent
R00578,A0097,1772836560000,17.69,grocery
R00579,A0045,1772837580000,23.31,other
R00580,A0066,1772838480000,9.08,salary
R00581,A0027,1772838480000,19.48,travel
R00582,A0149,1772838720000,2.42,other
R00583,A0010,1772839680000,18.47,salary
R00584,A0139,1772839800000,16.23,salary
R00585,A0055,1772839980000,73.62,other
R00586,A0067,1772840640000,34.13,other
R00587,A0073,1772840760000,91.82,other
R00588,A0052,1772840880000,12.21,travel
R00589,A0039,1772841480000,51.25,other
