account_id,event_time,sessions_7d
A0000,1767241139000,18
A0000,1767892431000,31
A0000,1768477775000,22
A0000,1769094195000,37
A0000,1769669740000,15
A0000,1770266197000,2
A0000,1770894634000,32
A0000,1771513335000,6
A0000,1772105915000,30
A0000,1772701087000,16
A0000,1773338412000,9
A0000,1773898279000,1
A0000,1774571271000,11
A0001,1767316725000,13
A0001,1767902371000,37
A0001,1768569766000,29
A0001,1769114717000,2
A0001,1769694637000,26
A0001,1770368457000,31
A0001,1770948249000,20
A0001,1771545772000,33
A0001,1772116743000,8
A0001,1772749747000,34
A0001,1773351988000,35
A0001,1773931484000,30
A0001,1774573872000,32
A0002,1767319834000,10
A0002,1767933663000,20
A0002,1768574629000,6
A0002,1769189936000,30
A0002,1769724597000,29
A0002,1770336132000,7
A0002,1771007148000,16
A0002,1771612155000,31
A0002,1772198200000,15
A0002,1772828583000,13
A0002,1773420097000,28
A0002,1773985589000,8
A0002,1774574895000,32
A0003,1767293398000,22
A0003,1767939159000,5
A0003,1768513681000,26
A0003,1769172674000,25
A0003,1769719450000,2
A0003,1770324737000,15
A0003,1770912916000,29
A0003,1771576365000,15
A0003,1772141384000,14
A0003,1772749774000,9
A0003,1773333009000,19
A0003,1773943818000,26
A0003,1774594050000,30
A0004,1767272473000,9
A0004,1767878221000,19
A0004,1768503855000,11
A0004,1769101946000,19
A0004,1769718480000,38
A0004,1770287738000,18
A0004,1770913819000,36
A0004,1771547981000,7
A0004,1772122533000,8
A0004,1772718601000,20
A0004,1773347323000,24
A0004,1773919182000,3
A0004,1774541481000,24
A0005,1767331185000,30
A0005,1767905779000,17
A0005,1768483865000,28
A0005,1769118923000,39
A0005,1769714793000,29
A0005,1770350158000,19
A0005,1770942064000,26
A0005,1771519685000,16
A0005,1772171652000,12
A0005,1772707402000,24
A0005,1773357511000,16
A0005,1773996623000,6
A0005,1774545400000,14
A0006,1767275784000,26
A0006,1767905286000,7
A0006,1768522256000,25
A0006,1769110683000,7
A0006,1769682589000,26
A0006,1770290945000,12
A0006,1770948748000,35
A0006,1771550707000,23
A0006,1772103214000,23
A0006,1772678391000,27
A0006,1773343745000,13
A0006,1773906391000,2
A0006,1774574628000,15
A0007,1767285077000,7
A0007,1767869864000,20
A0007,1768474967000,5
A0007,1769059650000,19
A0007,1769740807000,8
A0007,1770278767000,6
A0007,1770887564000,33
A0007,1771560740000,35
A0007,1772164189000,11
A0007,1772701814000,15
A0007,1773348696000,27
A0007,1773956186000,12
A0007,1774514091000,7
A0008,1767303675000,15
A0008,1767940293000,37
A0008,1768479373000,0
A0008,1769085085000,27
A0008,1769745196000,18
A0008,1770334021000,35
A0008,1770912770000,22
A0008,1771541088000,6
A0008,1772166107000,12
A0008,1772771415000,24
A0008,1773320610000,15
A0008,1773982103000,5
A0008,1774548890000,2
A0009,1767337767000,34
A0009,1767959068000,25
A0009,1768545852000,10
A0009,1769115027000,18
A0009,1769782644000,2
A0009,1770341138000,26
A0009,1771003643000,18
A0009,1771606964000,29
A0009,1772180750000,3
A0009,1772756691000,3
A0009,1773346192000,12
A0009,1773995293000,1
A0009,1774631820000,6
