row_id,status,balance,updated_at
R00205,dormant,3256.07,1770296760000
R00316,closed,2234.22,1770220200000
R00361,closed,8209.22,1770288660000
R00186,dormant,4819.58,1770268980000
R00015,active,5151.75,1770162180000
R00324,active,5617.19,1770310260000
R00144,closed,4278.05,1770060480000
R00217,active,5345.91,1770489360000
R00271,active,2631.69,1770258240000
R00238,active,4575.03,1770415920000
R00335,active,6203.73,1770471720000
R00395,active,7032.85,1770104220000
R00346,closed,6223.13,1770425700000
R00286,closed,2622.7,1770101940000
R00029,active,6473.15,1770277740000
R00196,dormant,5492.45,1770176700000
R00304,active,9324.66,1770328020000
R00242,dormant,2410.25,1770409320000
R00054,dormant,5564.79,1770005460000
R00256,closed,7318.35,1770480360000
R00296,dormant,1358.84,1770084060000
R00348,closed,2354.11,1769915820000
R00043,closed,3323.21,1770132900000
R00399,dormant,2113.89,1770394800000
R00063,dormant,3445.19,1770218460000
R00210,active,5224.64,1770182100000
R00215,active,3731.2,1770216180000
R00369,closed,3001.4,1770364680000
R00151,active,3337.01,1769957820000
R00170,closed,4984.37,1770220500000
R00248,active,-288.55,1769921460000
R00087,dormant,3906.68,1770332580000
R00044,dormant,6412.64,1769947020000
R00021,dormant,6790.03,1770318660000
R00138,active,2987.88,1770346680000
R00130,active,8624.31,1770256920000
R00078,dormant,4083.44,1770225600000
R00195,closed,5304.69,1769985300000
R00337,closed,3552.81,1770388980000
R00310,active,5131.96,1769993340000
R00297,active,9358.88,1770192180000
R00368,closed,5612.52,1770075780000
R00355,dormant,2497.24,1770121080000
R00295,active,3718.33,1770360300000
R00283,closed,6346.49,1769940120000
R00141,closed,8082.09,1770299520000
R00071,closed,7881.86,1770331680000
R00265,dormant,3167.76,1769926080000
R00022,dormant,4595.23,1769982720000
R00270,closed,4204.6,1770100920000
R00140,dormant,6151.97,1770100920000
R00372,closed,6458.28,1770233940000
R00058,closed,3065.64,1770121620000
R00068,active,5523.58,1769928060000
R00127,closed,5523.33,1769953140000
R00229,closed,7025.69,1770104880000
R00062,active,5537.51,1770331500000
R00146,closed,4384.55,1770495360000
R00037,closed,2163.13,1770064140000
R00392,closed,3150.67,1770144540000
R00011,closed,6656.89,1769981520000
R00363,active,7725.82,1770427620000
R00111,active,4936.71,1770496860000
R00254,closed,3550.48,1769957160000
R00175,closed,4055.01,1770342480000
R00102,closed,5952.06,1770334260000
R00121,active,9261.49,1770319980000
R00093,active,5841.06,1769942760000
R00330,closed,5344.01,1770107580000
R00322,closed,5289.42,1770238560000
R00321,active,3984.07,1770486480000
R00066,closed,1785.76,1770114000000
R00239,dormant,3687.83,1769994480000
R00274,dormant,1835.03,1769972460000
R00302,dormant,129.33,1770210480000
R00345,active,4895.89,1770124920000
