row_id,account_id,event_time,amount,category
R00000,A0067,1769904840000,8256.56,grocery
R00001,A0030,1769905740000,425.67,rent
R00002,A0030,1769909580000,5282.46,other
R00003,A0029,1769920500000,9047.12,rent
R00004,A0097,1769937540000,7147.33,rent
R00005,A0034,1769937660000,1518.06,other
R00006,A0085,1769938080000,7676.95,rent
R00007,A0137,1769942040000,5700.65,travel
R00008,A0041,1769945820000,5914.62,other
R00009,A0085,1769962380000,7321.92,rent
R00010,A0136,1769963460000,9307.1,travel
R00011,A0072,1769966040000,6981.31,grocery
R00012,A0108,1769975220000,4988.97,salary
R00013,A0003,1769984220000,6143.32,other
R00014,A0059,1769988960000,5038.48,rent
R00015,A0044,1769993220000,5101.95,rent
R00016,A0067,1769993460000,3143.12,grocery
R00017,A0125,1769994900000,4247.32,REFUND
R00018,A0007,1769995920000,5107.21,grocery
R00019,A0085,1769996040000,2352.19,other
R00020,A0132,1769999340000,7137.9,grocery
R00021,A0078,1770003420000,4652.24,travel
R00022,A0039,1770022740000,8775.47,rent
R00023,A0137,1770067500000,7122.17,salary
R00024,A0139,1770072120000,6278.78,travel
R00025,A0128,1770075180000,9223.78,rent
R00026,A0004,1770075180000,242.91,travel
R00027,A0014,1770075480000,1521.12,grocery
R00028,A0120,1770096060000,5221.79,travel
R00029,A0023,1770096360000,1800.96,travel
R00030,A0105,1770100860000,-749.8,grocery
R00031,A0108,1770103920000,2192.17,other
R00032,A0020,1770117600000,2615.07,rent
R00033,A0121,1770124800000,8708.17,salary
R00034,A0060,1770125040000,9478.74,salary
R00035,A0149,1770128040000,693.58,rent
R00036,A0133,1770130440000,4051.82,other
R00037,A0051,1770132180000,482.97,rent
R00038,A0038,1770132600000,,travel
R00039,A0019,1770133500000,4427.89,travel
R00040,A0121,1770138600000,3114.03,rent
R00041,A0057,1770141840000,8664.57,rent
R00042,A0009,1770150840000,5411.86,rent
R00043,A0065,1770151020000,2376.24,misc
R00044,A0095,1770158760000,4198.75,other
R00045,A0002,1770162120000,5455.42,rent
R00046,A0021,1770195840000,4383.54,rent
R00047,A0016,1770201000000,7943.39,grocery
R00048,A0106,1770205140000,356.12,travel
R00049,A0070,1770215340000,3974.87,other
R00050,A0059,1770217200000,4928.96,other
R00051,A0037,1770234720000,5794.39,rent
R00052,A0072,1770234840000,390.5,salary
R00053,A0073,1770235140000,5470.97,rent
R00054,A0132,1770241260000,7592.25,salary
R00055,A0092,1770243240000,1736.74,salary
R00056,A0027,1770244380000,79.31,grocery
R00057,A0042,1770248400000,6136.41,salary
R00058,A0082,1770250560000,5671.7,salary
R00059,A0070,1770256680000,7148.84,rent
R00060,A0087,1770270720000,8647.73,rent
R00061,A0034,1770279420000,5196.38,rent
R00062,A0146,1770286320000,8414.45,travel
R00063,A0038,1770297360000,7853.81,grocery
R00064,A0142,1770308340000,8755.01,travel
R00065,A0009,1770322740000,9204.66,travel
R00066,A0061,1770323700000,980.32,travel
R00067,A0090,1770324120000,5121.94,grocery
R00068,A0120,1770327720000,19476.03,salary
R00069,A0016,1770330420000,3535.56,travel
R00070,A0125,1770331500000,5977.29,rent
R00071,A0121,1770332040000,4455.17,travel
R00072,A0123,1770338580000,2499.73,other
R00073,A0084,1770339420000,2400.67,other
R00074,A0118,1770339540000,8455.42,grocery
R00075,A0145,1770353880000,5788.25,grocery
R00076,A0145,1770356160000,2195.81,salary
R00077,A0093,1770356700000,2702.29,rent
R00078,A0105,1770372240000,2147.25,salary
R00079,A0141,1770372360000,5164.22,grocery
R00080,A0058,1770375420000,9290.04,salary
R00081,A0045,1770376980000,4120.83,rent
R00082,A0019,1770381480000,1381.5,travel
R00083,A0064,1770394260000,3410.52,rent
R00084,A0056,1770396840000,1324.1,rent
R00085,A0006,1770398880000,5182.62,other
R00086,A0074,1770406740000,8321.38,rent
R00087,A0059,1770413400000,7930.83,other
R00088,A0057,1770423600000,981.01,grocery
R00089,A0105,1770436560000,6815.79,rent
R00090,A0037,1770442500000,1386.51,grocery
R00091,A0044,1770453060000,3210.62,salary
R00092,A0035,1770459480000,2549.57,rent
R00093,A0127,1770460860000,,salary
R00094,A0106,1770462180000,4027.71,rent
R00095,A0065,1770471360000,7168.96,travel
R00096,A0101,1770471540000,5419.2,other
R00097,A0002,1770474180000,6593.09,rent
R00098,A0121,1770477900000,401.74,rent
R00099,A0067,1770481980000,4044.3,rent
R00100,A0026,1770490140000,6646.66,salary
R00101,A0111,1770492960000,8322.16,travel
R00102,A0045,1770502680000,7028.6,travel
R00103,A0121,1770509520000,2024.08,other
R00104,A0121,1770513840000,5397.18,promo??
R00105,A0056,1770514080000,4367.76,other
R00106,A0007,1770520800000,1387.32,other
R00107,A0131,1770521280000,7227.25,salary
R00108,A0024,1770522480000,4428.87,rent
R00109,A0149,1770529680000,3678.92,other
R00110,A0080,1770530640000,6594.04,grocery
R00111,A0037,1770536820000,5478.79,other
R00112,A0026,1770539280000,7102.03,travel
R00113,A0043,1770544920000,8052.55,rent
R00114,A0080,1770559860000,1528.44,rent
R00115,A0118,1770561600000,423.88,grocery
R00116,A0021,1770563760000,1517.3,other
R00117,A0014,1770564240000,7349.29,rent
