row_id,account_id,event_time,amount,category
R00317,A0075,1772669580000,10.86,salary
R00318,A0062,1772671200000,13.27,travel
R00319,A0006,1772671620000,10.55,grocery
R00320,A0010,1772672820000,59.76,grocery
R00321,A0003,1772673000000,77.33,rent
R00322,A0132,1772673180000,13.52,rent
R00323,A0101,1772673480000,6.22,other
R00324,A0005,1772674620000,17.93,other
R00325,A0023,1772675520000,36.45,travel
R00326,A0066,1772676300000,7.81,travel
R00327,A0147,1772676540000,6.02,salary
R00328,A0000,1772678400000,26.64,salary
R00329,A0128,1772678400000,161.42,salary
R00330,A0031,1772678520000,41.31,grocery
R00331,A0133,1772678640000,24.46,grocery
R00332,A0070,1772679420000,69.78,salary
R00333,A0080,1772679600000,40.72,salary
R00334,A0074,1772679780000,11.91,travel
R00335,A0145,1772679960000,37.64,travel
R00336,A0106,1772680020000,19.75,rent
R00337,A0025,1772680260000,13.73,other
R00338,A0067,1772681340000,9.5,grocery
R00339,A0014,1772682300000,24.54,rent
R00340,A0053,1772683260000,43.14,salary
R00341,A0144,1772684940000,2.98,grocery
R00342,A0058,1772685240000,12.1,grocery
R00343,A0124,1772686080000,3.24,other
R00344,A0119,1772687040000,36.64,grocery
R00345,A0049,1772687520000,34.81,rent
R00346,A0126,1772688480000,4.39,rent
R00347,A0084,1772690280000,22.36,rent
R00348,A0143,1772690700000,26.29,salary
R00349,A0118,1772690760000,20.06,rent
R00350,A0022,1772691240000,20.71,other
R00351,A0048,1772691780000,19.7,travel
R00352,A0133,1772694060000,13.02,salary
R00353,A0114,1772694900000,23.42,grocery
R00354,A0044,1772696160000,10.21,rent
R00355,A0009,1772696880000,43.59,rent
R00356,A0116,1772697900000,38.54,travel
R00357,A0110,1772698380000,29.24,grocery
R00358,A0103,1772699580000,6.82,grocery
R00359,A0028,1772701380000,17.07,other
R00360,A0127,1772701920000,105.95,travel
R00361,A0130,1772702220000,17.82,rent
R00362,A0074,1772703960000,3.97,other
R00363,A0145,1772704920000,12.59,rent
R00364,A0061,1772705340000,2.03,other
R00365,A0121,1772706060000,48.76,other
R00366,A0085,1772708880000,11.31,other
R00367,A0083,1772710560000,5.87,travel
R00368,A0084,1772710860000,120.01,salary
R00369,A0002,1772712420000,56.2,rent
R00370,A0029,1772714520000,32.58,salary
R00371,A0021,1772714580000,5.47,travel
R00372,A0097,1772715660000,10.83,travel
R00373,A0085,1772716320000,82.16,travel
R00374,A0009,1772717400000,5.73,grocery
R00375,A0067,1772718720000,30.17,rent
R00376,A0115,1772719200000,5.55,other
R00377,A0134,1772720400000,4.57,salary
R00378,A0094,1772722980000,13.12,travel
R00379,A0071,1772723040000,15.1,other
R00380,A0006,1772723040000,49.21,grocery
R00381,A0029,1772723280000,103.48,travel
R00382,A0007,1772723340000,94.94,rent
R00383,A0004,1772724300000,26.79,rent
R00384,A0125,1772725080000,5.24,salary
R00385,A0110,1772725620000,42.58,travel
R00386,A0072,1772726340000,35.92,travel
R00387,A0064,1772726580000,43.16,salary
R00388,A0057,1772728020000,15.34,salary
R00389,A0108,1772728740000,137.85,travel
R00390,A0012,1772730060000,39.0,rent
R00391,A0038,1772730540000,16.28,rent
R00392,A0071,1772731500000,30.24,rent
R00393,A0139,1772733960000,31.8,rent
R00394,A0085,1772734020000,22.06,other
R00395,A0119,1772734740000,55.06,travel
R00396,A0060,1772735100000,5.16,other
R00397,A0098,1772736060000,11.86,salary
R00398,A0050,1772736240000,15.1,other
R00399,A0086,1772736660000,1.8,travel
R00400,A0073,1772736780000,5.9,grocery
R00401,A0022,1772737080000,18.01,other
R00402,A0036,1772737920000,8.58,travel
R00403,A0059,1772737980000,55.37,other
R00404,A0036,1772740860000,194.56,salary
R00405,A0121,1772742240000,20.03,travel
R00406,A0061,1772742660000,24.37,salary
R00407,A0009,1772743020000,8.56,rent
R00408,A0030,1772743080000,14.81,rent
R00409,A0049,1772744400000,42.01,rent
R00410,A0135,1772745240000,12.85,other
R00411,A0125,1772746680000,11.4,salary
R00412,A0023,1772746800000,8.86,salary
R00413,A0101,1772749020000,37.79,salary
R00414,A0115,1772749200000,6.73,travel
R00415,A0110,1772750220000,9.38,other
R00416,A0144,1772751240000,3.84,grocery
R00417,A0019,1772751300000,37.07,rent
R00418,A0018,1772751360000,4.78,rent
R00419,A0027,1772754240000,6.0,salary
R00420,A0003,1772754720000,5.41,grocery
R00421,A0144,1772755080000,6.92,grocery
