row_id,b_val
R00001,-3.0272
R00003,-2.602
R00004,-7.0713
R00006,4.9785
R00008,-1.8421
R00009,-2.4331
R00010,-0.633
R00011,-1.1321
R00012,-8.3813
R00013,-4.0698
R00014,-10.1499
R00016,5.945
R00017,-2.7351
R00018,-7.952
R00019,-4.0195
R00020,-0.1379
R00021,-7.604
R00022,-5.8904
R00023,-9.5924
R00024,-8.9335
R00025,0.4402
R00026,-5.2469
R00027,-3.9423
R00028,-1.086
R00029,-0.3737
R00030,1.2818
R00031,0.5173
R00032,5.3967
R00035,1.4968
R00036,-3.4091
R00040,0.1828
R00041,-11.2137
R00042,3.8585
R00043,-1.7698
R00044,-2.7731
R00045,1.67
R00048,-6.9566
R00049,-3.3186
R00050,5.0692
R00051,-7.3336
R00052,1.4537
R00053,-4.2688
R00054,-6.4053
R00056,3.5884
R00058,-6.8788
R00060,-1.0732
R00061,-3.9429
R00062,-9.7331
R00065,-4.983
R00067,-2.1543
R00068,0.7134
R00069,-5.2847
R00070,1.1716
R00071,-9.2706
R00073,2.9824
R00074,-8.4698
R00075,-17.2972
R00076,-5.952
R00077,-6.4955
R00078,-4.8701
R00080,0.352
R00082,-7.2868
R00083,1.1253
R00084,1.2104
R00085,-4.161
R00086,-4.2476
R00087,-14.5038
R00089,-7.0988
R00090,7.3237
R00092,-3.0674
R00093,-6.0659
R00094,-0.4211
R00095,-5.3393
R00097,-5.9677
R00098,1.0469
R00099,-11.2909
R00100,-5.2249
R00102,2.9768
R00103,-3.0614
R00104,-1.5514
R00105,-5.8136
R00106,-2.258
R00107,-7.0489
R00111,-5.3041
R00112,-0.8471
R00113,-7.2997
R00114,-8.391
R00115,3.1787
R00116,1.6654
R00117,-5.1453
R00119,-4.9456
R00120,-0.0522
R00121,-5.6711
R00122,-1.4384
R00124,1.5254
R00125,-2.5981
R00127,-3.6928
R00128,-0.524
R00129,-11.758
R00131,-8.1882
R00132,-4.5795
R00134,-3.1722
R00135,-7.1084
R00136,-11.5168
R00137,0.4622
R00138,-8.6859
R00139,-6.8891
R00140,-9.3724
R00141,1.2425
R00143,-5.2459
R00146,-5.329
R00147,0.5186
R00148,-5.8163
R00149,2.0496
R00151,-1.7599
R00152,-7.6175
R00153,-8.2038
R00155,-6.7335
R00156,-0.7744
R00157,-5.0443
R00158,5.443
R00159,-2.5254
R00160,-0.4139
R00161,-1.6881
R00162,-12.6806
R00163,-4.1139
R00165,-4.82
R00166,-1.9982
R00167,-10.734
R00168,-3.6758
R00170,-3.109
R00171,0.279
R00172,-8.4101
R00173,8.8715
R00174,-3.4267
R00176,-5.1112
R00177,-14.0286
R00179,2.9285
R00181,-2.8225
R00182,0.8571
R00184,-6.4687
R00185,-8.6792
R00186,-4.0175
R00188,-13.6962
R00189,-1.5477
R00190,-3.8297
R00191,9.5458
R00192,8.4883
R00193,-8.6758
R00195,2.8365
R00196,-15.1767
R00197,-2.2822
R00198,0.6664
R00199,-3.1706
R00203,-2.8145
R00205,-1.8852
R00206,-6.7097
R00207,-3.664
R00208,-1.0169
R00209,-6.8609
R00210,-14.1148
R00211,-2.8664
R00212,0.1104
R00213,-1.5425
R00214,2.0869
R00215,-12.952
R00216,-2.4347
R00217,-5.1997
R00220,-2.7985
R00221,-3.0808
R00222,5.6886
R00224,-5.2987
R00225,1.9271
R00226,0.0676
R00227,-1.3528
R00228,-4.9772
R00229,6.2652
R00230,1.8334
R00232,-8.5387
R00234,-7.5671
R00235,-4.9226
R00237,-2.8589
R00238,0.4769
R00240,-0.0787
R00241,1.011
R00242,0.8924
R00243,-2.5537
R00244,-3.8955
R00246,-5.8564
R00247,0.6687
R00248,2.8826
R00249,4.2306
R00250,-11.4827
R00251,-2.1626
R00252,-6.2278
R00253,2.5712
R00254,-5.7128
R00255,-6.1736
R00257,-3.5521
R00258,0.9925
R00262,1.275
R00264,-2.8386
R00265,-0.1839
R00267,-5.2858
R00268,-1.3353
R00269,1.0183
R00270,4.0291
R00271,-1.4819
R00272,-0.2529
R00273,-4.3164
R00274,-6.0444
R00276,0.1686
R00279,3.9075
R00280,-10.7306
R00284,4.2075
R00286,-7.7003
R00287,-5.6696
R00288,-6.2373
R00289,1.3603
R00290,-2.1329
R00291,-0.5328
R00292,4.5077
R00294,-12.8834
R00295,0.1068
R00296,-0.7236
R00297,1.3615
R00298,-4.5912
R00299,2.0385
R00302,1.0203
R00303,-11.5593
R00304,12.2695
R00306,4.6413
R00307,0.1095
R00311,3.1697
R00312,-12.3044
R00314,2.8531
R00316,-0.7343
R00317,-3.5497
R00318,1.3507
R00319,1.4305
