row_id,f1,f2,f3,f4
R00000,-0.32159,-3.119535,-1.339767,0.675241
R00001,0.80977,0.086773,0.159321,2.963242
R00002,0.252126,-2.424051,1.656354,3.501779
R00003,2.524278,-1.860079,0.272294,4.654029
R00004,0.179528,-3.467919,1.402714,1.934896
R00005,0.569919,-2.205283,0.394274,1.725739
R00006,-0.084474,-1.636596,0.14672,1.490208
R00007,0.220506,-2.444845,2.591308,1.821128
R00008,2.696032,-2.45717,3.216514,4.059951
R00009,2.030189,-3.433871,3.50689,2.625311
R00010,-0.954669,-1.005139,1.920456,3.55407
R00011,-0.184611,-1.937789,1.285346,-0.449916
R00012,-0.010922,-1.833728,-0.191394,3.680043
R00013,-0.590248,-1.274781,0.094866,4.218926
R00014,0.849062,-1.196775,2.775624,2.615295
R00015,1.763905,0.143955,-0.581855,2.947375
R00016,1.81385,-2.614312,-1.27516,-1.961728
R00017,-1.462033,-0.291711,1.65018,0.765481
R00018,3.513264,-2.172581,2.613766,1.905836
R00019,0.883732,-2.875865,2.243859,3.613162
R00020,1.059115,-1.205515,-0.130492,3.578464
R00021,-1.699832,-1.633532,2.372299,3.059921
R00022,1.579125,-1.187207,4.036176,2.714492
R00023,-0.871602,-1.458392,-0.546731,0.509201
R00024,-0.757918,-0.63529,2.848999,1.295851
R00025,-0.097954,-2.103293,1.426205,0.918514
R00026,-0.729014,-3.673699,2.464325,1.604243
R00027,0.210581,-3.796087,3.528237,-0.008737
R00028,-2.895788,-2.45361,2.623248,1.77513
R00029,-1.321689,-1.078115,0.788644,1.822568
R00030,0.056302,-1.533106,-2.180403,-0.258834
R00031,3.570161,-3.251444,1.508891,0.529536
R00032,0.62681,-1.133308,0.747609,3.070909
R00033,0.778181,-2.761888,-0.435926,-0.206891
R00034,1.11056,-2.29877,0.940697,1.369458
R00035,0.839491,-1.363433,-0.363616,1.361147
R00036,2.358516,-3.392427,-1.10207,1.819861
R00037,-0.683512,0.247781,4.392061,3.685209
R00038,2.185248,-1.15331,1.323615,-2.150034
R00039,0.430477,-1.542322,0.901771,3.264416
R00040,0.642503,-0.418787,1.118134,0.675831
R00041,1.15119,-3.107709,1.279949,1.573333
R00042,-1.670562,-2.741079,-0.603289,1.373963
R00043,1.541077,-1.815431,3.313388,-0.167727
R00044,-0.154239,-4.034825,2.702109,2.544543
R00045,3.678375,-2.655121,0.896774,2.299422
R00046,-0.656579,-2.054463,1.212909,1.760333
R00047,0.963897,-3.234354,-0.649503,0.657177
R00048,0.798515,-2.353784,2.028415,2.253299
R00049,-0.381573,-1.475677,0.819764,0.669036
R00050,1.372287,-2.855467,2.365702,1.484829
R00051,2.604864,-3.109058,1.110152,2.503081
R00052,2.86211,-2.160333,1.512174,3.953699
R00053,3.449869,-1.93901,0.075725,2.699775
R00054,2.199212,-1.183618,-1.034472,1.549395
R00055,1.380631,-2.741458,3.34561,0.489397
R00056,2.047789,-3.638167,-0.645365,2.787702
R00057,-1.339676,-2.512058,-0.815881,3.431483
R00058,2.507878,-3.799476,2.780874,1.080548
R00059,0.320543,-4.367646,-0.287156,3.207306
R00060,-1.510878,-2.606635,3.313069,1.178639
R00061,-0.976514,-3.298215,3.619163,3.047252
R00062,-1.962581,-0.031668,0.896478,-0.794506
R00063,-0.156077,-2.103975,0.892183,1.775157
R00064,1.283838,-3.21337,0.583103,2.283273
R00065,-0.68417,-1.758923,4.156744,3.93679
