row_id,account_id,event_time,amount,category
R00000,A0087,1769904240000,5703.3,other
R00001,A0141,1769910540000,8574.34,travel
R00002,A0084,1769913780000,6914.81,grocery
R00003,A0004,1769915820000,4092.01,grocery
R00004,A0087,1769916240000,541.13,other
R00005,A0043,1769925720000,2537.99,other
R00006,A0095,1769939820000,356.9,other
R00007,A0113,1769942940000,4413.32,salary
R00008,A0081,1769946420000,651.3,rent
R00009,A0053,1769961300000,1183.6,grocery
R00010,A0114,1769962440000,6527.63,grocery
R00011,A0053,1769963280000,6724.71,travel
R00012,A0145,1769964840000,1692.03,other
R00013,A0030,1769968080000,5908.4,rent
R00014,A0030,1769972340000,8801.3,travel
R00015,A0081,1769974800000,-378.34,salary
R00016,A0011,1769975340000,3032.76,grocery
R00017,A0040,1769976060000,6245.79,REFUND
R00018,A0057,1769983860000,6161.2,misc
R00019,A0112,1769999460000,7083.99,salary
R00020,A0118,1770000900000,2303.82,other
R00021,A0098,1770019620000,3357.0,rent
R00022,A0145,1770054300000,4355.04,grocery
R00023,A0144,1770054300000,7658.45,other
R00024,A0057,1770060540000,4183.45,rent
R00025,A0011,1770063240000,5185.96,other
R00026,A0007,1770066420000,3216.84,salary
R00027,A0083,1770066480000,7974.01,salary
R00028,A0146,1770079440000,-30.63,grocery
R00029,A0130,1770080700000,2002.82,rent
R00030,A0006,1770085620000,4450.13,rent
R00031,A0130,1770094440000,410.26,other
R00032,A0125,1770098940000,3664.84,rent
R00033,A0056,1770099060000,-515.86,travel
R00034,A0142,1770099300000,2250.94,other
R00035,A0019,1770114060000,1556.61,salary
R00036,A0110,1770119340000,3478.74,travel
R00037,A0080,1770120600000,5663.92,rent
R00038,A0131,1770121380000,7832.82,rent
R00039,A0014,1770125040000,7899.57,other
R00040,A0024,1770139920000,4569.3,rent
R00041,A0129,1770142740000,496.87,rent
R00042,A0141,1770146340000,3249.91,rent
R00043,A0001,1770147060000,7420.24,other
R00044,A0024,1770158700000,6682.44,rent
R00045,A0016,1770161160000,2209.51,other
R00046,A0040,1770163080000,4917.3,travel
R00047,A0019,1770170880000,7715.63,other
R00048,A0044,1770171540000,4878.64,travel
R00049,A0065,1770176040000,7504.41,salary
R00050,A0119,1770179040000,4731.03,grocery
R00051,A0132,1770179760000,2929.32,salary
R00052,A0077,1770189840000,398.91,rent
R00053,A0047,1770192120000,4583.77,rent
R00054,A0089,1770193080000,9405.42,other
R00055,A0019,1770193920000,8405.23,grocery
R00056,A0056,1770199260000,6717.97,grocery
R00057,A0075,1770215700000,1486.73,travel
R00058,A0002,1770218940000,7313.93,rent
R00059,A0127,1770220920000,1535.91,travel
R00060,A0101,1770223620000,5644.75,salary
R00061,A0095,1770224400000,2850.96,grocery
R00062,A0001,1770227040000,1445.54,other
R00063,A0077,1770241860000,9439.53,other
R00064,A0124,1770242700000,8703.3,grocery
R00065,A0095,1770243420000,1161.74,travel
R00066,A0054,1770250320000,3602.3,rent
R00067,A0147,1770251100000,6079.2,rent
R00068,A0054,1770256680000,8398.06,rent
R00069,A0054,1770262980000,3549.15,other
R00070,A0096,1770263820000,7094.96,rent
R00071,A0039,1770264540000,-460.86,grocery
R00072,A0136,1770266820000,1561.29,salary
R00073,A0092,1770268680000,1485.28,grocery
R00074,A0125,1770274320000,7206.78,travel
R00075,A0069,1770288540000,8460.66,rent
R00076,A0035,1770297540000,,travel
R00077,A0108,1770297660000,4722.73,salary
R00078,A0008,1770300420000,9107.56,grocery
R00079,A0145,1770305400000,2765.51,salary
R00080,A0038,1770307260000,4427.18,grocery
R00081,A0064,1770319020000,5702.29,travel
R00082,A0136,1770320700000,932.01,other
R00083,A0080,1770329160000,6829.02,grocery
R00084,A0076,1770331920000,102.94,other
R00085,A0019,1770335580000,5201.23,grocery
R00086,A0139,1770354300000,2512.98,grocery
R00087,A0067,1770358560000,4474.88,grocery
R00088,A0143,1770376140000,1440.63,salary
