item_id,e1,e2,e3,e4,e5,e6,e7,e8
I0000,-0.8256,1.5877,-0.4232,1.0381,-0.0722,-1.1852,-0.4046,-0.9204
I0001,0.7348,1.8445,0.4207,0.2551,0.7072,1.0038,-0.4094,1.0925
I0002,-0.0473,-0.1991,-0.4439,-0.6423,-0.0961,0.1666,1.4061,0.4925
I0003,1.6411,0.2517,0.5597,-0.0929,-3.0289,-1.1391,0.9042,0.2372
I0004,-0.2815,-0.0909,0.7548,-1.4408,2.7084,0.7037,-1.2592,0.5858
I0005,-0.0203,0.9869,-0.8237,1.6102,-1.8085,-1.5412,-1.238,-1.521
I0006,0.6554,-1.036,0.5949,1.3615,0.5901,-0.7364,-0.4888,0.2623
I0007,-0.1264,0.0703,1.0039,-1.5479,-2.0321,0.5407,0.095,-0.8569
I0008,-0.398,-0.4201,-0.2998,-0.5788,1.6759,-0.4197,1.0292,-0.1096
I0009,-0.2601,0.9416,-0.3502,-1.5055,0.0322,0.3227,1.9426,-0.7867
I0010,-0.1503,1.557,1.0503,1.0487,1.2069,0.092,0.4748,-0.6038
I0011,-0.9647,-1.1292,0.0277,-0.9917,-1.0598,-0.5002,1.0671,1.0877
I0012,0.3652,-1.9025,-0.6668,-1.0057,0.3105,-0.1339,0.5872,1.461
I0013,0.7348,1.8445,0.4207,0.2551,0.7072,1.0038,-0.4094,1.0925
I0014,-0.4001,1.762,-1.093,0.4613,0.1006,0.7619,-0.7286,0.6811
I0015,-0.6329,0.9858,1.0203,-1.6576,0.0416,0.3219,0.0294,1.133
I0016,0.0624,0.2509,-2.0297,-0.917,0.7422,1.2624,-0.1671,-3.6845
I0017,-0.2476,-1.0685,0.4223,-0.7206,1.4062,-0.1129,-0.3455,-2.0667
I0018,1.6411,0.2517,0.5597,-0.0929,-3.0289,-1.1391,0.9042,0.2372
I0019,0.7245,0.2592,-1.1145,0.5042,-1.3077,0.0266,-1.8183,0.3246
I0020,-0.4669,-0.3373,-0.4747,0.242,-0.3482,-0.8655,0.0829,-0.711
I0021,-0.3292,0.4019,0.6023,0.7199,-1.9999,1.5026,-0.6726,-1.5723
I0022,-0.0473,-0.1991,-0.4439,-0.6423,-0.0961,0.1666,1.4061,0.4925
I0023,0.0547,0.6808,-1.4686,-0.1637,1.4113,0.7091,0.403,0.0785
I0024,1.7349,-0.1147,-0.6842,-0.3873,1.5271,1.8799,-0.0456,0.0474
I0025,-0.1157,-1.1057,1.1385,0.9022,-0.1276,-0.7551,0.1798,-0.2646
I0026,-0.6329,0.9858,1.0203,-1.6576,0.0416,0.3219,0.0294,1.133
I0027,-0.0237,1.5681,0.2298,0.4366,0.095,-0.7682,-1.5652,0.7067
I0028,0.9284,-0.9182,-1.14,-0.7052,-0.4114,-1.7902,0.1337,-0.3839
I0029,-0.0802,-1.055,-1.6708,0.3448,0.1982,0.3971,0.0394,1.0027
I0030,-0.4093,0.0284,0.5879,0.94,1.2218,-0.9456,1.1648,0.715
I0031,-0.6009,-1.6848,-0.7583,0.613,-0.4041,-3.0677,-0.116,2.238
I0032,-0.1157,-1.1057,1.1385,0.9022,-0.1276,-0.7551,0.1798,-0.2646
I0033,-1.6012,-0.0677,-1.4806,0.2403,-0.0979,0.39,-0.0033,0.0776
I0034,0.3269,-0.6716,0.7177,-1.257,0.4307,1.0136,-1.3344,-0.5712
I0035,0.8979,-0.976,-0.7957,0.9961,0.3892,0.4339,1.8785,1.0538
I0036,-1.6587,-1.5293,0.5239,-1.0747,-0.3082,-0.3061,0.0214,0.7761
I0037,-0.1534,-0.5216,-0.1204,0.5768,-0.0574,-1.3487,-0.6898,0.4228
I0038,0.3652,-1.9025,-0.6668,-1.0057,0.3105,-0.1339,0.5872,1.461
I0039,0.2177,-0.4559,1.1857,-0.4113,-0.2844,-0.0021,-0.7164,0.44
I0040,-0.2655,0.2117,-0.197,-0.5883,-0.7263,0.841,-0.8143,0.7199
I0041,0.1988,-0.2643,0.6983,-1.3153,0.53,-1.7306,-0.2197,0.7629
I0042,-0.5871,-1.277,-0.6219,1.5407,0.5801,-0.6201,0.351,-0.7911
I0043,-0.4248,-2.4203,1.1546,0.5684,0.0469,0.9195,0.3511,-2.0684
I0044,-1.1189,-0.1907,0.6473,1.2854,-0.9117,-0.1642,-0.5021,1.2699
I0045,0.1048,-0.6384,-0.3955,-0.5803,0.559,0.5336,0.4204,-1.1033
I0046,-0.5871,-1.277,-0.6219,1.5407,0.5801,-0.6201,0.351,-0.7911
I0047,-0.1031,0.5298,1.0097,0.268,0.2519,-0.4427,-1.1382,0.0614
I0048,-0.2896,-0.0559,-0.2883,0.5929,-0.5495,1.6313,0.7201,-1.3923
I0049,1.3361,-1.2665,0.6849,-1.1153,-1.5777,0.5521,0.884,0.9236
I0050,0.3986,0.8898,0.2885,1.2463,-1.3149,-1.2664,-1.5275,-1.2783
I0051,-1.5756,1.0739,-1.6399,-0.9761,-1.0506,0.2919,-0.2342,1.569
I0052,-1.35,-0.7138,0.5789,-0.9291,0.2556,0.258,-1.8895,1.1097
I0053,-0.9322,0.8635,-0.7523,1.8172,-1.5775,-0.339,0.6182,-0.8356
I0054,-1.2732,1.6307,1.4852,-1.6589,0.76,0.4022,-1.8631,-1.2181
I0055,0.3615,1.8668,1.7628,-1.8205,-0.495,0.066,0.1181,-0.4764
I0056,0.3986,0.8898,0.2885,1.2463,-1.3149,-1.2664,-1.5275,-1.2783
I0057,-0.1514,0.8718,0.066,-0.1744,-1.015,0.4078,1.1284,-2.2771
I0058,-0.2824,0.2584,-0.6851,0.1927,0.6546,-1.5598,-0.9048,-0.6549
I0059,0.4585,-0.4038,-0.7055,0.064,-0.0024,0.4084,-0.0263,-0.7327
