row_id,a_val
R00000,11.657
R00001,10.8991
R00002,13.6968
R00003,12.5645
R00004,9.9886
R00005,12.241
R00008,13.4204
R00009,18.0258
R00010,15.9893
R00012,10.2707
R00013,7.9833
R00014,5.6601
R00015,2.7031
R00016,10.4301
R00017,7.5195
R00020,13.3932
R00021,13.4052
R00022,2.2605
R00023,7.7804
R00025,12.5552
R00026,10.8133
R00027,3.738
R00028,13.321
R00030,14.2345
R00031,12.8006
R00032,5.0866
R00033,12.7453
R00034,14.0188
R00035,14.665
R00036,4.861
R00038,9.9417
R00039,15.9802
R00040,17.6714
R00041,9.2081
R00042,14.2128
R00043,10.7771
R00045,8.8577
R00046,18.0689
R00047,13.7388
R00048,2.1546
R00049,13.7087
R00050,8.4629
R00051,9.5063
R00052,8.5151
R00053,15.6748
R00054,11.8796
R00055,12.2527
R00057,10.791
R00058,11.0558
R00059,14.7217
R00060,5.9748
R00061,10.3305
R00063,12.7723
R00064,6.7394
R00065,0.5241
R00067,12.1947
R00068,4.3659
R00070,9.4262
R00072,13.3922
R00073,13.8462
R00074,5.4571
R00076,15.3826
R00077,10.6206
R00078,12.6657
R00079,10.216
R00080,7.7778
R00082,12.4898
R00083,12.3557
R00084,8.9675
R00085,12.2863
R00086,10.9562
R00087,7.6685
R00088,12.6001
R00089,8.3767
R00090,5.1312
R00091,11.9703
R00092,7.8829
R00093,10.6089
R00094,16.3994
R00095,5.334
R00097,12.9994
R00098,4.343
R00099,14.8233
R00100,8.0387
R00103,8.3544
R00106,15.1191
R00107,8.2939
R00108,12.1015
R00109,14.1496
R00110,5.6809
R00111,7.3799
R00112,14.7023
R00113,6.3165
R00114,10.0956
R00115,12.8862
R00116,13.2792
R00117,11.2945
R00118,14.8975
R00121,16.5833
R00122,11.0957
R00125,1.2087
R00126,8.6438
R00127,12.6908
R00128,12.1812
R00129,12.1514
R00131,22.7693
R00132,7.0832
R00133,11.6437
R00135,12.7664
R00136,7.0329
R00137,8.8224
R00138,7.7806
R00139,10.35
R00142,16.1415
R00143,8.6514
R00144,5.5417
R00145,8.7124
R00146,10.2667
R00148,6.8782
R00151,12.5577
R00152,11.8351
R00154,8.494
R00155,7.0367
R00156,11.0655
R00157,8.677
R00159,15.9619
R00160,16.7397
R00161,11.0855
R00163,11.3555
R00165,11.1197
R00166,11.7045
R00168,5.6828
R00169,7.6755
R00170,12.8566
R00172,10.0922
R00174,15.7334
R00175,9.5287
R00178,7.7808
R00179,11.2335
R00180,5.8083
R00181,8.2555
R00182,7.2277
R00183,6.9002
R00184,14.0599
R00186,8.1952
R00187,14.0844
R00188,15.1912
R00190,10.5599
R00191,5.7654
R00193,8.7731
R00194,8.0255
R00195,11.8718
R00196,8.5802
R00197,5.8436
R00198,6.1173
R00199,6.1202
R00200,9.3816
R00201,13.2767
R00203,8.5931
R00205,11.2441
R00206,9.8618
R00207,13.4515
R00209,7.1947
R00210,11.2902
R00211,6.4126
R00213,6.0789
R00214,8.9194
R00215,13.8436
R00219,2.7601
R00220,9.3192
R00221,7.836
R00222,7.0766
R00223,11.8019
R00224,15.2431
R00225,7.6658
R00226,5.0564
R00227,4.1927
R00228,7.4448
R00229,10.6961
R00231,12.334
R00232,7.3569
R00233,7.8847
R00234,7.2212
R00235,9.4278
R00238,10.7211
R00239,8.2391
R00240,12.5079
R00241,7.4303
R00242,13.4798
R00243,4.3867
R00244,9.6248
R00246,7.044
R00249,11.7396
R00250,9.8211
R00251,14.8958
R00254,10.2956
R00255,10.5584
R00256,14.1482
R00257,20.2174
R00259,6.4535
R00260,9.8566
R00261,16.5813
R00263,5.2432
R00264,9.9826
R00265,10.5049
R00266,7.8496
R00267,0.6794
R00268,11.7917
R00269,19.6225
R00270,3.58
R00271,13.3865
R00272,14.2348
R00273,11.2097
R00274,11.7579
R00275,6.1797
R00276,8.3517
R00277,1.4911
R00278,4.0532
R00279,4.3986
R00280,8.8767
R00281,8.7036
R00282,12.3337
R00284,8.9857
R00286,6.456
R00288,9.6259
R00290,13.1269
R00291,11.0193
R00293,7.6635
R00294,12.684
R00295,15.6963
R00296,4.48
R00297,14.4217
R00298,11.2078
R00300,15.1672
R00301,11.1192
R00302,8.0371
R00303,13.273
R00304,11.1191
R00305,14.1414
R00306,9.7565
R00307,7.686
R00308,10.6003
R00309,4.0914
R00310,11.7331
R00311,18.1532
R00312,8.4947
R00314,8.9047
R00315,12.2516
R00317,14.4449
R00318,7.1711
