account_id,event_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned,source
A0000,1771134528000,292.47,727.5,\N,\N,\N,\N,\N,transactions_late
A0005,1771801553000,34.22,4883.98,\N,\N,\N,\N,\N,transactions_late
A0006,1772347685000,162.73,6919.85,\N,\N,\N,\N,\N,transactions_late
A0010,1770609585000,30.25,3024.06,\N,\N,\N,\N,\N,transactions_late
A0011,1767235547000,15.11,5942.72,\N,\N,\N,\N,\N,transactions_late
A0013,1767302695000,16.08,5645.17,\N,\N,\N,\N,\N,transactions_late
A0014,1768042350000,39.28,2503.24,\N,\N,\N,\N,\N,transactions_late
A0015,1767231834000,37.35,4536.24,\N,\N,\N,\N,\N,transactions_late
A0015,1768935174000,2.76,4817.52,\N,\N,\N,\N,\N,transactions_late
A0015,1769571055000,276.69,4487.56,\N,\N,\N,\N,\N,transactions_late
A0016,1768903375000,6.2,2372.35,\N,\N,\N,\N,\N,transactions_late
A0017,1770528527000,3.69,5770.43,\N,\N,\N,\N,\N,transactions_late
A0018,1767259997000,17.59,1679.94,\N,\N,\N,\N,\N,transactions_late
A0021,1767290238000,16.99,3959.37,\N,\N,\N,\N,\N,transactions_late
A0022,1769767260000,59.35,-490.56,\N,\N,\N,\N,\N,transactions_late
A0026,1768672365000,10.66,6060.26,\N,\N,\N,\N,\N,transactions_late
A0028,1767572335000,23.16,3941.34,\N,\N,\N,\N,\N,transactions_late
A0029,1769867146000,16.05,8950.99,\N,\N,\N,\N,\N,transactions_late
A0030,1767284917000,8.75,7663.1,\N,\N,\N,\N,\N,transactions_late
A0030,1771091034000,23.25,6539.91,\N,\N,\N,\N,\N,transactions_late
A0035,1768902138000,12.25,7288.22,\N,\N,\N,\N,\N,transactions_late
A0035,1769193517000,12.13,6804.43,\N,\N,\N,\N,\N,transactions_late
A0036,1772982471000,171.57,5928.03,\N,\N,\N,\N,\N,transactions_late
A0037,1770100728000,71.97,5784.12,\N,\N,\N,\N,\N,transactions_late
A0040,1771293574000,15.39,5318.7,\N,\N,\N,\N,\N,transactions_late
A0041,1769419580000,45.79,5341.17,\N,\N,\N,\N,\N,transactions_late
A0041,1769943992000,3.51,4720.21,\N,\N,\N,\N,\N,transactions_late
A0042,1773191998000,58.7,3871.74,\N,\N,\N,\N,\N,transactions_late
A0044,1772736656000,28.07,4668.45,\N,\N,\N,\N,\N,transactions_late
A0045,1771813848000,9.9,5071.37,\N,\N,\N,\N,\N,transactions_late
A0051,1768019624000,13.44,2306.4,\N,\N,\N,\N,\N,transactions_late
A0051,1769024085000,60.89,2161.43,\N,\N,\N,\N,\N,transactions_late
A0051,1771965442000,24.53,1357.63,\N,\N,\N,\N,\N,transactions_late
A0053,1772011353000,24.93,5216.42,\N,\N,\N,\N,\N,transactions_late
A0054,1772518397000,8.22,6499.74,\N,\N,\N,\N,\N,transactions_late
A0055,1769341030000,69.9,4535.95,\N,\N,\N,\N,\N,transactions_late
A0056,1769708286000,99.11,5535.8,\N,\N,\N,\N,\N,transactions_late
A0059,1770745902000,12.88,5311.85,\N,\N,\N,\N,\N,transactions_late
A0060,1772609206000,65.92,9434.13,\N,\N,\N,\N,\N,transactions_late
A0062,1772130708000,15.23,3983.38,\N,\N,\N,\N,\N,transactions_late
A0064,1770611793000,19.25,5424.78,\N,\N,\N,\N,\N,transactions_late
A0066,1768842902000,139.38,860.11,\N,\N,\N,\N,\N,transactions_late
A0066,1771085986000,56.31,1197.03,\N,\N,\N,\N,\N,transactions_late
A0066,1773116959000,66.17,478.64,\N,\N,\N,\N,\N,transactions_late
A0067,1771268976000,14.76,7546.56,\N,\N,\N,\N,\N,transactions_late
A0068,1769616162000,58.54,1308.89,\N,\N,\N,\N,\N,transactions_late
A0069,1772949254000,5.87,4834.91,\N,\N,\N,\N,\N,transactions_late
A0076,1773414363000,21.01,3969.39,\N,\N,\N,\N,\N,transactions_late
A0077,1772276292000,27.4,4119.82,\N,\N,\N,\N,\N,transactions_late
A0078,1772291205000,17.95,5632.37,\N,\N,\N,\N,\N,transactions_late
A0079,1772612474000,30.61,8362.03,\N,\N,\N,\N,\N,transactions_late
A0080,1767548504000,167.79,5828.71,\N,\N,\N,\N,\N,transactions_late
A0080,1771909414000,6.4,6545.4,\N,\N,\N,\N,\N,transactions_late
A0084,1767945522000,399.85,3735.35,\N,\N,\N,\N,\N,transactions_late
A0085,1771421170000,29.93,3984.69,\N,\N,\N,\N,\N,transactions_late
A0086,1770158063000,17.59,8180.76,\N,\N,\N,\N,\N,transactions_late
A0086,1772238163000,54.97,7720.12,\N,\N,\N,\N,\N,transactions_late
A0087,1771103255000,65.95,5758.32,\N,\N,\N,\N,\N,transactions_late
A0088,1769749009000,26.98,5461.0,\N,\N,\N,\N,\N,transactions_late
A0090,1767245893000,18.71,6200.16,\N,\N,\N,\N,\N,transactions_late
A0090,1768867432000,36.58,5820.48,\N,\N,\N,\N,\N,transactions_late
A0090,1770883236000,3.03,5936.31,\N,\N,\N,\N,\N,transactions_late
A0091,1772113072000,86.99,4467.5,\N,\N,\N,\N,\N,transactions_late
A0094,1771186533000,9.31,4820.44,\N,\N,\N,\N,\N,transactions_late
A0094,1771325977000,28.06,4959.47,\N,\N,\N,\N,\N,transactions_late
A0098,1769209500000,15.35,3398.31,\N,\N,\N,\N,\N,transactions_late
A0099,1767784421000,172.41,7978.29,\N,\N,\N,\N,\N,transactions_late
