account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1772304939000,20.5,837.27,806,silver,4,89.41,0
A0001,1773482046000,27.45,7644.44,322,bronze,30,86.01,0
A0002,1773533318000,179.8,1625.92,394,gold,32,10.24,1
A0003,1772002067000,24.04,870.31,556,bronze,12,10.23,1
A0004,1772086537000,23.07,9030.42,808,gold,34,93.17,0
A0005,1773584013000,44.25,4684.88,674,gold,17,89.93,0
A0006,1772921288000,52.16,6492.43,364,silver,32,89.46,0
A0007,1772402687000,16.04,7157.01,789,gold,11,6.41,1
A0008,1772533491000,47.79,6388.12,320,gold,31,94.62,0
A0009,1772362866000,33.26,3410.56,390,bronze,27,85.07,0
A0010,1772742518000,26.81,2961.48,648,silver,10,93.95,0
A0011,1772882905000,21.14,5133.6,728,bronze,8,89.94,0
A0012,1773351720000,133.21,7310.47,574,bronze,33,10.35,1
A0013,1771992198000,173.69,6922.83,300,gold,0,86.14,0
A0014,1772951255000,72.17,2533.23,646,silver,32,8.9,1
A0015,1772346000000,106.55,3570.36,756,gold,2,87.88,0
A0016,1773530553000,40.96,2410.45,661,silver,37,9.47,1
A0017,1772437869000,19.37,5664.72,699,gold,32,6.88,1
A0018,1772833808000,116.75,1762.46,496,silver,11,91.05,0
A0019,1773057698000,51.03,7783.36,678,gold,6,94.64,0
A0020,1773239267000,4.25,5356.7,761,bronze,32,90.3,0
A0021,1773421617000,6.16,3476.62,368,silver,23,90.69,0
A0022,1772737441000,64.33,-1549.58,850,silver,35,14.33,1
A0023,1773639389000,73.72,3384.71,816,bronze,13,93.83,0
A0024,1773051955000,13.28,6016.11,726,gold,35,14.54,1
A0025,1772133384000,13.32,6071.91,428,bronze,13,92.01,0
A0026,1772631959000,3.44,5843.46,740,bronze,33,9.25,1
A0027,1772767070000,221.12,3862.25,438,bronze,31,85.87,0
A0028,1773418467000,44.69,3626.25,621,bronze,19,92.62,0
A0029,1772375918000,12.7,9333.72,705,gold,34,90.86,0
A0030,1772303825000,52.26,6970.68,737,silver,27,12.75,1
A0031,1772438414000,26.22,4268.99,848,bronze,5,6.56,1
A0032,1772725237000,4.48,2293.52,776,silver,14,93.91,0
A0033,1772108079000,36.43,2684.72,406,gold,27,86.16,0
A0034,1772107506000,15.17,6509.56,487,bronze,33,86.64,0
A0035,1771998570000,18.53,8554.46,638,bronze,32,89.66,0
A0036,1773600028000,4.6,5941.43,300,bronze,1,8.21,1
A0037,1772145288000,30.74,6255.63,850,bronze,7,92.36,0
A0038,1772100788000,201.32,1598.69,582,bronze,4,89.28,0
A0039,1773212738000,50.21,5933.03,367,silver,1,6.76,1
A0040,1772229558000,170.15,6776.3,314,bronze,33,14.29,1
A0041,1772562988000,36.89,5449.1,696,silver,9,91.34,0
A0042,1773257148000,48.85,4279.71,471,bronze,17,87.26,0
A0043,1772487954000,84.32,5270.99,752,gold,4,88.88,0
A0044,1773699927000,15.87,4508.91,469,silver,2,12.98,1
A0045,1772645690000,143.46,5615.65,797,silver,4,8.6,1
A0046,1773101366000,7.72,2657.11,631,gold,21,9.37,1
A0047,1773198803000,24.76,8853.62,526,bronze,16,91.99,0
A0048,1772721561000,17.96,5139.01,570,silver,17,85.15,0
A0049,1773280471000,21.13,2390.28,496,bronze,13,92.66,0
A0050,1773171825000,94.27,4869.75,346,gold,14,11.13,1
A0051,1772372388000,2.68,2247.72,369,bronze,9,94.98,0
A0052,1772908341000,441.07,7577.8,792,silver,2,14.3,1
A0053,1772467823000,43.04,6120.99,489,bronze,8,7.3,1
A0054,1773162549000,36.34,6585.77,709,gold,27,85.69,0
A0055,1772169998000,178.06,6129.9,666,bronze,17,12.44,1
A0056,1772077551000,5.78,5426.51,777,bronze,33,10.34,1
A0057,1772528858000,40.98,6335.54,409,bronze,18,92.53,0
A0058,1772062059000,158.36,5197.73,496,silver,16,89.9,0
A0059,1772844421000,34.91,4748.07,616,gold,23,5.37,1
