account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1772304939000,292.47,727.5,729,gold,28,89.41,0
A0001,1773482046000,85.67,7566.48,322,bronze,6,86.01,0
A0002,1773533318000,78.88,1991.51,394,gold,10,10.24,1
A0003,1772002067000,22.76,981.82,635,silver,20,10.23,1
A0004,1772086537000,15.38,8916.02,808,gold,31,93.17,0
A0005,1773584013000,34.22,4883.98,622,bronze,38,89.93,0
A0006,1772921288000,162.73,6919.85,364,silver,15,89.46,0
A0007,1772402687000,286.54,6572.13,789,gold,5,6.41,1
A0008,1772533491000,105.63,6173.01,320,gold,12,94.62,0
A0009,1772362866000,9.12,3382.1,433,bronze,18,85.07,0
A0010,1772742518000,30.25,3024.06,648,silver,32,93.95,0
A0011,1772882905000,7.49,5710.99,739,gold,22,89.94,0
A0012,1773351720000,17.5,7275.84,574,bronze,0,10.35,1
A0013,1771992198000,127.38,6151.29,318,bronze,28,86.14,0
A0014,1772951255000,39.28,2503.24,646,silver,28,8.9,1
A0015,1772346000000,27.13,3897.44,756,gold,39,87.88,0
A0016,1773530553000,42.28,2355.59,667,gold,29,9.47,1
A0017,1772437869000,33.63,5444.14,699,gold,34,6.88,1
A0018,1772833808000,41.11,1184.73,496,silver,8,91.05,0
A0019,1773057698000,15.64,7267.41,678,gold,25,94.64,0
A0020,1773239267000,14.81,4881.72,761,bronze,19,90.3,0
A0021,1773421617000,10.81,3467.06,368,silver,29,90.69,0
A0022,1772737441000,183.38,-1416.34,845,bronze,28,14.33,1
A0023,1773639389000,73.31,3105.09,788,silver,8,93.83,0
A0024,1773051955000,28.9,6028.76,697,silver,12,14.54,1
A0025,1772133384000,35.21,6350.49,375,gold,6,92.01,0
A0026,1772631959000,19.5,6072.97,740,bronze,3,9.25,1
A0027,1772767070000,36.9,3845.79,375,silver,11,85.87,0
A0028,1773418467000,32.43,3664.37,621,bronze,36,92.62,0
A0029,1772375918000,104.48,8620.83,686,silver,31,90.86,0
A0030,1772303825000,23.25,6539.91,737,silver,2,12.75,1
A0031,1772438414000,136.38,3218.23,848,bronze,10,6.56,1
A0032,1772725237000,35.46,1542.35,776,silver,38,93.91,0
A0033,1772108079000,782.28,3051.28,406,gold,15,86.16,0
A0034,1772107506000,260.99,6407.16,525,silver,18,86.64,0
A0035,1771998570000,91.43,8046.8,638,bronze,0,89.66,0
A0036,1773600028000,171.57,5928.03,300,bronze,37,8.21,1
A0037,1772145288000,71.97,5784.12,844,silver,38,92.36,0
A0038,1772100788000,42.19,1950.21,582,bronze,26,89.28,0
A0039,1773212738000,13.22,5490.55,367,silver,22,6.76,1
A0040,1772229558000,29.26,5666.07,314,bronze,14,14.29,1
A0041,1772562988000,3.51,4720.21,696,silver,24,91.34,0
A0042,1773257148000,58.7,3871.74,480,gold,13,87.26,0
A0043,1772487954000,281.54,5158.22,786,bronze,34,88.88,0
A0044,1773699927000,86.18,4780.61,469,silver,0,12.98,1
A0045,1772645690000,9.9,5071.37,797,silver,25,8.6,1
A0046,1773101366000,13.11,3419.02,702,bronze,33,9.37,1
A0047,1773198803000,40.32,7420.09,526,bronze,5,91.99,0
A0048,1772721561000,28.71,5183.15,603,bronze,9,85.15,0
A0049,1773280471000,25.01,2467.6,496,bronze,5,92.66,0
A0050,1773171825000,37.19,4665.72,346,gold,38,11.13,1
A0051,1772372388000,24.53,1357.63,384,gold,28,94.98,0
A0052,1772908341000,63.44,8600.78,723,bronze,9,14.3,1
A0053,1772467823000,24.93,5216.42,439,silver,19,7.3,1
A0054,1773162549000,8.22,6499.74,709,gold,30,85.69,0
A0055,1772169998000,52.56,5426.73,653,bronze,5,12.44,1
A0056,1772077551000,99.11,5535.8,722,bronze,6,10.34,1
A0057,1772528858000,38.63,5992.2,399,silver,18,92.53,0
A0058,1772062059000,103.66,4772.42,516,gold,39,89.9,0
A0059,1772844421000,53.48,5866.86,616,gold,26,5.37,1
A0060,1773429192000,96.13,9614.79,651,silver,23,9.63,1
A0061,1772941057000,59.51,5235.7,300,bronze,10,9.01,1
A0062,1772815600000,15.23,3983.38,771,silver,37,85.21,0
A0063,1772909258000,84.47,3960.62,656,gold,23,9.43,1
A0064,1773352088000,18.36,5563.65,576,gold,26,13.55,1
A0065,1773139790000,46.5,2764.87,684,silver,5,92.02,0
A0066,1773329133000,66.17,478.64,393,bronze,20,6.02,1
A0067,1773218371000,47.14,7065.66,306,bronze,33,11.77,1
A0068,1772404011000,81.75,891.68,444,bronze,10,6.4,1
A0069,1773261848000,5.87,4834.91,801,silver,32,10.89,1
A0070,1773605593000,36.32,3568.8,713,bronze,35,86.96,0
A0071,1772130290000,70.32,4249.57,735,gold,12,88.92,0
A0072,1772520709000,369.07,5482.12,580,bronze,8,11.8,1
A0073,1772776784000,119.18,8082.95,651,silver,21,87.2,0
A0074,1772311248000,75.84,6118.03,768,bronze,0,93.02,0
A0075,1773324061000,5.54,7495.08,595,bronze,2,7.06,1
A0076,1773623548000,21.01,3969.39,391,gold,1,92.72,0
A0077,1772870626000,27.4,4119.82,697,silver,24,94.16,0
A0078,1773025240000,17.95,5632.37,553,gold,3,8.77,1
A0079,1773582000000,15.67,8744.9,707,silver,38,8.56,1
A0080,1772100088000,6.4,6545.4,664,gold,18,87.73,0
A0081,1773357508000,94.93,2471.49,649,silver,3,9.17,1
A0082,1773230547000,8.51,2337.48,790,silver,28,85.99,0
A0083,1773047399000,6.88,8980.68,500,silver,38,8.16,1
A0084,1773392158000,7.05,4192.66,435,silver,13,12.05,1
A0085,1772157868000,29.93,3984.69,745,gold,6,13.68,1
A0086,1772430414000,54.97,7720.12,750,bronze,18,90.41,0
A0087,1773025914000,20.8,5850.06,420,bronze,26,9.48,1
A0088,1772237126000,4.86,5841.08,619,bronze,33,87.03,0
A0089,1772729547000,41.31,-1454.94,403,gold,38,86.55,0
A0090,1772150045000,10.22,6082.85,440,silver,2,9.74,1
A0091,1772984489000,119.44,4052.27,499,bronze,7,92.63,0
A0092,1773625211000,33.31,3774.71,302,gold,17,88.55,0
A0093,1772777344000,7.54,3063.7,803,silver,1,14.58,1
A0094,1773201675000,2.3,5616.9,667,silver,23,88.04,0
A0095,1772605386000,88.01,7741.74,337,gold,27,10.25,1
A0096,1772228370000,76.53,3024.79,704,silver,24,7.06,1
A0097,1772401000000,74.31,4783.51,700,gold,19,94.09,0
A0098,1772183464000,325.99,4128.38,632,bronze,14,10.84,1
A0099,1772231801000,65.17,8271.75,679,gold,17,94.57,0
