entity_id,f1,f2,f3,f4,f5
E0000,3.479713,2.540448,8.622545,8.781668,6.647232
E0001,7.184051,3.133012,10.623611,1.432207,34.767629
E0002,6.456601,2.567383,5.581459,9.847507,2.699098
E0003,10.569021,3.156738,9.06443,4.031027,4.823134
E0004,8.689554,2.528189,2.85519,2.813001,12.179071
E0005,2.742402,2.285412,2.955955,6.196629,14.484719
E0006,3.623682,2.866181,1.375262,14.8125,3.230385
E0007,3.336525,1.917852,33.477405,3.188164,7.46872
E0008,18.236392,3.040862,8.131223,13.72003,10.361814
E0009,2.434388,2.204324,8.311411,17.963869,10.226252
E0010,9.18413,2.069303,9.495826,12.702977,5.171259
E0011,16.658573,1.867895,3.44968,6.178697,5.323097
E0012,5.997599,2.475926,34.339719,11.947844,3.451392
E0013,10.773066,1.653705,6.513574,8.700836,5.39722
E0014,3.31937,2.23896,9.138847,3.157049,4.051118
E0015,21.682245,2.706754,2.862402,14.525127,3.287273
E0016,5.625438,2.946851,24.830418,12.99611,2.369665
E0017,7.20883,1.019561,15.0154,2.952422,15.432935
E0018,3.662621,1.212679,3.252256,8.819943,11.852085
E0019,13.732362,1.237506,16.980976,41.536705,25.827986
E0020,7.024453,1.34677,5.480833,4.970024,8.243277
E0021,7.371652,1.143041,16.997281,6.205646,22.545734
E0022,9.072429,3.006429,11.897994,6.663828,7.988409
E0023,6.572009,2.116377,10.256149,22.522462,2.017408
E0024,9.104166,1.990523,10.019027,7.024464,43.179368
E0025,15.425912,2.254415,3.648795,4.109925,8.575778
E0026,26.685221,1.39778,12.979249,3.888508,6.854249
E0027,13.591236,2.735146,16.116746,7.551736,40.338321
E0028,7.185986,1.313033,22.040235,2.95811,10.161327
E0029,4.887973,1.852692,15.594229,2.943356,28.57361
E0030,7.417782,2.355376,3.916698,3.168634,3.562598
E0031,3.531428,2.454079,15.330678,5.615855,0.719743
E0032,15.87722,3.50099,38.835766,12.942437,23.554984
E0033,12.79122,2.086631,1.417302,5.288666,2.500509
E0034,16.184693,2.592548,12.507451,3.053809,7.318562
E0035,7.327794,1.934443,21.704736,4.304581,25.783306
E0036,4.127109,1.747458,15.349323,4.578824,2.929765
E0037,4.836329,2.013975,9.031048,1.01202,7.859817
E0038,6.046461,2.046476,3.305096,4.800557,32.649834
E0039,18.048931,2.864383,11.123064,23.572942,13.899324
E0040,17.666157,2.351372,5.890444,6.351378,1.540605
E0041,8.907472,1.957997,2.798724,3.033446,17.910678
E0042,6.008731,2.493391,12.080795,3.775684,26.229484
E0043,46.761155,1.790561,10.873379,3.590968,6.358632
E0044,2.672997,2.099179,11.000877,5.990478,8.053698
E0045,4.001492,2.304578,7.499194,4.36549,12.584099
E0046,8.295412,1.763184,8.416688,3.294628,20.227503
E0047,2.844171,3.767988,26.06075,8.668121,9.637921
E0048,16.28957,2.890308,8.399361,6.994559,3.487301
E0049,5.861972,1.508233,21.52558,7.675072,8.579809
E0050,23.506671,2.524778,6.779779,14.768218,13.547557
E0051,17.318784,1.992373,13.939174,17.911971,5.085191
E0052,2.329154,1.155882,5.708265,4.568183,38.84165
E0053,23.769526,1.623935,2.226854,9.623606,11.837956
E0054,1.625675,2.336514,9.061401,14.984709,27.767999
E0055,3.686299,1.492074,4.097292,27.704186,7.198235
E0056,20.018555,0.811269,3.512499,1.994365,3.507506
E0057,8.819097,1.886007,6.361062,4.876475,6.657214
E0058,10.769798,2.293124,7.327799,2.70222,2.552254
E0059,16.610264,1.760528,11.730732,16.953702,9.124125
E0060,2.646922,3.206274,30.612182,16.179457,13.230159
E0061,4.274131,1.87916,24.332545,1.388674,3.740451
E0062,4.002177,1.860805,10.691226,1.99953,3.986283
E0063,6.010626,3.454348,2.904128,9.353168,4.283387
E0064,1.590721,2.49705,4.600633,16.91985,7.041655
E0065,19.031929,2.438809,9.406198,1.327341,11.234979
E0066,5.541637,0.767236,5.928029,4.776749,14.951379
E0067,59.675974,1.504327,6.056818,18.041632,4.818618
E0068,7.616184,2.62845,14.359845,6.525362,10.348381
E0069,8.95851,3.367499,6.844257,4.146304,22.977997
E0070,11.072354,1.270158,2.759353,13.868775,5.850612
E0071,20.416227,2.194009,16.17676,18.358023,77.403403
E0072,4.725704,2.219455,17.319043,11.40187,29.334788
E0073,7.401472,3.467327,22.14818,6.49425,3.844867
E0074,28.190712,1.928505,11.480921,15.860731,17.158859
E0075,38.272577,2.19945,10.588865,5.753118,6.233576
E0076,3.48019,1.338107,4.318594,9.712979,4.406243
E0077,6.78764,1.97353,10.928435,4.553424,3.041837
E0078,6.1223,0.927029,9.825702,8.832158,12.365062
E0079,26.025533,1.899008,2.967108,7.551062,7.650137
E0080,10.654106,1.387862,4.199996,10.878094,16.066912
E0081,4.097054,1.940306,5.635395,4.107775,7.429
E0082,2.87564,1.989494,1.272475,18.039148,8.2269
E0083,8.776663,1.696628,32.127828,4.242082,7.517802
E0084,4.724419,2.532088,5.654453,8.563923,6.788372
E0085,10.42265,1.887879,14.855113,8.88253,14.257302
E0086,5.966449,2.346244,5.577258,3.482636,3.94921
E0087,4.178228,2.544029,6.681355,9.830709,2.71064
E0088,6.092381,2.750819,2.383203,4.928222,10.727066
E0089,5.325522,2.68054,9.381024,5.982342,4.977776
E0090,6.321626,1.723455,5.035204,20.457923,1.827848
E0091,18.521488,1.736061,4.477958,9.065325,3.205773
E0092,17.758715,2.429727,2.975197,2.78428,37.187332
E0093,4.175272,1.543616,12.677076,4.011012,12.108572
E0094,12.446399,2.154091,37.200826,4.951453,19.728607
E0095,7.692335,1.745145,11.814221,10.485898,4.823335
E0096,2.305427,2.287941,22.886387,5.748623,10.649161
E0097,2.669636,2.998265,8.094994,3.335997,5.948256
E0098,1.205219,1.791247,23.552887,3.87502,14.161828
E0099,13.70884,1.52801,16.080148,16.060414,15.311244
E0100,18.793876,2.722352,6.406974,9.054995,7.879769
E0101,10.383834,2.023087,13.567054,16.178647,3.698908
E0102,4.669831,1.496932,5.129545,5.751404,8.387479
E0103,1.605993,1.85482,8.502717,9.8606,5.160279
E0104,2.812192,2.074497,2.839015,58.479081,12.32988
E0105,8.332447,1.671641,15.299648,6.191425,6.013425
E0106,4.691762,1.903145,32.021156,2.60454,9.792015
E0107,2.802,1.530905,14.38923,2.430788,3.194575
E0108,1.856623,2.551004,8.147535,18.009139,24.447735
E0109,31.035387,1.634074,10.326348,5.391808,1.520532
E0110,12.360532,2.098976,33.863272,5.822784,9.714902
E0111,8.124925,1.381549,1.928034,5.889112,11.518924
E0112,7.691718,1.492522,9.732733,6.58393,1.592681
E0113,9.420533,2.852319,11.30918,17.906176,8.080615
E0114,13.968676,3.375034,3.354571,7.972454,30.577874
E0115,20.444727,2.018854,2.273118,11.997761,9.271553
E0116,3.390007,1.073363,4.440626,16.643013,5.548818
E0117,4.367968,1.695126,2.81684,6.340144,8.769215
E0118,20.576564,2.143207,7.214217,26.858665,6.527783
E0119,5.153169,2.071426,2.694566,8.008032,7.99945
E0120,3.951116,1.708125,7.727387,5.976734,4.842351
E0121,25.009969,2.918195,14.758217,8.983382,5.23826
E0122,7.421008,3.969926,7.953953,5.334853,2.899695
E0123,9.100163,2.192686,6.490633,21.143718,6.88325
E0124,3.793485,2.454189,2.719037,11.393226,13.087998
E0125,3.101297,2.416643,6.208271,4.174211,14.137167
E0126,4.226642,2.694862,15.623441,8.60096,2.289461
