item_id,embedding,label
I0000,"6.874628, 2.858888, 1.995345, 4.128699, 8.837383, 2.538643, -1.999835, -3.304218, 4.167753, 2.887711, 2.240502, 1.002867, 4.277972, -1.108957, 3.147764, -0.466607",c3
I0001,"-1.844046, -3.240808, 0.919822, -1.797178, 1.074693, 3.073592, -1.680396, -0.193469, 0.32733, -1.78105, -0.694924, 1.137937, -1.844912, -0.227963, 1.575068, 3.099666",c0
I0002,"-1.775646, -4.990161, -0.456974, 3.923321, 4.689508, 4.316843, -2.34232, 6.783838, -5.001169, 3.976479, -1.808887, -1.350859, 1.743362, -4.805361, -0.183148, -5.29184",c4
I0003,"-3.68649, -2.851621, 2.434454, -1.214019, 1.460881, 2.532245, -1.777994, -0.402532, 1.256489, -1.00611, -0.680671, 0.602523, -2.016329, -1.768033, 2.078146, 2.873094",c0
I0004,"-3.639709, -3.485182, 1.458216, -0.430827, 2.322827, 2.11194, -1.178998, -0.517663, 0.385962, -1.051315, -0.860266, 0.979739, -1.929248, -0.67917, 1.703833, 0.956474",c0
I0005,"0.031625, 0.312972, 3.754709, 0.138482, 4.202688, -4.282527, 5.205304, 3.180907, -4.241594, 0.042852, 2.234886, -2.023246, 2.516648, -1.294911, -2.809041, -4.210573",c2
I0006,"-2.395315, -4.994195, 0.061496, 3.155076, 6.080031, 3.676123, -2.10022, 6.071793, -4.590813, 5.424328, -1.711698, -1.10939, 0.83853, -6.389413, -1.762198, -5.285223",c4
I0007,"-3.584307, -3.526791, -1.25882, 3.141197, 4.750954, 4.841636, -1.997798, 7.327529, -4.4378, 5.197872, -1.03918, -1.809325, 1.849368, -6.859315, -0.903552, -5.202388",c4
I0008,"7.431973, 3.146946, 0.973176, 5.208739, 8.721379, 1.867564, -3.383632, -4.324799, 4.693212, 1.522029, 1.747459, -0.468507, 4.421795, -1.739653, 4.828279, -0.449716",c3
I0009,"1.479921, -1.406793, -4.078413, -0.562241, -3.94085, 1.785924, 2.373675, -1.720976, -5.820732, -0.842904, -0.729608, -2.391783, -2.268254, 0.34341, -1.732034, 2.009127",c1
I0010,"-3.566902, -3.889905, 1.697922, -0.231719, 2.397732, 2.399622, -1.098481, -1.412744, 0.603078, -0.852565, -0.180621, 0.692252, -2.185222, -0.72869, 1.634776, 3.274838",c0
I0011,"-3.295415, -1.718616, -2.359421, 3.24289, 2.235845, -0.487376, 3.650962, -4.20315, 0.852666, -4.665277, 0.68464, -2.45457, 0.337805, 0.764573, -5.67901, -1.067206",c5
I0012,"7.594053, 3.059589, 0.13046, 5.175229, 7.992146, 2.458158, -3.482837, -3.002223, 5.5977, 1.825038, 1.434495, 0.997012, 4.287128, -2.255913, 3.452271, -0.774728",c3
I0013,"-3.854854, -1.169014, -1.801973, 4.420942, 2.352385, 0.236712, 2.892321, -3.387703, 0.870578, -3.181533, -0.151965, -1.91922, 0.237047, 2.478491, -6.35071, -1.05779",c5
I0014,"0.83145, -1.449152, -2.91639, -0.41668, -4.545155, 1.739767, 1.482345, -0.715632, -5.336888, 0.223293, -1.090686, -1.441383, -2.008708, 0.874059, -1.860217, 1.989829",c1
I0015,"-2.472995, -4.41866, -0.158904, 3.805037, 4.849328, 4.117157, -1.632614, 6.24895, -4.586592, 4.499618, -1.753268, -1.107901, 2.437044, -5.899525, -0.505305, -5.477505",c4
I0016,"-2.423953, -4.447503, 0.810399, 3.02835, 5.005326, 3.995894, -2.476874, 7.429344, -4.569788, 3.713425, -0.453976, -2.263346, 0.351898, -5.878473, -0.951046, -5.969123",c4
I0017,"0.046889, -2.656117, -4.566061, -0.573203, -5.344924, 1.155051, 1.597238, -0.3933, -6.079513, -0.204382, -0.654647, -2.057619, -2.326462, 0.397934, -2.089974, 2.975488",c1
I0018,"-3.218751, -1.380228, -1.667709, 3.722678, 2.494669, 0.513768, 2.41553, -3.173735, 1.123582, -3.899866, 0.937516, -1.754425, 1.326696, 1.671352, -5.999371, -0.743067",c5
I0019,"-0.952603, -3.365873, -0.984627, 4.130195, 5.688711, 3.193412, -2.600417, 6.038129, -4.861438, 4.284542, -0.660575, -1.796295, 2.686841, -6.124484, -1.516773, -6.436369",c4
I0020,"-5.051767, -1.851862, -1.910025, 3.26055, 2.480633, -0.079338, 3.525431, -3.868576, 1.676134, -3.590033, -0.450137, -2.079808, 0.378246, 2.350932, -4.971859, 0.27455",c5
I0021,"-3.866577, -2.415838, -2.792272, 3.69438, 2.689432, -0.890459, 4.172299, -3.446209, 1.617743, -3.764104, 0.474202, -3.315556, 1.454276, 2.766007, -6.151522, -0.4571",c5
