row_id,account_id,event_time,amount,category
R00327,A0014,1772669340000,22.07,grocery
R00328,A0075,1772669580000,23.02,other
R00329,A0093,1772669760000,8.66,travel
R00330,A0039,1772670180000,12.96,grocery
R00331,A0100,1772670360000,2.7,travel
R00332,A0005,1772670780000,17.47,salary
R00333,A0075,1772671080000,9.05,salary
R00334,A0020,1772671260000,13.33,rent
R00335,A0080,1772671920000,4.38,rent
R00336,A0036,1772672280000,84.59,grocery
R00337,A0096,1772672460000,20.89,other
R00338,A0132,1772673720000,8.11,grocery
R00339,A0128,1772674200000,10.64,salary
R00340,A0096,1772674620000,243.99,rent
R00341,A0136,1772675880000,12.69,rent
R00342,A0035,1772677800000,51.08,salary
R00343,A0072,1772677920000,20.62,other
R00344,A0039,1772679240000,30.69,salary
R00345,A0030,1772679600000,3.31,other
R00346,A0125,1772680080000,14.99,salary
R00347,A0013,1772680620000,17.17,other
R00348,A0020,1772681160000,12.32,other
R00349,A0100,1772681580000,13.5,salary
R00350,A0084,1772682660000,5.65,other
R00351,A0094,1772683200000,85.63,rent
R00352,A0065,1772683800000,35.32,other
R00353,A0111,1772684400000,5.59,salary
R00354,A0119,1772684640000,19.32,salary
R00355,A0008,1772684940000,1.83,salary
R00356,A0141,1772685360000,2.75,grocery
R00357,A0062,1772685360000,26.71,salary
R00358,A0124,1772685840000,9.86,travel
R00359,A0033,1772686080000,50.7,salary
R00360,A0017,1772686140000,12.06,rent
R00361,A0078,1772687340000,14.94,salary
R00362,A0050,1772687520000,35.77,other
R00363,A0064,1772689080000,182.72,salary
R00364,A0025,1772690220000,15.58,salary
R00365,A0132,1772690520000,14.32,travel
R00366,A0005,1772690880000,15.07,grocery
R00367,A0089,1772692920000,45.71,travel
R00368,A0118,1772693100000,86.14,salary
R00369,A0070,1772693460000,18.58,other
R00370,A0066,1772693880000,32.84,other
R00371,A0086,1772694120000,19.68,other
R00372,A0149,1772694540000,20.3,other
R00373,A0059,1772694600000,28.13,rent
R00374,A0065,1772695320000,9.64,grocery
R00375,A0089,1772695380000,12.37,travel
R00376,A0055,1772695680000,62.22,salary
R00377,A0095,1772697900000,25.89,rent
R00378,A0043,1772700000000,5.78,travel
R00379,A0087,1772700000000,26.96,grocery
R00380,A0122,1772701080000,36.87,travel
R00381,A0012,1772702040000,6.39,salary
R00382,A0063,1772702700000,7.91,grocery
R00383,A0046,1772704200000,11.42,grocery
R00384,A0060,1772704620000,13.02,salary
R00385,A0056,1772705100000,31.97,travel
R00386,A0126,1772705460000,37.34,grocery
R00387,A0111,1772705760000,482.82,salary
R00388,A0044,1772706720000,38.69,travel
R00389,A0084,1772708280000,31.4,rent
R00390,A0065,1772708340000,28.69,salary
R00391,A0029,1772711040000,10.52,travel
R00392,A0048,1772711100000,29.69,grocery
R00393,A0105,1772711340000,16.94,rent
R00394,A0089,1772712180000,12.71,salary
R00395,A0035,1772713200000,16.91,other
R00396,A0093,1772713860000,54.12,grocery
R00397,A0005,1772713980000,18.75,salary
R00398,A0026,1772714100000,6.25,grocery
R00399,A0030,1772714460000,6.99,salary
R00400,A0010,1772715060000,128.01,rent
R00401,A0086,1772717160000,88.96,grocery
R00402,A0045,1772718360000,23.61,salary
R00403,A0142,1772718780000,12.59,salary
R00404,A0109,1772719980000,5.33,other
R00405,A0130,1772720280000,44.76,rent
R00406,A0035,1772720640000,7.33,salary
R00407,A0052,1772721360000,80.83,other
R00408,A0104,1772721360000,40.36,salary
R00409,A0107,1772721420000,9.67,rent
R00410,A0147,1772724060000,20.76,other
R00411,A0109,1772724360000,16.9,rent
R00412,A0046,1772724600000,44.37,travel
R00413,A0093,1772725020000,19.47,travel
R00414,A0076,1772726760000,113.68,other
R00415,A0133,1772726820000,5.76,other
R00416,A0135,1772726940000,16.87,rent
R00417,A0137,1772727900000,10.76,grocery
R00418,A0128,1772728260000,40.39,other
R00419,A0058,1772729580000,57.07,salary
R00420,A0080,1772732100000,16.99,salary
R00421,A0129,1772732640000,41.48,rent
R00422,A0148,1772732820000,24.49,salary
R00423,A0034,1772735940000,126.3,rent
R00424,A0083,1772738340000,31.47,travel
R00425,A0010,1772739300000,21.36,other
R00426,A0053,1772742600000,5.93,travel
R00427,A0093,1772743800000,24.24,other
R00428,A0103,1772743860000,23.8,rent
R00429,A0147,1772744100000,6.76,rent
R00430,A0042,1772744100000,39.1,salary
R00431,A0014,1772745000000,41.57,grocery
R00432,A0009,1772745420000,12.82,grocery
R00433,A0012,1772746920000,59.27,salary
R00434,A0020,1772747100000,22.44,other
R00435,A0115,1772747100000,4.9,travel
R00436,A0111,1772748060000,19.07,other
R00437,A0077,1772748360000,12.92,salary
R00438,A0117,1772750760000,17.19,other
R00439,A0096,1772751360000,11.06,grocery
R00440,A0044,1772752020000,12.87,salary
R00441,A0106,1772752200000,117.21,other
R00442,A0087,1772752380000,7.68,travel
R00443,A0100,1772752500000,3.98,salary
R00444,A0038,1772753640000,19.59,other
R00445,A0113,1772753640000,27.91,salary
R00446,A0023,1772755080000,97.59,travel
