row_id,status,balance,updated_at
R00227,active,439.51,1770450180000
R00087,active,4863.31,1770305820000
R00329,closed,7131.89,1770004140000
R00396,active,5510.76,1770006600000
R00196,closed,6025.23,1770055620000
R00257,dormant,3993.55,1770161940000
R00025,dormant,3832.46,1770021360000
R00231,closed,3909.16,1769932440000
R00010,active,5910.96,1770473640000
R00229,active,7226.32,1770383760000
R00079,dormant,7846.49,1770026580000
R00152,active,7581.2,1770221100000
R00389,closed,5849.96,1769989920000
R00256,active,5016.3,1770163560000
R00099,active,4489.41,1769925360000
R00198,dormant,5987.97,1770435000000
R00347,closed,7443.38,1770027180000
R00039,closed,4019.35,1770263580000
R00192,active,3067.42,1770267060000
R00066,closed,8005.26,1770470280000
R00029,dormant,6280.93,1769934240000
R00108,active,5631.69,1770315900000
R00245,active,3456.75,1769920140000
R00367,dormant,4436.08,1770134580000
R00279,closed,5958.02,1769925720000
R00003,dormant,4652.81,1769989920000
R00297,dormant,5428.5,1770251160000
R00092,active,1171.96,1770235380000
R00265,closed,8895.33,1770404580000
R00266,active,4255.81,1770418740000
R00375,dormant,1499.25,1770487020000
R00391,closed,2532.79,1770031620000
R00046,dormant,6296.21,1770265740000
R00255,closed,5275.87,1770254100000
R00068,dormant,4976.31,1770457260000
R00187,active,6004.77,1770236160000
R00049,closed,6322.85,1770163980000
R00316,active,5572.39,1770189420000
R00197,dormant,6417.4,1770010980000
R00310,closed,4534.99,1770274980000
R00189,active,4600.22,1770026760000
R00053,dormant,2627.47,1770078540000
R00186,closed,6583.26,1770326580000
R00106,closed,1832.01,1770096360000
R00287,active,5779.0,1769937300000
R00283,closed,3798.96,1770264000000
R00078,closed,10170.37,1769941320000
R00159,closed,4803.35,1770216600000
R00051,closed,4292.83,1770493080000
R00132,closed,-1105.92,1770302520000
R00037,dormant,5812.6,1770106440000
R00015,dormant,5769.75,1770306900000
R00001,dormant,4945.13,1770425700000
R00398,dormant,2144.0,1770224400000
R00042,closed,3141.43,1770208320000
R00005,active,6508.52,1770434400000
R00212,active,7825.26,1770363780000
R00248,dormant,3627.11,1770241620000
R00284,closed,8306.13,1770055320000
R00034,closed,5158.6,1770008880000
R00288,closed,6668.93,1770300060000
R00397,closed,6440.88,1770362040000
R00043,active,4596.01,1770329280000
R00056,dormant,3649.72,1769914500000
R00254,closed,6763.91,1770235500000
R00269,dormant,2658.71,1770292500000
R00222,active,8473.15,1769979120000
R00036,active,5264.02,1770428760000
R00252,dormant,5099.58,1770048900000
R00105,dormant,7951.75,1770471600000
R00333,closed,1915.79,1770066120000
R00337,active,6153.53,1770038700000
R00327,closed,7927.57,1770420780000
R00076,closed,7272.03,1770254640000
R00147,active,1665.95,1770204360000
R00259,closed,6244.59,1770273360000
R00244,dormant,4013.08,1770149040000
R00017,active,6566.85,1770235080000
R00009,active,6902.41,1770447720000
R00237,active,7927.88,1770212580000
R00240,dormant,5400.49,1770165660000
R00204,active,5082.05,1770208800000
R00041,closed,6006.47,1770179220000
R00247,active,5051.79,1770155640000
R00135,active,3961.46,1770208980000
R00075,dormant,4851.28,1770392400000
R00141,dormant,3716.28,1770370380000
R00203,dormant,5601.38,1770328500000
R00130,active,3115.01,1770075540000
R00088,active,3652.99,1770501060000
R00323,closed,4559.7,1770216900000
R00330,dormant,1368.2,1770104220000
R00384,dormant,5783.37,1770488220000
R00298,dormant,5310.37,1770047580000
R00013,dormant,2902.04,1769993880000
R00379,active,5861.36,1770488760000
R00052,dormant,5065.18,1770284280000
R00394,closed,8990.83,1770469440000
R00150,closed,5350.34,1770449760000
R00021,dormant,7256.38,1770118860000
R00258,active,3385.38,1770261600000
R00061,dormant,6094.53,1769969220000
R00342,active,3237.71,1770118620000
R00004,dormant,5246.29,1770215460000
R00290,closed,7882.83,1770226920000
R00160,closed,2793.6,1770095580000
R00007,dormant,3895.83,1770077820000
R00314,active,4777.09,1770316440000
R00372,active,8563.84,1770070860000
R00308,closed,4129.46,1770290340000
R00378,closed,4368.1,1770454320000
R00024,closed,4071.01,1770264420000
R00382,active,1039.46,1769998260000
R00219,closed,5062.13,1770375420000
R00118,closed,6197.97,1769957040000
R00340,active,6354.37,1770342900000
R00000,dormant,4676.3,1770292200000
R00102,closed,-967.45,1770244080000
R00054,dormant,5952.54,1770335040000
R00181,dormant,3732.91,1770139740000
R00006,closed,8608.39,1770164220000
R00317,dormant,7185.43,1770067020000
R00313,active,6548.6,1770364560000
R00294,closed,2300.9,1770223920000
R00221,closed,5463.9,1770080040000
R00393,dormant,2949.26,1770028320000
R00188,closed,3123.66,1770488640000
R00210,closed,3396.79,1770452280000
R00055,dormant,6663.52,1770059220000
R00050,closed,5201.02,1770417480000
R00324,dormant,5767.51,1770354420000
R00200,closed,4974.43,1770218160000
R00350,active,2244.15,1770225120000
R00063,closed,2858.44,1769937300000
R00385,dormant,3698.42,1770125220000
R00285,active,6508.21,1770218460000
R00246,active,5434.84,1770230640000
R00018,closed,4930.2,1770380340000
R00110,dormant,8039.4,1770039000000
R00111,closed,7302.82,1770409500000
R00388,dormant,6695.03,1770126840000
R00249,closed,5713.03,1770412320000
R00291,active,6314.97,1770127440000
R00126,dormant,8064.6,1770206580000
R00067,closed,3760.37,1770169620000
R00209,closed,2796.53,1770164520000
R00191,active,3302.8,1770257820000
R00325,closed,2723.89,1769973600000
R00234,dormant,1022.9,1770090660000
R00205,closed,5027.76,1770496020000
R00073,closed,4133.11,1770492480000
R00305,active,1902.06,1769941380000
R00383,dormant,4881.65,1770063900000
R00033,dormant,7408.19,1770201780000
R00057,dormant,6989.39,1770339120000
R00235,closed,7180.4,1770046320000
R00143,closed,4227.61,1770142020000
R00220,dormant,5380.51,1770095160000
R00232,active,4160.24,1770157440000
R00267,dormant,4311.9,1770042960000
R00074,active,2051.34,1770188340000
R00332,closed,7085.97,1770138240000
R00031,dormant,4662.22,1770262740000
R00261,dormant,5689.13,1770419400000
R00002,dormant,5152.98,1770119040000
R00299,dormant,3578.42,1769974800000
R00032,active,4810.39,1770351120000
R00275,closed,3866.44,1770205920000
R00214,dormant,6951.6,1770389460000
R00144,dormant,7322.97,1769984940000
R00335,closed,6055.94,1770481860000
R00293,dormant,6697.75,1770370320000
R00113,dormant,4099.52,1769971980000
R00301,active,7663.17,1770485520000
R00281,closed,5249.9,1770060180000
R00027,closed,6322.11,1770006720000
R00268,closed,7102.94,1770218880000
R00158,closed,3647.51,1770114900000
R00241,closed,5431.91,1769965200000
R00296,dormant,5970.55,1770403380000
R00349,dormant,8367.64,1770322440000
R00161,active,6671.88,1770212820000
R00014,dormant,1958.56,1769939820000
R00020,active,4326.18,1770051900000
R00360,dormant,3229.43,1770208140000
R00361,closed,3530.95,1770016320000
R00292,dormant,1104.54,1769927040000
R00262,active,5851.02,1769949720000
R00060,active,7371.48,1770212820000
R00121,dormant,6323.65,1770451500000
R00336,active,1506.22,1770361620000
R00321,closed,2808.47,1770437220000
R00356,closed,1542.21,1770268500000
R00226,dormant,3470.89,1770426900000
R00030,active,4856.74,1770284580000
R00194,active,7209.62,1769940960000
R00357,active,4234.06,1770070200000
R00344,closed,7815.69,1770371400000
R00359,dormant,6993.45,1770477720000
R00326,dormant,3492.55,1770412320000
