row_id,account_id,event_time,amount,category
R00000,A0038,1767228360000,26.37,grocery
R00001,A0050,1767234840000,89.78,rent
R00002,A0076,1767243720000,9.8,other
R00003,A0017,1767249480000,31.32,travel
R00004,A0094,1767256680000,46.93,rent
R00005,A0117,1767257460000,2.51,salary
R00006,A0052,1767266520000,15.11,grocery
R00007,A0061,1767296220000,20.89,grocery
R00008,A0044,1767300240000,6.7,travel
R00009,A0019,1767300960000,58.04,grocery
R00010,A0099,1767303420000,25.23,travel
R00011,A0071,1767312120000,19.44,travel
R00012,A0105,1767323460000,97.78,grocery
R00013,A0083,1767324360000,11.1,salary
R00014,A0009,1767343980000,49.39,grocery
R00015,A0007,1767383100000,95.37,other
R00016,A0096,1767393900000,8.84,rent
R00017,A0094,1767403200000,14.41,travel
R00018,A0058,1767434940000,8.31,salary
R00019,A0116,1767436920000,9.82,travel
R00020,A0091,1767452460000,53.74,rent
R00021,A0092,1767454560000,4.95,grocery
R00022,A0059,1767461640000,34.01,other
R00023,A0042,1767462960000,8.66,grocery
R00024,A0067,1767475620000,1.34,grocery
R00025,A0111,1767481020000,8.74,travel
R00026,A0056,1767483780000,9.64,travel
R00027,A0099,1767485460000,9.85,salary
R00028,A0092,1767488520000,18.99,salary
R00029,A0049,1767490680000,5.19,other
R00030,A0078,1767495180000,42.64,other
R00031,A0085,1767529440000,4.89,other
R00032,A0102,1767532740000,5.5,other
R00033,A0111,1767532860000,7.77,rent
R00034,A0062,1767537180000,38.42,salary
R00035,A0024,1767539820000,11.84,rent
R00036,A0040,1767547080000,8.98,other
R00037,A0037,1767570480000,101.22,rent
R00038,A0077,1767575220000,19.37,salary
R00039,A0039,1767576540000,5.44,rent
R00040,A0063,1767593100000,16.9,rent
R00041,A0076,1767599700000,25.56,rent
R00042,A0006,1767608280000,31.89,grocery
R00043,A0118,1767611520000,96.46,grocery
R00044,A0093,1767624060000,3.07,travel
R00045,A0117,1767651300000,22.93,other
R00046,A0096,1767664320000,178.0,rent
R00047,A0002,1767682980000,81.72,salary
R00048,A0103,1767691020000,222.4,grocery
R00049,A0044,1767699900000,106.76,other
R00050,A0044,1767701940000,3.0,rent
R00051,A0021,1767711960000,38.9,other
