row_id,account_id,event_time,amount,category
R00556,A0113,1772842560000,8.63,travel
R00557,A0148,1772842860000,11.21,rent
R00558,A0068,1772843580000,10.36,grocery
R00559,A0019,1772843640000,26.9,travel
R00560,A0019,1772844360000,18.16,salary
R00561,A0064,1772845800000,34.02,travel
R00562,A0149,1772846460000,10.92,salary
R00563,A0125,1772848200000,3.02,rent
R00564,A0024,1772848380000,5.52,grocery
R00565,A0139,1772848560000,119.73,grocery
R00566,A0032,1772849100000,39.22,rent
R00567,A0053,1772849100000,29.58,other
R00568,A0110,1772849820000,42.56,salary
R00569,A0121,1772849880000,9.46,rent
R00570,A0046,1772850840000,72.81,travel
R00571,A0030,1772850840000,19.0,salary
R00572,A0050,1772851500000,28.88,rent
R00573,A0097,1772853180000,7.83,rent
R00574,A0096,1772854320000,34.43,salary
R00575,A0027,1772855340000,105.61,other
R00576,A0088,1772855460000,38.59,rent
R00577,A0035,1772856000000,16.9,rent
R00578,A0119,1772858880000,102.78,salary
R00579,A0072,1772858940000,12.66,travel
R00580,A0040,1772859420000,39.81,rent
R00581,A0058,1772860440000,9.86,grocery
R00582,A0101,1772861040000,39.13,travel
R00583,A0122,1772861400000,11.98,rent
R00584,A0133,1772862480000,49.62,grocery
R00585,A0104,1772863020000,44.74,travel
R00586,A0044,1772863260000,52.42,other
R00587,A0037,1772865060000,49.09,rent
R00588,A0142,1772865420000,11.09,grocery
R00589,A0114,1772865720000,27.96,rent
R00590,A0134,1772866380000,6.19,other
R00591,A0024,1772866560000,75.65,grocery
R00592,A0026,1772867100000,29.98,salary
R00593,A0001,1772867280000,26.34,travel
R00594,A0085,1772869320000,5.41,other
R00595,A0018,1772870460000,29.27,other
R00596,A0133,1772873280000,26.56,rent
R00597,A0032,1772873760000,23.69,grocery
R00598,A0030,1772875800000,31.01,travel
R00599,A0024,1772878560000,12.51,rent
R00600,A0109,1772879640000,4.6,travel
R00601,A0071,1772879640000,19.07,grocery
R00602,A0071,1772880120000,18.1,rent
R00603,A0087,1772880660000,7.68,grocery
R00604,A0134,1772880780000,6.93,salary
R00605,A0145,1772880960000,55.99,other
R00606,A0116,1772880960000,54.88,other
R00607,A0117,1772881260000,10.45,other
R00608,A0103,1772881560000,18.61,travel
R00609,A0069,1772881740000,16.75,salary
R00610,A0062,1772881980000,9.52,grocery
R00611,A0135,1772882880000,19.5,grocery
R00612,A0039,1772883600000,1.51,salary
R00613,A0046,1772883780000,5.85,grocery
R00614,A0001,1772884560000,41.5,rent
R00615,A0060,1772884860000,12.73,travel
R00616,A0020,1772885160000,4.75,other
R00617,A0058,1772886420000,5.09,other
R00618,A0012,1772886480000,87.37,grocery
R00619,A0053,1772887380000,2.76,rent
R00620,A0083,1772887800000,28.77,rent
R00621,A0127,1772889000000,64.66,grocery
R00622,A0069,1772890380000,100.91,grocery
R00623,A0080,1772890440000,50.3,rent
R00624,A0099,1772890980000,17.09,salary
R00625,A0012,1772890980000,54.87,grocery
R00626,A0110,1772893260000,4.62,salary
R00627,A0030,1772895720000,10.65,salary
R00628,A0131,1772897820000,12.54,salary
R00629,A0025,1772897940000,6.32,other
R00630,A0119,1772898180000,3.41,other
R00631,A0040,1772898420000,10.35,other
R00632,A0062,1772899140000,19.92,travel
R00633,A0064,1772899680000,16.47,other
R00634,A0081,1772900400000,7.65,travel
R00635,A0141,1772901300000,13.92,salary
R00636,A0078,1772902440000,50.99,rent
R00637,A0039,1772902680000,17.06,travel
R00638,A0036,1772902740000,48.07,salary
R00639,A0091,1772903520000,23.79,grocery
R00640,A0042,1772904180000,67.91,salary
R00641,A0041,1772905260000,6.69,travel
R00642,A0004,1772908440000,11.83,grocery
R00643,A0019,1772910780000,50.26,other
R00644,A0122,1772911320000,125.16,salary
R00645,A0052,1772912220000,17.09,rent
R00646,A0146,1772912580000,7.66,rent
R00647,A0096,1772912580000,14.9,other
R00648,A0137,1772914200000,32.98,other
R00649,A0140,1772914500000,35.26,other
R00650,A0022,1772914680000,29.76,salary
R00651,A0117,1772914680000,21.88,other
R00652,A0094,1772918760000,5.82,rent
R00653,A0013,1772918820000,7.47,salary
R00654,A0128,1772919000000,23.73,grocery
R00655,A0102,1772919120000,16.46,salary
R00656,A0145,1772919300000,4.92,salary
R00657,A0122,1772921400000,11.87,salary
R00658,A0144,1772921700000,45.5,rent
R00659,A0101,1772921880000,10.96,travel
R00660,A0089,1772922120000,80.12,other
R00661,A0113,1772922600000,12.34,other
R00662,A0060,1772923260000,3.34,other
R00663,A0079,1772924340000,105.34,travel
R00664,A0118,1772924460000,343.8,grocery
R00665,A0020,1772927160000,2.31,grocery
R00666,A0018,1772927160000,14.22,rent
