row_id,account_id,event_time,amount,category
R00458,A0109,1772755380000,11.7,other
R00459,A0075,1772755440000,16.16,salary
R00460,A0074,1772756040000,15.19,grocery
R00461,A0026,1772756160000,8.1,grocery
R00462,A0080,1772756640000,17.66,travel
R00463,A0015,1772757300000,99.53,grocery
R00464,A0113,1772758080000,1.54,other
R00465,A0119,1772760240000,13.01,salary
R00466,A0023,1772760300000,22.53,other
R00467,A0087,1772760840000,8.28,other
R00468,A0051,1772761320000,7.8,rent
R00469,A0124,1772762160000,4.39,other
R00470,A0008,1772763660000,8.07,grocery
R00471,A0121,1772763840000,45.24,other
R00472,A0042,1772765400000,3.61,travel
R00473,A0072,1772766540000,29.55,rent
R00474,A0078,1772768940000,14.3,rent
R00475,A0142,1772769900000,94.84,salary
R00476,A0126,1772770320000,29.69,rent
R00477,A0095,1772772420000,25.69,other
R00478,A0048,1772772660000,109.18,travel
R00479,A0118,1772774340000,19.79,travel
R00480,A0071,1772776380000,20.68,rent
R00481,A0139,1772776620000,33.4,grocery
R00482,A0146,1772777460000,12.77,other
R00483,A0023,1772779380000,28.32,grocery
R00484,A0046,1772780820000,17.17,grocery
R00485,A0081,1772781060000,24.15,salary
R00486,A0126,1772782200000,34.28,travel
R00487,A0109,1772782740000,12.94,travel
R00488,A0047,1772785260000,20.27,salary
R00489,A0133,1772786280000,3.66,rent
R00490,A0137,1772786520000,16.62,travel
R00491,A0041,1772788200000,46.81,rent
R00492,A0061,1772788440000,49.08,rent
R00493,A0127,1772788680000,40.23,rent
R00494,A0047,1772789280000,9.82,rent
R00495,A0132,1772789580000,51.73,salary
R00496,A0074,1772789580000,42.16,other
R00497,A0095,1772791980000,14.19,salary
R00498,A0003,1772793000000,50.2,rent
R00499,A0133,1772793720000,45.54,rent
R00500,A0037,1772793780000,4.1,grocery
R00501,A0079,1772793840000,18.01,salary
R00502,A0057,1772793900000,140.41,rent
R00503,A0011,1772794620000,17.57,rent
R00504,A0135,1772794980000,14.43,grocery
R00505,A0000,1772795340000,16.19,travel
R00506,A0085,1772795460000,81.8,grocery
R00507,A0036,1772795640000,5.98,grocery
R00508,A0118,1772798220000,27.83,other
R00509,A0083,1772799360000,5.16,travel
R00510,A0071,1772799420000,15.87,travel
R00511,A0128,1772800440000,12.68,salary
R00512,A0012,1772800680000,16.61,other
R00513,A0009,1772800860000,0.82,grocery
R00514,A0089,1772801220000,2.6,travel
R00515,A0040,1772802360000,17.9,salary
R00516,A0098,1772803500000,32.99,travel
R00517,A0080,1772805720000,34.33,travel
R00518,A0093,1772806200000,24.77,travel
R00519,A0056,1772806500000,6.84,rent
R00520,A0067,1772808780000,27.51,travel
R00521,A0014,1772809680000,10.37,grocery
R00522,A0074,1772809860000,11.28,grocery
R00523,A0006,1772811420000,8.05,salary
R00524,A0010,1772811660000,8.19,travel
R00525,A0141,1772811720000,44.21,salary
R00526,A0004,1772812080000,28.29,rent
R00527,A0085,1772812740000,49.28,travel
R00528,A0034,1772813880000,20.43,other
R00529,A0020,1772814660000,19.14,other
R00530,A0055,1772816340000,235.76,grocery
R00531,A0108,1772816520000,11.78,travel
R00532,A0079,1772817540000,44.91,salary
R00533,A0083,1772817840000,12.67,grocery
R00534,A0133,1772818140000,66.65,travel
R00535,A0137,1772818680000,18.27,grocery
R00536,A0078,1772818920000,21.44,rent
R00537,A0099,1772819940000,11.14,salary
R00538,A0012,1772821200000,7.47,travel
R00539,A0066,1772821800000,51.18,rent
R00540,A0033,1772822040000,39.43,salary
R00541,A0011,1772827440000,15.43,rent
R00542,A0058,1772827740000,8.99,salary
R00543,A0046,1772827980000,2.17,salary
R00544,A0124,1772828040000,31.43,salary
R00545,A0020,1772829060000,65.64,travel
R00546,A0031,1772829240000,66.27,travel
R00547,A0102,1772830200000,14.85,rent
R00548,A0108,1772832000000,23.82,travel
R00549,A0110,1772834100000,5.82,travel
R00550,A0003,1772834220000,10.18,travel
R00551,A0012,1772834820000,54.31,grocery
R00552,A0027,1772836140000,7.57,travel
R00553,A0061,1772836560000,3.04,salary
R00554,A0137,1772836860000,115.75,travel
R00555,A0051,1772839140000,63.11,grocery
