row_id,status,balance,updated_at
R00217,active,4307.26,1770747900000
R00275,active,6518.93,1770717060000
R00332,active,2711.59,1770713760000
R00031,active,2485.1,1770712140000
R00039,active,2492.93,1770690060000
R00384,active,5238.36,1770633240000
R00348,dormant,5122.01,1770621720000
R00061,active,6940.21,1770617400000
R00096,active,5395.58,1770615660000
R00205,dormant,2893.21,1770599220000
R00359,active,3261.21,1770591240000
R00240,active,2119.36,1770589800000
R00192,active,5994.13,1770586920000
R00270,closed,3182.02,1770586740000
R00109,dormant,7741.18,1770575640000
R00393,dormant,6750.59,1770573780000
R00236,dormant,3123.24,1770571200000
R00316,closed,3810.11,1770565140000
R00209,dormant,4257.37,1770564360000
R00314,closed,5154.07,1770561900000
R00007,dormant,4173.26,1770561480000
R00066,active,3194.94,1770543240000
R00227,closed,7345.06,1770540060000
R00027,active,3130.51,1770521880000
R00148,closed,4086.06,1770513600000
R00189,active,4913.45,1770505260000
R00284,dormant,5575.28,1770503940000
R00211,dormant,3588.57,1770502320000
R00395,closed,5148.83,1770498360000
R00069,closed,1023.64,1770496740000
R00125,closed,5112.01,1770496560000
R00014,dormant,7194.72,1770496380000
R00385,dormant,6854.65,1770495840000
R00210,closed,5189.64,1770494400000
R00059,active,5643.07,1770493920000
R00019,active,5249.86,1770491880000
R00309,closed,4555.59,1770491520000
R00036,dormant,2972.54,1770490620000
R00288,dormant,6058.71,1770488700000
R00033,closed,3339.81,1770488580000
R00327,closed,9197.53,1770487740000
R00006,active,6635.18,1770482280000
R00122,closed,7555.55,1770481380000
R00368,active,4507.23,1770474780000
R00080,dormant,2217.25,1770473520000
R00116,closed,2387.96,1770473460000
R00267,active,4488.77,1770471300000
R00282,dormant,820.02,1770471180000
R00067,active,5450.24,1770470160000
R00181,closed,5724.12,1770468480000
R00313,dormant,4261.83,1770465540000
R00317,dormant,3422.41,1770465060000
R00277,dormant,4963.91,1770463560000
R00376,active,7004.87,1770462540000
R00112,active,816.23,1770461160000
R00017,active,4998.98,1770460980000
R00345,active,5184.85,1770460740000
R00029,dormant,3265.1,1770459360000
R00084,closed,8429.12,1770459240000
R00274,dormant,2769.99,1770459180000
R00351,active,3154.76,1770457740000
R00361,dormant,4376.54,1770456120000
R00120,active,2442.3,1770454980000
R00334,closed,5080.21,1770451200000
R00346,active,2349.89,1770448140000
R00173,active,6149.81,1770447420000
R00139,closed,6574.82,1770446820000
R00251,closed,5059.99,1770446760000
R00121,closed,6307.5,1770446460000
R00311,closed,5700.66,1770442920000
R00232,closed,8996.0,1770440700000
R00105,dormant,5112.46,1770438420000
R00034,dormant,6684.44,1770436500000
R00315,dormant,7727.84,1770434100000
R00194,dormant,6167.93,1770431880000
R00258,dormant,12028.94,1770431040000
R00238,closed,5078.41,1770424620000
R00062,dormant,4467.8,1770421200000
R00042,active,4221.85,1770418020000
R00201,dormant,7717.99,1770413580000
R00052,dormant,6041.7,1770411960000
R00065,active,3293.83,1770410460000
R00170,dormant,8139.42,1770409860000
R00091,closed,7498.14,1770407520000
R00398,closed,2065.38,1770406320000
R00302,closed,6132.21,1770405180000
R00213,closed,8392.0,1770404580000
R00074,active,3674.42,1770401940000
R00045,closed,5844.76,1770396600000
R00023,closed,4705.84,1770395940000
R00087,closed,6619.05,1770395640000
R00008,active,5932.8,1770394080000
R00130,dormant,5222.67,1770394080000
R00246,active,2000.12,1770387000000
R00337,dormant,6219.45,1770386580000
R00160,dormant,3511.56,1770384900000
R00379,closed,5166.6,1770383400000
R00046,active,4846.45,1770380100000
R00252,closed,6808.75,1770378780000
R00104,dormant,4591.95,1770378540000
R00041,active,3984.25,1770376680000
R00268,closed,5321.23,1770376500000
R00032,dormant,7245.66,1770373380000
R00115,active,4865.72,1770372720000
R00081,closed,4696.26,1770370620000
R00196,active,3469.12,1770370440000
R00273,closed,8075.01,1770369000000
R00257,dormant,8011.76,1770368940000
R00226,active,3892.38,1770366360000
R00150,active,4194.22,1770365640000
R00269,active,2632.44,1770364320000
R00212,closed,803.4,1770364260000
R00237,closed,8042.02,1770363240000
R00378,active,5532.55,1770361560000
R00222,active,6869.24,1770357780000
R00382,active,1738.27,1770356940000
R00164,dormant,7076.23,1770356340000
R00371,closed,5691.87,1770355920000
R00234,closed,3724.76,1770355800000
R00278,closed,1859.74,1770355440000
R00224,active,3727.55,1770353880000
R00276,dormant,1790.18,1770353400000
R00218,dormant,5174.4,1770351780000
R00329,closed,3930.38,1770351720000
R00060,dormant,5505.54,1770350700000
R00024,dormant,3184.14,1770347040000
R00353,dormant,6902.67,1770342180000
R00026,dormant,7400.48,1770337740000
R00103,dormant,6505.13,1770337440000
R00155,closed,5004.05,1770337260000
R00083,dormant,5073.34,1770336840000
R00093,active,4282.94,1770334140000
R00340,active,8760.79,1770332340000
R00280,active,5578.19,1770331020000
R00183,closed,6609.18,1770330720000
R00156,dormant,7775.57,1770330180000
R00186,closed,3506.23,1770328980000
R00392,dormant,4573.57,1770327600000
R00357,dormant,4116.6,1770325320000
R00015,closed,5801.54,1770325080000
R00304,dormant,5507.67,1770324840000
R00016,active,3516.2,1770322320000
R00354,closed,9691.01,1770321960000
R00305,dormant,5804.65,1770314940000
R00200,closed,7107.01,1770313680000
R00143,closed,8480.31,1770312000000
R00119,dormant,1907.26,1770309840000
R00175,active,8133.26,1770309720000
R00260,dormant,5710.84,1770309300000
R00216,dormant,9418.64,1770308700000
R00064,closed,3506.94,1770307140000
R00286,active,1406.2,1770306120000
R00174,closed,3721.74,1770305400000
R00362,dormant,4501.87,1770304620000
R00100,active,2608.65,1770303840000
R00306,dormant,5415.45,1770303840000
R00344,closed,5782.98,1770302580000
R00223,dormant,5653.22,1770301620000
R00097,dormant,5219.3,1770300840000
R00177,dormant,5526.13,1770300000000
R00358,dormant,4121.08,1770299220000
R00107,closed,3073.54,1770298200000
R00123,closed,4144.32,1770293580000
R00078,closed,4318.47,1770293340000
R00372,dormant,2217.22,1770293280000
R00231,closed,5766.63,1770290520000
R00255,active,2317.43,1770288900000
R00261,active,6819.94,1770286740000
R00005,closed,2169.2,1770286080000
R00374,dormant,2705.59,1770284640000
R00266,active,3433.28,1770283020000
R00058,dormant,-677.09,1770282240000
R00154,closed,9434.9,1770281880000
R00195,closed,5315.91,1770280260000
R00089,closed,1334.14,1770276960000
R00185,dormant,8291.0,1770276000000
R00057,active,7105.31,1770275880000
R00077,closed,3494.08,1770274320000
R00364,dormant,3276.93,1770273720000
R00166,closed,4114.43,1770272700000
R00068,active,3620.32,1770271740000
R00003,closed,1505.56,1770270120000
R00220,active,5697.08,1770270060000
R00233,closed,6679.44,1770267540000
R00094,active,6246.11,1770267360000
R00110,active,6097.82,1770265620000
R00071,active,3813.23,1770264060000
R00325,closed,4056.77,1770263760000
R00025,closed,4844.61,1770261120000
R00289,closed,5352.69,1770260940000
R00318,active,4311.86,1770259620000
R00300,active,5908.22,1770258240000
R00389,dormant,4806.55,1770255540000
R00256,closed,3555.72,1770250740000
R00114,dormant,5945.31,1770247860000
R00142,dormant,4669.2,1770247500000
R00182,active,6703.69,1770245460000
R00396,active,3911.53,1770243780000
R00198,dormant,5710.53,1770243000000
R00250,closed,4997.54,1770240660000
R00129,active,3527.19,1770240240000
R00387,active,5664.35,1770240000000
R00202,closed,5565.88,1770239640000
R00149,dormant,5582.34,1770239460000
R00342,closed,2910.15,1770239400000
R00356,closed,7567.93,1770239340000
R00333,closed,5059.71,1770238980000
R00355,active,1229.17,1770238500000
R00326,closed,2156.12,1770234780000
R00321,active,7465.7,1770234720000
R00339,dormant,3814.7,1770233220000
R00127,closed,5000.15,1770232560000
R00199,closed,5176.9,1770232560000
R00088,closed,6428.17,1770230700000
R00245,dormant,8608.03,1770230280000
R00328,closed,8849.7,1770225540000
R00079,active,10867.05,1770221280000
