row_id,account_id,event_time,amount,category
R00454,A0138,1772755740000,111.93,salary
R00455,A0094,1772756700000,31.15,grocery
R00456,A0056,1772757180000,54.9,grocery
R00457,A0059,1772758080000,21.37,other
R00458,A0127,1772758320000,17.05,salary
R00459,A0061,1772759820000,63.94,travel
R00460,A0066,1772759940000,17.34,grocery
R00461,A0146,1772763060000,4.65,grocery
R00462,A0022,1772763360000,45.69,salary
R00463,A0113,1772763780000,18.04,rent
R00464,A0121,1772765340000,19.48,other
R00465,A0096,1772765340000,16.75,grocery
R00466,A0121,1772765400000,76.63,salary
R00467,A0130,1772765520000,105.03,rent
R00468,A0052,1772766180000,71.0,salary
R00469,A0096,1772767020000,32.91,other
R00470,A0098,1772768160000,40.09,other
R00471,A0148,1772769780000,45.55,other
R00472,A0112,1772769840000,13.83,grocery
R00473,A0099,1772770620000,16.21,travel
R00474,A0115,1772770680000,17.09,salary
R00475,A0115,1772770740000,43.27,grocery
R00476,A0009,1772770860000,19.66,travel
R00477,A0144,1772770860000,41.19,grocery
R00478,A0114,1772771100000,68.04,grocery
R00479,A0008,1772771160000,7.31,rent
R00480,A0041,1772771700000,3.6,other
R00481,A0025,1772772120000,11.65,salary
R00482,A0109,1772774040000,14.23,travel
R00483,A0082,1772775540000,2.52,other
R00484,A0096,1772775720000,12.39,rent
R00485,A0021,1772776620000,33.3,salary
R00486,A0045,1772778600000,3.92,other
R00487,A0045,1772779680000,57.73,salary
R00488,A0051,1772779980000,21.02,other
R00489,A0036,1772780640000,44.52,salary
R00490,A0045,1772780880000,2.12,grocery
R00491,A0020,1772782380000,138.55,travel
R00492,A0027,1772782740000,25.3,other
R00493,A0045,1772782980000,11.13,travel
R00494,A0115,1772782980000,41.22,grocery
R00495,A0006,1772783100000,48.08,travel
R00496,A0078,1772783220000,38.05,other
R00497,A0061,1772783280000,55.32,rent
R00498,A0127,1772783880000,48.95,grocery
R00499,A0105,1772784600000,37.7,grocery
R00500,A0118,1772784780000,8.29,rent
R00501,A0004,1772785440000,6.38,other
R00502,A0149,1772787060000,62.29,grocery
R00503,A0135,1772787060000,22.36,other
R00504,A0006,1772787300000,23.04,salary
R00505,A0014,1772787360000,90.93,travel
R00506,A0064,1772787540000,26.82,other
R00507,A0004,1772787780000,2.05,other
R00508,A0068,1772787840000,19.75,rent
R00509,A0047,1772788020000,10.25,rent
R00510,A0001,1772788020000,5.65,salary
R00511,A0142,1772789220000,62.43,other
R00512,A0120,1772789220000,19.96,travel
R00513,A0024,1772789400000,68.63,other
R00514,A0090,1772789820000,7.64,other
R00515,A0123,1772789880000,180.62,grocery
R00516,A0096,1772792160000,42.11,rent
R00517,A0066,1772794260000,51.23,salary
R00518,A0077,1772795040000,65.49,other
R00519,A0131,1772796240000,16.48,rent
R00520,A0071,1772798700000,29.83,travel
R00521,A0014,1772798940000,90.96,travel
R00522,A0068,1772799540000,6.43,grocery
R00523,A0079,1772800800000,12.09,salary
R00524,A0093,1772801400000,7.08,other
R00525,A0083,1772802540000,16.8,salary
R00526,A0100,1772805060000,219.95,travel
R00527,A0007,1772805600000,21.5,other
R00528,A0097,1772806500000,15.25,other
R00529,A0026,1772808120000,86.79,grocery
R00530,A0135,1772808540000,31.72,travel
R00531,A0107,1772809080000,23.03,salary
R00532,A0066,1772810040000,125.0,salary
R00533,A0093,1772810040000,128.51,other
R00534,A0085,1772811060000,14.15,rent
R00535,A0111,1772811300000,14.99,rent
R00536,A0071,1772811540000,47.66,travel
R00537,A0116,1772814240000,20.86,salary
R00538,A0044,1772814780000,7.39,rent
R00539,A0133,1772815680000,7.0,other
R00540,A0143,1772816220000,12.79,salary
R00541,A0038,1772816640000,82.99,other
R00542,A0016,1772817000000,8.51,rent
R00543,A0130,1772818500000,83.26,rent
R00544,A0059,1772818620000,25.63,grocery
R00545,A0023,1772819040000,2.59,travel
R00546,A0113,1772819040000,5.48,other
R00547,A0092,1772820240000,15.42,grocery
R00548,A0039,1772820420000,87.4,grocery
R00549,A0071,1772821560000,8.48,rent
R00550,A0001,1772821620000,46.76,rent
R00551,A0092,1772821860000,53.18,other
R00552,A0129,1772823060000,12.05,travel
R00553,A0016,1772824020000,2.88,grocery
R00554,A0001,1772824440000,22.0,travel
R00555,A0056,1772824920000,46.08,salary
R00556,A0087,1772825820000,60.62,travel
R00557,A0148,1772826240000,23.46,rent
R00558,A0142,1772826540000,136.12,travel
R00559,A0126,1772827260000,16.75,rent
R00560,A0052,1772827440000,62.13,rent
R00561,A0069,1772827620000,6.23,travel
R00562,A0149,1772828040000,41.12,salary
R00563,A0030,1772828700000,30.26,travel
R00564,A0123,1772828820000,5.89,travel
R00565,A0008,1772829000000,303.27,grocery
R00566,A0028,1772830800000,11.63,rent
R00567,A0067,1772831880000,17.32,other
R00568,A0056,1772832240000,11.86,travel
R00569,A0032,1772833200000,9.65,grocery
R00570,A0057,1772833500000,8.06,grocery
R00571,A0130,1772835180000,11.93,rent
R00572,A0083,1772836500000,14.23,other
R00573,A0015,1772837220000,12.26,rent
R00574,A0090,1772838300000,23.73,grocery
R00575,A0125,1772839140000,40.9,grocery
R00576,A0114,1772839500000,22.01,grocery
R00577,A0036,1772840460000,75.58,grocery
R00578,A0061,1772840700000,11.82,salary
