row_id,account_id,event_time,amount,category
R00110,A0113,1772496060000,48.48,travel
R00111,A0141,1772499000000,27.5,rent
R00112,A0126,1772500560000,23.87,travel
R00113,A0104,1772501820000,3.88,salary
R00114,A0142,1772503200000,12.94,other
R00115,A0114,1772503500000,11.86,salary
R00116,A0054,1772503560000,9.8,salary
R00117,A0138,1772504580000,13.7,salary
R00118,A0122,1772506560000,8.91,grocery
R00119,A0147,1772506740000,4.19,travel
R00120,A0123,1772507820000,4.75,travel
R00121,A0050,1772508060000,63.2,rent
R00122,A0140,1772511000000,6.01,other
R00123,A0037,1772511120000,28.6,rent
R00124,A0148,1772511660000,31.42,travel
R00125,A0041,1772514240000,56.6,grocery
R00126,A0055,1772515080000,9.64,travel
R00127,A0137,1772515560000,5.6,travel
R00128,A0095,1772515620000,12.78,grocery
R00129,A0123,1772515620000,89.94,grocery
R00130,A0095,1772518740000,119.46,other
R00131,A0146,1772519640000,141.21,salary
R00132,A0018,1772520540000,25.84,salary
R00133,A0106,1772521380000,12.79,travel
R00134,A0065,1772523240000,3.47,salary
R00135,A0032,1772525760000,24.2,grocery
R00136,A0125,1772528400000,28.31,travel
R00137,A0031,1772529300000,109.6,travel
R00138,A0146,1772529360000,7.21,rent
R00139,A0084,1772529840000,12.06,rent
R00140,A0057,1772530020000,5.59,salary
R00141,A0021,1772530740000,1.19,rent
R00142,A0055,1772530860000,17.41,salary
R00143,A0070,1772532720000,14.24,travel
R00144,A0144,1772533860000,13.31,salary
R00145,A0067,1772536920000,3.24,rent
R00146,A0098,1772537640000,38.5,travel
R00147,A0060,1772538060000,4.66,grocery
R00148,A0083,1772539140000,50.21,travel
R00149,A0004,1772539320000,29.48,rent
R00150,A0055,1772541540000,5.87,other
R00151,A0047,1772541780000,19.17,grocery
R00152,A0128,1772542380000,25.44,salary
R00153,A0008,1772542500000,112.82,salary
R00154,A0148,1772542620000,21.28,rent
R00155,A0097,1772543460000,18.36,rent
R00156,A0142,1772543580000,5.19,rent
R00157,A0113,1772543640000,10.66,other
R00158,A0049,1772544300000,12.11,grocery
R00159,A0000,1772544660000,37.7,rent
R00160,A0132,1772545620000,7.15,grocery
R00161,A0024,1772546160000,44.44,rent
R00162,A0041,1772548440000,48.68,grocery
R00163,A0125,1772550120000,20.73,travel
R00164,A0025,1772550240000,25.63,salary
R00165,A0061,1772550360000,11.06,salary
R00166,A0053,1772551380000,8.63,rent
R00167,A0111,1772553600000,44.4,salary
R00168,A0067,1772554080000,8.02,rent
R00169,A0122,1772555100000,58.08,salary
R00170,A0105,1772555220000,9.69,grocery
R00171,A0032,1772556180000,8.8,travel
R00172,A0065,1772556240000,23.05,other
R00173,A0004,1772556540000,39.27,travel
R00174,A0090,1772556840000,146.82,other
R00175,A0068,1772559180000,23.27,salary
R00176,A0097,1772559600000,14.51,salary
R00177,A0033,1772559840000,21.3,travel
R00178,A0111,1772560440000,14.76,salary
R00179,A0119,1772567520000,4.07,salary
R00180,A0024,1772568540000,42.43,rent
R00181,A0088,1772569200000,115.69,other
R00182,A0078,1772569920000,17.61,rent
R00183,A0098,1772570040000,29.3,travel
R00184,A0080,1772570040000,250.08,travel
R00185,A0145,1772570580000,13.9,salary
R00186,A0086,1772572200000,50.49,other
R00187,A0095,1772573100000,70.73,grocery
R00188,A0050,1772573460000,11.86,rent
R00189,A0057,1772574300000,14.84,rent
R00190,A0138,1772574960000,62.24,travel
R00191,A0088,1772577240000,34.97,salary
R00192,A0014,1772577780000,14.13,other
R00193,A0115,1772578620000,3.13,other
R00194,A0148,1772579220000,4.89,grocery
R00195,A0042,1772580360000,7.04,other
R00196,A0067,1772580420000,87.73,rent
R00197,A0123,1772580960000,22.59,rent
R00198,A0023,1772581620000,57.42,travel
R00199,A0072,1772582220000,5.04,travel
R00200,A0000,1772582280000,22.18,grocery
