row_id,account_id,event_time,amount,category
R00455,A0083,1771175160000,66.82,salary
R00598,A0027,1772397780000,37.68,other
R00411,A0070,1770838260000,31.72,salary
R00572,A0011,1772162940000,79.55,travel
R00490,A0033,1771474260000,12.97,travel
R00429,A0040,1770987300000,5.97,salary
R00354,A0093,1770367200000,92.46,other
R00559,A0064,1772071200000,33.85,travel
R00413,A0011,1770846300000,1.51,travel
R00415,A0111,1770873000000,16.46,rent
R00380,A0105,1770627060000,6.17,grocery
R00546,A0035,1771927680000,12.18,grocery
R00543,A0002,1771910100000,16.8,grocery
R00493,A0031,1771525200000,14.14,travel
R00481,A0000,1771386000000,19.76,rent
R00488,A0070,1771451220000,12.19,travel
R00472,A0024,1771336440000,153.6,salary
R00384,A0101,1770643680000,15.23,travel
R00357,A0015,1770383460000,28.48,rent
R00583,A0107,1772228820000,19.14,rent
R00450,A0060,1771138440000,13.0,other
R00419,A0044,1770914520000,7.44,travel
R00379,A0021,1770624780000,20.51,salary
R00497,A0060,1771532400000,32.22,grocery
R00475,A0058,1771352040000,2.91,other
R00389,A0103,1770668460000,8.82,grocery
R00468,A0009,1771300920000,30.8,travel
R00589,A0095,1772291880000,17.44,grocery
R00458,A0020,1771210500000,14.22,grocery
R00423,A0113,1770936000000,20.98,grocery
R00465,A0081,1771264680000,21.69,salary
R00383,A0063,1770638400000,48.1,travel
R00548,A0069,1771948920000,12.01,salary
R00560,A0002,1772086380000,15.11,salary
R00580,A0004,1772207820000,32.31,grocery
R00570,A0050,1772158020000,18.3,travel
R00552,A0086,1772001780000,20.2,rent
R00426,A0059,1770960300000,18.6,rent
R00408,A0003,1770793020000,6.41,rent
R00396,A0079,1770702300000,21.35,other
R00405,A0014,1770780960000,15.83,other
R00566,A0037,1772105820000,36.1,salary
R00467,A0002,1771299420000,24.21,rent
R00498,A0033,1771532460000,6.59,grocery
R00524,A0103,1771744200000,7.49,salary
R00539,A0074,1771891020000,7.88,other
R00568,A0068,1772144640000,11.14,salary
R00530,A0094,1771758420000,75.61,travel
R00398,A0065,1770715320000,19.17,travel
R00382,A0071,1770638280000,21.95,other
R00425,A0117,1770953340000,36.08,other
R00518,A0006,1771695660000,19.42,grocery
R00459,A0106,1771211520000,54.67,grocery
R00595,A0000,1772345940000,33.67,other
R00590,A0033,1772318580000,5.85,grocery
R00585,A0077,1772259660000,7.85,grocery
R00446,A0030,1771120140000,14.59,salary
R00565,A0020,1772102280000,12.58,grocery
R00364,A0088,1770472500000,70.69,other
R00544,A0073,1771919340000,20.62,other
R00473,A0059,1771348020000,84.4,travel
R00359,A0107,1770422040000,12.77,salary
R00534,A0031,1771833900000,50.3,salary
R00547,A0014,1771931280000,16.26,other
R00588,A0023,1772278080000,3.58,salary
R00562,A0075,1772093460000,33.01,grocery
R00422,A0043,1770934920000,3.35,grocery
R00418,A0074,1770901320000,52.66,other
R00531,A0113,1771764960000,10.54,rent
R00575,A0065,1772191860000,90.55,rent
R00558,A0101,1772047800000,33.14,other
R00532,A0049,1771783560000,14.37,salary
R00586,A0042,1772271420000,31.27,other
R00597,A0052,1772389440000,18.46,other
R00361,A0076,1770452160000,22.37,travel
R00462,A0091,1771231500000,54.03,travel
R00591,A0027,1772327220000,15.62,travel
R00375,A0000,1770601380000,34.76,rent
R00574,A0078,1772185020000,139.98,salary
R00553,A0064,1772008080000,31.11,travel
R00577,A0067,1772204880000,3.7,travel
R00517,A0100,1771690380000,10.15,rent
R00420,A0113,1770926520000,67.16,other
R00406,A0080,1770785280000,23.02,grocery
R00513,A0025,1771649580000,9.56,other
R00509,A0048,1771610040000,12.3,rent
R00489,A0041,1771455660000,72.05,travel
R00390,A0094,1770672000000,22.35,rent
R00351,A0076,1770333900000,41.4,salary
R00533,A0052,1771822500000,27.5,rent
R00457,A0115,1771180560000,104.54,travel
R00529,A0054,1771756260000,22.64,other
R00477,A0074,1771371660000,18.99,salary
R00358,A0098,1770414780000,229.78,travel
R00401,A0088,1770770220000,48.1,grocery
R00412,A0083,1770838860000,5.57,rent
R00463,A0090,1771236780000,57.37,salary
R00438,A0084,1771043640000,3.22,salary
R00536,A0109,1771855680000,162.93,rent
R00388,A0085,1770666840000,16.08,salary
R00502,A0097,1771548960000,13.06,other
R00537,A0114,1771872240000,66.64,salary
R00443,A0094,1771098720000,26.64,grocery
R00368,A0081,1770543480000,11.03,other
R00437,A0040,1771031460000,66.94,travel
R00479,A0024,1771377840000,122.96,rent
R00484,A0024,1771428540000,254.25,rent
R00495,A0069,1771529520000,14.8,grocery
R00377,A0027,1770621780000,17.68,other
R00555,A0073,1772013120000,9.44,other
R00563,A0016,1772093520000,33.8,travel
R00381,A0099,1770635760000,4.84,rent
R00385,A0023,1770656460000,11.09,salary
R00519,A0064,1771696560000,14.65,travel
R00449,A0108,1771134240000,5.39,salary
R00474,A0091,1771351320000,25.32,grocery
R00487,A0086,1771444440000,19.18,salary
R00365,A0101,1770497280000,29.45,salary
R00387,A0053,1770664680000,3.29,travel
R00525,A0048,1771749360000,101.53,travel
R00349,A0052,1770331620000,6.07,rent
R00360,A0083,1770427680000,16.72,salary
R00442,A0088,1771085580000,209.41,travel
R00366,A0068,1770497400000,164.2,travel
R00436,A0088,1771030980000,19.42,salary
R00504,A0086,1771573380000,17.36,other
R00522,A0070,1771719240000,258.93,other
R00369,A0021,1770551400000,13.56,travel
R00476,A0091,1771360260000,36.55,salary
R00373,A0007,1770600540000,16.0,salary
R00545,A0108,1771926780000,39.88,travel
R00557,A0063,1772024460000,31.94,rent
R00352,A0053,1770338040000,32.83,travel
R00392,A0072,1770674940000,7.01,other
R00403,A0059,1770771960000,60.28,salary
R00417,A0004,1770891780000,8.21,grocery
R00538,A0052,1771878480000,25.27,grocery
R00486,A0048,1771440120000,85.7,other
R00451,A0051,1771143900000,74.76,grocery
R00435,A0006,1771026180000,8.12,other
R00551,A0038,1771972860000,58.9,grocery
R00578,A0009,1772205120000,12.07,grocery
R00510,A0106,1771627980000,17.26,other
R00424,A0089,1770948060000,8.16,other
R00374,A0004,1770600900000,26.29,grocery
R00599,A0118,1772408460000,40.64,travel
R00428,A0092,1770983340000,28.39,salary
R00448,A0105,1771121460000,19.19,other
R00593,A0104,1772344380000,37.07,salary
R00461,A0060,1771230780000,21.92,travel
R00370,A0003,1770557160000,18.23,rent
R00402,A0073,1770771000000,25.64,other
R00499,A0082,1771539540000,14.64,rent
R00427,A0113,1770977820000,17.07,other
R00397,A0056,1770712800000,16.57,travel
R00512,A0109,1771645680000,86.58,travel
R00376,A0090,1770613440000,10.39,travel
R00540,A0091,1771899960000,8.08,grocery
R00432,A0077,1771011120000,50.25,rent
R00394,A0021,1770682680000,27.91,rent
R00372,A0075,1770598320000,7.29,salary
R00395,A0056,1770692700000,59.55,salary
R00353,A0102,1770340800000,52.68,rent
R00535,A0068,1771835700000,27.97,salary
R00444,A0096,1771099260000,4.24,salary
R00439,A0009,1771052580000,8.1,salary
R00407,A0071,1770789720000,14.33,other
R00521,A0054,1771714380000,9.1,rent
R00456,A0029,1771175280000,16.7,salary
R00416,A0096,1770877500000,93.56,grocery
R00431,A0046,1770996780000,4.73,salary
R00528,A0021,1771755840000,3.99,travel
R00362,A0038,1770464340000,74.56,salary
R00480,A0089,1771380840000,43.2,salary
R00371,A0093,1770597780000,125.36,salary
R00452,A0097,1771159860000,131.9,grocery
R00494,A0021,1771525560000,27.6,travel
R00363,A0049,1770467580000,13.21,grocery
R00469,A0002,1771308420000,55.79,rent
R00564,A0029,1772098380000,57.03,grocery
R00526,A0083,1771750560000,18.96,travel
R00573,A0093,1772164020000,60.39,rent
R00460,A0079,1771226760000,1.15,other
R00579,A0058,1772206200000,19.96,travel
R00549,A0115,1771952220000,32.26,salary
R00587,A0032,1772272740000,44.31,other
R00576,A0102,1772191920000,100.53,travel
R00514,A0078,1771657500000,8.35,salary
R00505,A0028,1771590540000,42.13,travel
R00471,A0092,1771324020000,24.77,travel
R00393,A0014,1770681600000,85.87,travel
R00482,A0063,1771392420000,6.06,salary
R00454,A0002,1771173300000,15.96,grocery
R00386,A0103,1770662280000,26.56,rent
R00520,A0086,1771698720000,38.9,grocery
R00391,A0112,1770673200000,7.62,rent
R00515,A0116,1771667040000,5.95,travel
R00441,A0014,1771067520000,27.42,rent
R00410,A0112,1770809280000,7.22,grocery
R00523,A0039,1771743540000,44.8,other
R00421,A0096,1770932220000,18.98,other
R00507,A0009,1771605480000,16.23,other
R00571,A0020,1772161320000,12.34,rent
R00584,A0113,1772250720000,32.64,other
R00592,A0098,1772339400000,22.16,travel
R00350,A0033,1770332700000,1.32,other
R00434,A0009,1771019940000,10.22,rent
R00581,A0017,1772218380000,20.37,rent
R00356,A0071,1770378360000,28.41,other
R00550,A0052,1771954740000,4.64,rent
R00409,A0072,1770795900000,15.35,rent
R00445,A0042,1771111440000,11.9,rent
R00492,A0077,1771518540000,16.37,other
R00561,A0044,1772088180000,18.82,travel
R00503,A0040,1771555980000,11.01,rent
R00483,A0022,1771398540000,6.39,travel
R00414,A0068,1770847620000,4.53,other
R00378,A0008,1770622680000,3.47,salary
R00453,A0082,1771168860000,6.03,travel
R00491,A0034,1771490340000,12.42,other
R00440,A0119,1771057080000,19.85,travel
R00485,A0092,1771438860000,50.88,salary
R00478,A0079,1771375200000,26.82,other
R00430,A0061,1770995040000,17.64,other
R00367,A0093,1770500400000,26.09,other
R00447,A0034,1771120920000,48.24,other
R00496,A0004,1771531020000,84.48,travel
R00554,A0054,1772012280000,19.19,salary
R00355,A0012,1770376140000,22.79,travel
R00542,A0028,1771901940000,31.64,travel
R00400,A0084,1770750060000,33.19,travel
R00527,A0113,1771751460000,43.55,travel
R00433,A0001,1771013280000,35.77,travel
R00466,A0070,1771265100000,22.07,grocery
R00511,A0095,1771638480000,36.94,salary
R00582,A0115,1772224080000,21.53,rent
R00596,A0019,1772380680000,10.97,salary
R00399,A0084,1770717780000,51.59,salary
R00516,A0090,1771686600000,22.22,travel
R00501,A0037,1771548120000,30.51,grocery
R00567,A0119,1772129280000,92.31,salary
R00569,A0076,1772154480000,49.22,travel
R00506,A0093,1771595160000,18.51,travel
R00508,A0016,1771606320000,69.98,rent
R00464,A0073,1771254000000,78.06,other
R00470,A0008,1771319640000,26.83,grocery
R00541,A0061,1771901220000,17.23,salary
R00556,A0063,1772018700000,36.1,travel
R00594,A0037,1772344920000,35.02,grocery
R00404,A0055,1770778860000,16.06,travel
R00500,A0096,1771540380000,12.95,other
