row_id,status,balance,updated_at
R00214,closed,2836.04,1770490980000
R00298,active,5019.94,1770437520000
R00084,dormant,2590.81,1770022380000
R00286,dormant,6781.82,1770133920000
R00177,closed,4394.65,1770428700000
R00394,closed,4245.06,1770298020000
R00227,dormant,408.85,1770129060000
R00295,dormant,3976.71,1770396240000
R00026,closed,4886.06,1770289020000
R00057,dormant,3288.61,1770395220000
R00139,dormant,4465.3,1769952120000
R00239,closed,2284.23,1770006660000
R00178,closed,5529.84,1770284820000
R00113,active,7823.11,1770379140000
R00306,closed,3431.7,1770071940000
R00100,dormant,6603.74,1770001260000
R00218,active,6717.19,1770048540000
R00383,dormant,8665.65,1770475680000
R00210,closed,3156.88,1770137520000
R00325,closed,7082.91,1770070860000
R00379,closed,8460.13,1769919300000
R00087,active,6269.93,1770306000000
R00007,closed,6918.08,1770114480000
R00296,dormant,3755.83,1769938740000
R00132,closed,1901.35,1770125520000
R00072,active,5536.15,1769991960000
R00330,active,4815.12,1770397260000
R00183,closed,4967.67,1770428880000
R00279,dormant,4818.24,1770149940000
R00013,closed,7088.82,1770265080000
R00253,dormant,3919.25,1769949240000
R00120,dormant,5928.73,1769966220000
R00363,dormant,3495.09,1770399900000
R00217,closed,3032.94,1770348000000
R00200,active,5289.92,1770185580000
R00233,closed,5016.99,1770313860000
R00195,closed,5313.77,1770006180000
R00206,closed,5559.49,1770279660000
R00324,dormant,6792.37,1770309000000
R00157,dormant,2336.14,1770362160000
R00116,active,5076.29,1769934060000
R00223,active,5655.55,1770252300000
R00305,closed,4825.34,1770256980000
R00347,active,7544.72,1770152580000
R00372,closed,5397.59,1770283020000
R00089,active,7731.82,1770383400000
R00112,closed,5133.95,1770304260000
R00002,dormant,4115.66,1770121260000
R00050,closed,7491.31,1770218940000
R00220,dormant,8572.0,1770390000000
R00051,closed,6215.69,1769958480000
R00093,active,2997.3,1770367440000
R00371,active,7214.45,1770264720000
R00097,active,6450.55,1770436200000
R00224,closed,8091.58,1770468960000
R00083,dormant,1556.24,1770397620000
R00029,dormant,1750.47,1770501000000
R00105,dormant,3902.52,1770390300000
R00381,dormant,7810.93,1769944080000
R00095,closed,3579.34,1770238380000
R00115,active,8860.95,1770049440000
R00065,closed,6179.45,1770441000000
R00323,active,8064.4,1769905740000
R00326,dormant,4033.23,1770369720000
R00059,closed,4480.54,1769936880000
R00327,dormant,3008.87,1770342300000
R00014,dormant,4199.33,1770234840000
R00085,closed,5476.42,1770435000000
R00397,dormant,6997.83,1770344700000
R00248,closed,6627.32,1769907600000
R00393,active,-407.9,1770441540000
R00304,closed,4474.08,1770063180000
R00213,active,7861.82,1770367260000
R00020,closed,3009.61,1770282060000
R00307,active,5840.62,1770097200000
R00241,dormant,6361.05,1770009420000
R00380,active,3296.5,1770231960000
R00339,active,-2156.92,1769974080000
R00067,active,4633.02,1770330600000
R00119,dormant,5061.37,1770233880000
R00261,active,3142.21,1770499800000
R00005,active,5889.3,1769934300000
