account_id,event_time,credit_score,tier
A0000,1767237860000,727,bronze
A0000,1774344554000,787,silver
A0001,1767259938000,361,gold
A0001,1767824258000,370,silver
A0002,1767255133000,383,silver
A0003,1767232714000,781,gold
A0003,1774167539000,722,silver
A0004,1767253953000,460,bronze
A0004,1774154565000,429,gold
A0005,1767291240000,349,bronze
A0006,1767273685000,568,bronze
A0007,1767286900000,468,silver
A0007,1771045060000,466,gold
A0008,1767301154000,709,silver
A0009,1767310218000,459,gold
A0010,1767247547000,331,bronze
A0010,1774186188000,368,bronze
A0011,1767296478000,692,gold
A0011,1774700378000,752,silver
A0012,1767233908000,688,bronze
A0013,1767261052000,828,silver
A0014,1767274841000,675,bronze
A0015,1767264685000,311,silver
A0016,1767293804000,779,silver
A0016,1768680795000,784,bronze
A0017,1767236030000,339,silver
A0017,1770724250000,385,silver
A0018,1767233963000,384,gold
A0019,1767246589000,437,silver
A0020,1767309588000,509,gold
A0021,1767285963000,529,gold
A0021,1772913159000,492,silver
A0022,1767286267000,433,silver
A0022,1770353548000,413,bronze
A0023,1767230663000,471,silver
A0024,1767255313000,630,gold
A0024,1770553891000,573,gold
A0025,1767269868000,432,bronze
A0025,1773585060000,482,silver
A0026,1767233729000,636,gold
A0027,1767288867000,484,silver
A0027,1770302508000,487,silver
A0028,1767226528000,513,silver
A0029,1767235828000,524,silver
A0029,1773946166000,600,silver
A0030,1767274307000,301,silver
A0030,1769620019000,300,gold
A0031,1767233704000,677,silver
A0032,1767228110000,699,bronze
A0033,1767273144000,664,gold
A0033,1774561461000,734,silver
A0034,1767234626000,479,bronze
A0034,1772583319000,501,gold
A0035,1767235360000,521,bronze
A0035,1773550544000,499,silver
A0036,1767241254000,690,bronze
A0037,1767260700000,540,bronze
A0037,1771808066000,541,silver
A0038,1767296910000,563,bronze
A0039,1767253220000,639,gold
A0039,1773596914000,671,bronze
A0040,1767262782000,827,gold
A0040,1768856754000,816,silver
A0041,1767228439000,764,gold
A0042,1767234106000,841,silver
A0042,1774985089000,817,gold
A0043,1767266962000,576,gold
A0043,1771867983000,569,silver
A0044,1767255060000,444,silver
A0044,1773954924000,455,silver
A0045,1767284937000,762,silver
A0045,1772130895000,832,bronze
A0046,1767262686000,745,bronze
A0047,1767234821000,802,silver
A0047,1774837873000,850,gold
A0048,1767227403000,715,silver
A0049,1767302415000,421,silver
A0049,1774117697000,451,gold
A0050,1767250031000,754,silver
A0050,1772450378000,773,silver
A0051,1767232722000,681,bronze
A0052,1767245325000,830,gold
A0053,1767289211000,610,gold
A0053,1770847784000,583,bronze
A0054,1767294562000,307,gold
A0055,1767237398000,798,bronze
A0056,1767266069000,309,bronze
A0056,1774872052000,335,bronze
A0057,1767236030000,615,bronze
A0058,1767244972000,321,bronze
A0059,1767271169000,832,bronze
A0059,1774892060000,850,bronze
A0060,1767264777000,602,bronze
A0060,1773838538000,644,silver
A0061,1767298674000,535,gold
A0062,1767311745000,691,gold
A0062,1768222627000,759,bronze
A0063,1767304289000,377,gold
A0064,1767273075000,433,gold
A0064,1774331325000,466,bronze
A0065,1767263835000,593,silver
A0066,1767253719000,606,bronze
A0066,1769742927000,610,gold
A0067,1767301601000,751,silver
A0067,1769659613000,722,bronze
A0068,1767237697000,399,bronze
A0068,1773566627000,343,bronze
A0069,1767244978000,447,silver
A0070,1767301833000,753,bronze
A0071,1767295133000,685,silver
A0071,1772128064000,650,silver
A0072,1767267197000,720,silver
A0072,1771752944000,765,gold
A0073,1767257947000,610,bronze
A0073,1769070566000,589,bronze
A0074,1767301459000,846,gold
A0074,1773172416000,772,silver
A0075,1767274585000,774,bronze
A0075,1773241368000,741,bronze
A0076,1767273811000,459,gold
A0076,1772311482000,402,gold
A0077,1767275924000,505,bronze
A0078,1767284184000,522,gold
A0078,1767534046000,574,bronze
A0079,1767297236000,669,bronze
A0079,1773337177000,594,silver
A0080,1767268772000,740,bronze
A0080,1769574453000,804,bronze
A0081,1767264200000,388,bronze
A0081,1770249868000,318,gold
A0082,1767282567000,839,gold
A0083,1767298473000,362,gold
A0083,1774908048000,399,gold
A0084,1767295948000,773,bronze
A0085,1767245351000,827,gold
A0085,1770039831000,816,gold
A0086,1767247462000,509,silver
A0086,1770573628000,559,bronze
A0087,1767260072000,490,gold
A0088,1767292778000,345,bronze
A0088,1774563361000,365,bronze
A0089,1767311618000,849,bronze
A0089,1774268933000,813,silver
A0090,1767234426000,397,silver
A0090,1769488782000,412,silver
A0091,1767264602000,456,silver
A0092,1767270643000,716,gold
A0092,1773260712000,767,gold
A0093,1767297808000,519,gold
A0094,1767280966000,720,silver
A0094,1768282479000,786,gold
A0095,1767275780000,799,silver
A0095,1772859225000,752,bronze
A0096,1767263331000,641,bronze
A0096,1774041058000,608,gold
A0097,1767297140000,416,bronze
A0098,1767280090000,780,silver
A0099,1767291160000,771,gold
A0099,1771133815000,787,bronze
