account_id,f1,f2,f3,f4
A0000,3.3765,-0.3824,0.9091,-2.7207
A0001,0.9464,2.8411,1.8653,-3.1083
A0002,-0.4802,2.6341,4.4806,-5.4164
A0003,4.4001,-1.2189,1.7366,-3.0
A0004,-2.1415,-1.4167,7.9618,-3.7647
A0005,0.0525,-2.6019,2.1792,-4.6057
A0006,2.2491,-0.4465,-1.9458,-4.4251
A0007,0.7835,0.6564,2.6635,-3.6171
A0008,-3.5201,-0.834,3.512,-2.3199
A0009,0.4128,2.9388,-0.4041,-2.3515
A0010,6.3916,-1.7581,3.1859,-2.8498
A0011,-3.0986,1.5783,4.2624,-4.5982
A0012,2.5025,-3.0887,5.6806,-3.4142
A0013,-1.612,2.9819,3.2735,-3.2502
A0014,2.1029,2.2307,2.066,-3.387
A0015,2.8665,-0.0203,-1.4887,-3.4662
A0016,2.6593,-0.8567,1.2883,-2.5922
A0017,-3.3342,1.6305,1.9939,-4.615
A0018,-2.0767,1.9509,-0.0054,-3.5419
A0019,0.1752,2.6132,1.6425,-3.6771
A0020,-4.0399,-1.1825,1.1653,-4.0343
A0021,3.0144,1.5644,2.2097,-3.998
A0022,1.4538,0.0531,-0.4115,-2.8914
A0023,-2.2462,-2.0358,0.5461,-3.2837
A0024,-0.1361,1.3401,0.6043,-3.5725
A0025,-1.4994,-0.3957,0.478,-3.473
A0026,3.553,-0.8406,2.4249,-2.5797
A0027,0.3928,-0.347,-1.7331,-5.603
A0028,1.4584,-0.2333,-0.2833,-1.6642
A0029,-0.2066,-2.19,1.1955,-3.3697
A0030,0.166,-4.4851,2.2375,-2.8196
A0031,-1.5379,3.0537,3.8295,-3.6674
A0032,-1.6925,-0.5878,0.7088,-3.2686
A0033,-2.9333,1.9442,3.6331,-3.9654
A0034,-0.9048,-1.0125,5.5684,-4.263
A0035,-0.2198,0.3512,0.728,-3.8967
A0036,-0.3034,0.7236,-0.1841,-3.0616
A0037,1.9858,-2.15,2.5532,-3.5364
A0038,0.3613,1.9087,1.4105,-2.4154
A0039,-4.008,1.6185,3.151,-3.733
A0040,-0.879,-1.1569,-0.1566,-3.4492
A0041,-0.1406,0.097,2.4057,-3.7366
A0042,-2.1837,-1.8146,1.1862,-4.2004
A0043,-3.9664,-0.7134,1.9244,-4.855
A0044,1.4616,0.0665,3.5828,-2.56
A0045,2.3941,-1.9556,1.8145,-4.4379
A0046,-1.8065,0.309,2.6177,-4.369
A0047,5.0472,-1.152,2.9384,-2.5922
A0048,2.9345,-1.362,1.9841,-3.5744
A0049,-1.6999,1.5089,5.4684,-2.6726
A0050,2.1997,0.9171,6.085,-2.7771
A0051,0.979,1.2917,1.891,-3.3557
A0052,-1.2208,-1.1871,0.9428,-3.9296
A0053,1.5011,1.558,2.2151,-4.1588
A0054,-1.1553,-3.7938,1.5573,-5.1782
A0055,-0.2217,0.4964,2.6762,-2.4496
A0056,0.2343,0.1348,-0.572,-4.2213
A0057,-3.0204,-3.6313,-0.1785,-5.3804
A0058,-1.1467,2.2031,3.9144,-3.8733
A0059,0.7083,-0.958,2.799,-2.8655
A0060,1.6611,2.4254,1.4411,-3.8022
A0061,0.5926,-0.3358,0.648,-3.7286
A0062,-1.2671,-0.6242,2.5599,-2.6724
A0063,-2.7134,-0.2779,-0.0868,-1.7357
A0064,1.2562,-2.8287,6.7802,-3.5774
A0065,1.1201,-1.0057,-0.0341,-3.589
A0066,3.1489,-0.2745,1.5589,-3.2633
A0067,0.1808,1.4913,2.7452,-4.3979
A0068,-0.8766,0.6211,4.3939,-4.0684
A0069,0.5649,-0.8612,3.1204,-2.773
A0070,-3.5828,2.258,1.1748,-3.351
A0071,3.6731,0.761,2.226,-3.8071
A0072,2.6036,-1.2445,0.009,-4.0294
A0073,1.6973,1.0133,-0.1785,-3.1127
A0074,-2.6969,3.8387,4.6134,-4.4018
A0075,5.6423,2.7034,1.7873,-4.2963
A0076,-1.4644,-0.8629,3.8376,-2.9499
A0077,-1.2049,0.6846,-2.6241,-4.2605
A0078,2.4829,-2.2623,2.7763,-3.3786
A0079,1.9258,0.2998,2.4963,-4.0915
A0080,-0.6652,-1.8809,2.3954,-3.1433
A0081,1.4948,2.1022,5.4728,-2.1717
A0082,-1.2958,0.1994,0.0814,-2.6549
A0083,-2.4091,1.5576,-0.053,-2.9634
A0084,-1.467,-0.8752,-0.7469,-4.8915
A0085,0.6311,0.9404,0.0773,-4.5224
A0086,2.2948,-0.0196,-2.8616,-3.5338
A0087,-1.1188,-0.4466,0.7946,-1.6561
A0088,-2.0442,-0.1522,1.581,-2.4769
A0089,-0.2695,2.3147,0.7665,-4.4925
A0090,2.2007,-0.7671,0.8451,-2.3061
A0091,2.4959,1.4581,6.5347,-2.3754
A0092,-1.214,0.0141,0.7419,-4.487
A0093,2.4644,-2.8252,2.3826,-3.078
A0094,-1.5784,1.7169,1.5913,-4.6067
A0095,2.3526,2.17,1.4888,-5.2638
A0096,3.3093,1.8013,1.7299,-3.7507
A0097,3.1244,1.1329,0.4213,-4.2085
A0098,-2.8967,-1.1497,1.4856,-4.0365
A0099,-1.2153,1.1983,4.2566,-2.1999
A0100,-3.2304,-1.9915,4.5891,-4.7237
A0101,-0.2701,1.3731,2.652,-3.5326
A0102,3.9078,-1.6463,2.2886,-2.7679
A0103,-2.9939,-1.0037,2.5891,-2.8559
A0104,1.2194,0.7141,2.8558,-4.1396
A0105,-2.9618,0.9074,3.0557,-4.4768
A0106,-1.2675,-0.12,3.7183,-3.0284
A0107,3.3257,-1.1814,2.6791,-3.2582
A0108,1.1506,-1.6019,3.5019,-4.0135
A0109,3.4438,0.8921,0.8803,-3.4543
A0110,-0.1508,-2.8324,2.7192,-3.8538
A0111,2.4328,0.0977,0.1109,-3.8171
A0112,1.8046,-0.1651,-1.0506,-2.686
A0113,-1.7756,2.2118,0.7641,-4.0575
A0114,1.8196,-3.6322,1.641,-3.9777
A0115,-1.066,-0.144,3.184,-4.1097
A0116,0.0497,-2.4569,-1.9502,-4.9691
A0117,-2.4859,-0.0653,-2.1445,-2.2927
A0118,2.3882,-0.173,5.2417,-4.5365
A0119,1.5118,-1.6768,1.9786,-3.4773
