account_id,label_time,transactions_account_id,transactions_event_time,transactions_amount,transactions_balance,profiles_account_id,profiles_event_time,profiles_credit_score,profiles_tier,activity_account_id,activity_event_time,activity_sessions_7d,account_health_account_id,account_health_event_time,account_health_health_score
A0000,1772343590000,A0000,1772118039000,59.15,2691.36,A0000,1767263224000,785,bronze,A0000,1772156756000,12,A0000,1767309269000,58.61
A0001,1772142873000,A0001,1769200985000,188.84,6216.31,A0001,1769560514000,850,silver,A0001,1771603855000,34,A0001,1767248646000,56.4
A0002,1773604048000,A0002,1772323772000,33.2,-346.37,A0002,1767265434000,606,gold,A0002,1773337069000,10,A0002,1767235374000,47.72
A0003,1772459473000,A0003,1772262060000,6.4,3558.75,A0003,1767234157000,652,gold,A0003,1772184977000,6,A0003,1767265143000,47.65
A0003,1772459473000,A0003,1772262060000,6.4,3558.75,A0003,1767234157000,652,gold,A0003,1772184977000,6,A0003,1767265143000,47.65
A0004,1772713062000,A0004,1772399096000,40.65,1923.25,A0004,1768035795000,705,bronze,A0004,1772167735000,1,A0004,1767356669000,50.9
A0005,1773484694000,A0005,1771412776000,54.33,6903.62,A0005,1767287045000,768,bronze,A0005,1773380825000,37,A0005,1767352090000,48.05
A0006,1772939098000,A0006,1772166208000,11.44,550.85,A0006,1769478963000,323,silver,A0006,1772714890000,38,A0006,1767354066000,49.73
A0007,1773299381000,A0007,1772041594000,21.86,6079.75,A0007,1767295981000,488,silver,A0007,1772809401000,23,A0007,1767232156000,49.96
A0008,1773395278000,A0008,1773122889000,96.08,4055.13,A0008,1767231499000,304,silver,A0008,1773313578000,37,A0008,1767347723000,50.41
A0009,1772007399000,A0009,1771492778000,67.26,4770.98,A0009,1767258541000,727,silver,A0009,1771540089000,24,A0009,1767370616000,60.13
A0010,1773413589000,A0010,1772082147000,20.44,10065.88,A0010,1773229961000,556,gold,A0010,1773370160000,14,A0010,1767391383000,48.15
A0011,1773705492000,A0011,1772547025000,18.32,2302.83,A0011,1769624420000,300,bronze,A0011,1773365358000,12,A0011,1767337229000,46.31
A0012,1772647360000,A0012,1771010106000,85.74,5718.3,A0012,1770261425000,492,silver,A0012,1772133370000,31,A0012,1767233501000,48.77
A0013,1772313893000,A0013,1771690513000,14.96,8138.68,A0013,1767239883000,807,silver,A0013,1772102529000,33,A0013,1767317867000,47.63
A0014,1772013752000,A0014,1771572301000,19.74,3912.78,A0014,1767271430000,700,bronze,A0014,1771491329000,23,A0014,1767298035000,45.6
A0015,1772463052000,A0015,1770861415000,116.69,4282.06,A0015,1767235390000,616,bronze,A0015,1772222604000,16,A0015,1767341533000,48.34
A0016,1772142620000,A0016,1771631072000,49.16,2420.32,A0016,1771398877000,473,gold,A0016,1771532860000,24,A0016,1767342512000,48.53
A0017,1772002428000,A0017,1770723183000,5.04,6006.51,A0017,1767571675000,434,bronze,A0017,1771528665000,7,A0017,1767261898000,52.03
A0018,1772545138000,A0018,1771895886000,9.63,4623.8,A0018,1767263702000,747,bronze,A0018,1772218366000,21,A0018,1767395481000,54.06
A0019,1772827055000,A0019,1770659226000,57.13,7017.8,A0019,1769753239000,420,gold,A0019,1772700293000,38,A0019,1767309625000,47.32
A0020,1773689522000,A0020,1769311301000,144.91,3186.92,A0020,1771826958000,526,silver,A0020,1773328451000,23,A0020,1767320550000,41.31
A0021,1772492087000,A0021,1772432472000,65.14,5566.15,A0021,1772068687000,765,bronze,A0021,1772171173000,38,A0021,1767253720000,45.33
A0022,1772255021000,A0022,1771875309000,26.26,4319.58,A0022,1770488865000,787,silver,A0022,1772190174000,14,A0022,1767335013000,58.02
A0023,1773119369000,A0023,1771804244000,5.08,8864.37,A0023,1767279295000,517,gold,A0023,1772821231000,13,A0023,1767259851000,57.82
A0024,1773677666000,A0024,1771740949000,109.33,3201.33,A0024,1767285069000,669,bronze,A0024,1773332257000,0,A0024,1767342537000,52.14
A0025,1772387132000,A0025,1770677769000,12.07,2336.25,A0025,1767235711000,467,gold,A0025,1772206805000,20,A0025,1767326696000,48.12
A0026,1772973929000,A0026,1772183843000,21.18,7235.22,A0026,1767302211000,743,gold,A0026,1772738367000,8,A0026,1767368415000,48.51
A0027,1773177443000,A0027,1773000519000,28.17,1838.1,A0027,1767232254000,546,gold,A0027,1772706156000,8,A0027,1767279741000,53.1
A0028,1773362529000,A0028,1772115508000,36.28,4444.81,A0028,1767243987000,700,bronze,A0028,1773350200000,29,A0028,1767387141000,52.65
A0029,1773468302000,A0029,1771602772000,88.25,9138.88,A0029,1771346244000,326,gold,A0029,1773328731000,25,A0029,1767357441000,47.68
A0030,1773203296000,A0030,1772581547000,50.69,6982.3,A0030,1770271117000,334,bronze,A0030,1772706861000,31,A0030,1767323888000,47.76
A0031,1772645017000,A0031,1771198530000,113.09,9180.81,A0031,1767309939000,774,silver,A0031,1772170311000,39,A0031,1767372251000,46.31
A0032,1773439854000,A0032,1772417842000,113.54,5430.88,A0032,1767281640000,615,gold,A0032,1773378724000,25,A0032,1767377493000,51.87
A0032,1773439854000,A0032,1772417842000,113.54,5430.88,A0032,1767281640000,615,gold,A0032,1773378724000,25,A0032,1767377493000,51.87
A0033,1772978273000,A0033,1770995515000,36.43,4861.95,A0033,1767282033000,811,bronze,A0033,1772733615000,28,A0033,1767348820000,55.07
A0034,1772712092000,A0034,1771572319000,9.92,7014.43,A0034,1767226900000,599,silver,A0034,1772109978000,39,A0034,1767334223000,55.87
A0035,1773159257000,A0035,1772567616000,20.59,7013.99,A0035,1767295067000,585,silver,A0035,1772762662000,39,A0035,1767396616000,46.41
A0036,1772749219000,A0036,1770806027000,9.94,5281.24,A0036,1767230026000,516,bronze,A0036,1772148327000,3,A0036,1767382647000,47.44
A0037,1773267881000,A0037,1772808134000,17.43,9116.34,A0037,1769826380000,387,silver,A0037,1772781410000,0,A0037,1767255961000,55.51
A0037,1773267881000,A0037,1772808134000,17.43,9116.34,A0037,1769826380000,387,silver,A0037,1772781410000,0,A0037,1767255961000,55.51
A0038,1772649462000,A0038,1772258658000,14.11,8047.74,A0038,1767267873000,555,silver,A0038,1772152319000,35,A0038,1767314598000,50.28
A0039,1772877320000,A0039,1772776280000,15.73,4319.51,A0039,1767279313000,403,bronze,A0039,1772742898000,7,A0039,1767347328000,45.9
A0040,1772178476000,A0040,1771461644000,89.55,6201.86,A0040,1767285882000,477,silver,A0040,1772112198000,26,A0040,1767330347000,49.06
A0041,1772661887000,A0041,1771388890000,40.86,4716.77,A0041,1770362196000,740,gold,A0041,1772147716000,27,A0041,1767283063000,44.49
A0042,1772746104000,A0042,1772672725000,2.79,4229.1,A0042,1767267697000,706,bronze,A0042,1772688916000,10,A0042,1767388216000,48.3
A0043,1772931343000,A0043,1772755738000,29.46,6763.02,A0043,1767271859000,324,gold,A0043,1772749151000,14,A0043,1767243629000,39.23
A0044,1772474543000,A0044,1772385360000,39.47,6825.09,A0044,1767267255000,815,bronze,A0044,1772182539000,18,A0044,1767311262000,54.15
A0045,1773595203000,A0045,1772973545000,25.35,6743.38,A0045,1772546839000,335,gold,A0045,1773366064000,4,A0045,1767242998000,47.61
A0046,1772295622000,A0046,1769008291000,6.07,6776.64,A0046,1767262550000,626,gold,A0046,1772095270000,19,A0046,1767227411000,48.42
A0047,1773480520000,A0047,1772494902000,8.89,5213.27,A0047,1767273172000,392,silver,A0047,1773369214000,17,A0047,1767240783000,52.11
A0048,1772804244000,A0048,1771257399000,30.25,4927.0,A0048,1767251319000,451,silver,A0048,1772714083000,32,A0048,1767359800000,59.41
A0049,1772189325000,A0049,1771544757000,12.23,1117.23,A0049,1767268773000,713,bronze,A0049,1772125622000,38,A0049,1767297133000,56.37
A0050,1772212090000,A0050,1772057819000,18.93,4917.87,A0050,1767245442000,346,silver,A0050,1772169612000,34,A0050,1767320131000,43.6
A0050,1772212090000,A0050,1772057819000,18.93,4917.87,A0050,1767245442000,346,silver,A0050,1772169612000,34,A0050,1767320131000,43.6
A0051,1773066811000,A0051,1772720965000,76.88,3506.46,A0051,1767283078000,331,silver,A0051,1772760102000,26,A0051,1767377321000,49.6
A0052,1772413789000,A0052,1772365007000,119.15,4022.25,A0052,1767280594000,694,bronze,A0052,1772138490000,18,A0052,1767309854000,61.16
A0053,1773062196000,A0053,1771559742000,22.07,3575.03,A0053,1767632001000,850,gold,A0053,1772780132000,13,A0053,1767324642000,44.18
A0054,1772550318000,A0054,1771002408000,3.7,2148.46,A0054,1767300610000,487,gold,A0054,1772144510000,14,A0054,1767232599000,48.18
A0055,1773309407000,A0055,1771695686000,110.25,5052.57,A0055,1767250502000,714,silver,A0055,1773283698000,29,A0055,1767372613000,48.81
A0056,1773617721000,A0056,1772632583000,22.68,7822.25,A0056,1769940844000,769,bronze,A0056,1773342600000,19,A0056,1767315659000,45.41
A0057,1773522308000,A0057,1772715769000,215.05,7096.49,A0057,1767234022000,333,gold,A0057,1773326169000,24,A0057,1767359223000,47.58
A0058,1772572997000,A0058,1769868430000,68.62,5542.88,A0058,1771478926000,607,bronze,A0058,1772161361000,38,A0058,1767257193000,49.65
A0059,1772572083000,A0059,1771353923000,19.08,3436.28,A0059,1771750061000,662,bronze,A0059,1772140166000,28,A0059,1767291763000,48.51
A0060,1773553156000,A0060,1773102090000,34.37,6773.9,A0060,1767284288000,760,silver,A0060,1773400350000,34,A0060,1767344215000,39.76
A0061,1772815997000,A0061,1772628965000,23.26,7335.51,A0061,1767301546000,487,gold,A0061,1772720900000,4,A0061,1767365536000,49.02
A0062,1773682460000,A0062,1773021169000,45.47,3847.18,A0062,1767248566000,786,gold,A0062,1773330362000,21,A0062,1767342632000,58.06
A0063,1773641559000,A0063,1771354218000,20.25,8761.01,A0063,1767229997000,603,silver,A0063,1773402361000,5,A0063,1767371594000,51.59
A0064,1773242214000,A0064,1771592671000,50.05,6027.2,A0064,1767250190000,584,gold,A0064,1772785266000,33,A0064,1767298828000,45.17
A0065,1772572317000,A0065,1771400898000,65.88,5569.62,A0065,1767262171000,588,silver,A0065,1772194366000,4,A0065,1767234790000,42.23
A0066,1772719726000,A0066,1770850445000,14.56,10319.6,A0066,1771460938000,718,silver,A0066,1772142359000,27,A0066,1767238023000,48.09
A0067,1772886264000,A0067,1770241578000,74.71,4317.7,A0067,1767311325000,695,gold,A0067,1772733955000,31,A0067,1767390044000,53.49
A0068,1772308822000,A0068,1771833646000,228.08,5415.72,A0068,1767261980000,680,gold,A0068,1772131091000,12,A0068,1767352120000,46.45
A0069,1773686326000,A0069,1773150612000,27.07,5082.81,A0069,1767261681000,816,silver,A0069,1773402078000,33,A0069,1767338885000,53.71
A0070,1772536551000,A0070,1770617289000,30.41,1064.55,A0070,1767248578000,819,silver,A0070,1772145921000,34,A0070,1767235374000,49.71
A0071,1773536458000,A0071,1771205018000,6.67,4075.07,A0071,1770828916000,300,silver,A0071,1773321428000,34,A0071,1767354568000,50.15
A0072,1771999677000,A0072,1771633867000,119.46,8157.53,A0072,1771085488000,497,silver,A0072,1771532808000,17,A0072,1767235293000,54.6
A0073,1772023317000,A0073,1771305713000,34.08,2299.11,A0073,1771170189000,300,silver,A0073,1771567313000,39,A0073,1767320563000,50.29
A0073,1772023317000,A0073,1771305713000,34.08,2299.11,A0073,1771170189000,300,silver,A0073,1771567313000,39,A0073,1767320563000,50.29
A0074,1772475947000,A0074,1772320498000,11.3,3506.45,A0074,1772255668000,379,silver,A0074,1772127803000,8,A0074,1767302931000,50.37
A0075,1772439040000,A0075,1771833379000,5.45,4094.51,A0075,1768502419000,783,silver,A0075,1772138328000,39,A0075,1767253693000,47.55
A0076,1773471962000,A0076,1770253922000,48.94,657.1,A0076,1767253100000,571,gold,A0076,1773355694000,19,A0076,1767356223000,44.47
A0077,1772256079000,A0077,1771824618000,80.53,4238.08,A0077,1767251981000,511,silver,A0077,1772106362000,13,A0077,1767266697000,51.91
A0078,1772000178000,A0078,1771067502000,12.96,6806.33,A0078,1770619511000,706,silver,A0078,1771513083000,13,A0078,1767267819000,53.07
A0079,1773367289000,A0079,1773128306000,16.34,7332.81,A0079,1767266600000,452,gold,A0079,1772773203000,25,A0079,1767287243000,58.16
A0080,1772872593000,A0080,1770103770000,99.78,7962.06,A0080,1770162915000,699,silver,A0080,1772774195000,30,A0080,1767341607000,47.71
A0081,1773284388000,A0081,1773153813000,38.84,9154.89,A0081,1767284680000,651,gold,A0081,1772791570000,31,A0081,1767391505000,51.73
A0082,1772981078000,A0082,1770847640000,41.33,6826.5,A0082,1770970627000,320,bronze,A0082,1772733086000,15,A0082,1767278636000,42.29
A0083,1773267321000,A0083,1772888690000,56.32,5255.72,A0083,1771586603000,559,gold,A0083,1772793995000,28,A0083,1767249397000,49.96
A0084,1772002909000,A0084,1771797595000,11.43,4232.98,A0084,1767238983000,398,gold,A0084,1771480502000,32,A0084,1767246231000,47.03
A0085,1772260496000,A0085,1772021487000,32.62,2389.69,A0085,1767265726000,532,bronze,A0085,1772168806000,16,A0085,1767258482000,39.75
A0086,1772355717000,A0086,1771769048000,5.22,4076.88,A0086,1771901835000,777,bronze,A0086,1772154054000,34,A0086,1767351918000,58.6
A0087,1773109183000,A0087,1772342635000,46.65,3136.0,A0087,1767624166000,345,gold,A0087,1772710285000,12,A0087,1767297440000,55.25
A0088,1772042715000,A0088,1770424516000,22.57,6244.51,A0088,1767311079000,802,bronze,A0088,1771502671000,16,A0088,1767257547000,52.63
A0089,1772348415000,A0089,1770930849000,33.15,1741.82,A0089,1767242568000,642,silver,A0089,1772143582000,8,A0089,1767322689000,43.66
A0090,1772247203000,A0090,1771038796000,266.29,8664.64,A0090,1767257687000,552,bronze,A0090,1772135161000,15,A0090,1767305809000,39.54
A0090,1772247203000,A0090,1771038796000,266.29,8664.64,A0090,1767257687000,552,bronze,A0090,1772135161000,15,A0090,1767305809000,39.54
A0091,1773218603000,A0091,1771978555000,24.79,3974.75,A0091,1767267315000,373,bronze,A0091,1772693110000,12,A0091,1767263231000,49.7
A0092,1773242162000,A0092,1772212184000,38.57,7440.17,A0092,1767246923000,508,gold,A0092,1772799121000,12,A0092,1767225755000,50.16
A0093,1772633570000,A0093,1768871049000,19.01,5838.43,A0093,1772108333000,531,bronze,A0093,1772124173000,13,A0093,1767310230000,47.24
A0094,1772107241000,A0094,1771195580000,89.04,7426.12,A0094,1770899692000,717,gold,A0094,1771590766000,11,A0094,1767339417000,48.31
A0095,1772418995000,A0095,1772160682000,32.57,3652.94,A0095,1769089703000,623,gold,A0095,1772117613000,17,A0095,1767328362000,45.98
A0096,1772156406000,A0096,1771794502000,20.38,4777.21,A0096,1767226551000,818,gold,A0096,1772111510000,7,A0096,1767277629000,50.11
A0097,1773191399000,A0097,1772361738000,73.88,7312.19,A0097,1767635127000,710,bronze,A0097,1772744965000,21,A0097,1767301178000,51.52
A0098,1772914323000,A0098,1769239693000,10.53,2873.22,A0098,1767247478000,660,gold,A0098,1772807383000,8,A0098,1767279347000,52.78
A0099,1772371960000,A0099,1772014634000,24.85,3344.97,A0099,1771897621000,601,bronze,A0099,1772208707000,2,A0099,1767259705000,50.34
A0099,1772371960000,A0099,1772014634000,24.85,3344.97,A0099,1771897621000,601,bronze,A0099,1772208707000,2,A0099,1767259705000,50.34
