user_id,e1,e2,e3,e4,e5,e6,e7,e8
U0000,-0.5495,0.0204,0.5103,-0.7099,0.0326,0.5141,0.1783,-0.0916
U0001,1.5456,-1.5596,0.3454,1.4839,-0.3681,0.8989,0.4924,-1.8463
U0002,0.0222,0.3464,-0.9376,-1.2623,-1.0131,1.1135,-0.0363,-0.5491
U0003,0.945,0.5462,1.6912,-1.0115,-1.0836,-0.006,0.2511,-1.1163
U0004,-1.2741,-0.501,-0.532,-0.1748,1.0511,0.0655,1.8154,0.2774
U0005,0.7858,-1.5527,0.224,0.8612,0.3029,0.0472,-1.0393,1.5938
U0006,-0.8351,0.7468,-1.1878,-0.2857,-0.7857,0.3616,-0.0952,-0.8378
U0007,-1.9161,1.9776,-1.0637,-0.2705,-1.4954,0.1701,1.8835,0.5832
U0008,-2.0531,0.5968,-0.6539,-2.443,0.5947,1.2928,0.9776,1.6752
U0009,-1.1079,-0.2446,-0.2791,-0.1951,-0.7412,0.7436,-0.9407,-0.3313
U0010,-0.6589,-0.395,-0.5948,1.3711,0.3638,0.596,-0.1839,1.5528
U0011,1.2164,0.6882,-1.3491,-1.6391,1.8549,-0.8722,0.3025,-0.2031
U0012,-0.84,-0.2238,0.4128,0.6778,-0.7619,-0.5398,0.9057,-2.0247
U0013,-0.093,-0.0947,0.1923,-0.6392,-0.1909,-0.7187,1.1818,0.7907
U0014,-0.209,0.7253,-1.3226,-1.3702,0.1675,-1.6085,-0.4347,-0.0586
U0015,-0.3675,-0.8447,-0.2287,-1.1101,-0.8083,0.9661,0.5608,1.7042
U0016,-1.7721,0.5553,-0.7276,-0.7881,-1.2102,1.9979,-0.7339,0.0032
U0017,-1.4575,1.4081,1.0766,-0.1401,1.767,-0.0292,0.2595,-0.7627
U0018,-0.3668,0.1162,0.0592,0.3334,-0.7273,-0.2724,1.4734,0.333
U0019,-2.3868,-1.0615,0.679,-2.2105,-1.3154,-0.9276,0.7899,-0.3353
U0020,-1.7324,-0.7376,-0.7365,-0.2605,-0.0252,-1.5529,-0.8713,-0.6647
U0021,-0.3591,-0.4674,0.0853,0.5579,-2.6072,0.04,0.1529,-0.1206
U0022,-1.3019,-0.1619,0.0182,-0.79,-0.109,-0.8922,0.2449,0.8568
U0023,0.6,-0.3521,0.2684,1.1447,-0.2596,0.8564,0.33,0.875
U0024,0.2973,0.2095,-0.1153,0.9292,0.5601,1.655,0.587,0.2353
U0025,-0.4282,0.0178,0.9619,-0.395,0.6703,-1.6526,-0.821,0.8333
U0026,-1.1554,0.4015,0.9151,2.33,0.7636,0.4565,1.2639,-0.7771
U0027,-0.2585,1.7275,0.5523,0.2932,0.4902,1.7588,-0.5751,1.4873
U0028,-0.6324,-0.7246,0.2173,-0.1786,0.3009,-0.4598,0.2566,-1.6931
U0029,-0.3402,1.6421,-0.1281,-0.5823,0.288,0.3597,-0.485,-0.3116
U0030,-0.3098,-2.1621,0.4688,-1.4434,-0.9465,1.5445,-0.9814,-0.569
U0031,-0.3593,-0.4589,0.0078,0.1714,1.3013,-1.1061,0.5065,0.3287
U0032,0.7091,-0.2114,0.5209,-1.6465,0.0933,0.2695,-0.1446,-1.1909
U0033,0.2844,-0.5987,0.5234,-0.5518,1.0885,0.7622,0.0894,0.0405
U0034,1.1967,-0.8882,-1.6425,-0.2497,-1.2819,0.6007,-0.9541,0.465
U0035,1.6485,-1.189,0.4264,-0.4887,0.8442,-0.1278,-0.2173,0.5431
U0036,0.6152,0.7525,0.161,0.035,0.9548,-0.3319,0.0094,0.16
U0037,-0.9524,-0.5679,-0.5545,-0.9427,1.2329,-1.2035,0.0756,0.1736
U0038,0.4249,0.0229,-0.0621,-0.8144,1.7698,0.9852,0.4471,1.1492
U0039,0.9452,0.209,-0.4425,-1.1,0.2606,0.1149,-1.2251,-0.0068
