query_id,embedding
Q000,"[-0.732842, -4.390321, -5.075371, 1.911432, 5.457014, 0.183738, -0.105348, -2.578464, 0.842235, 2.524327, -2.886322, 2.670805, 3.906518, 1.526791, 2.042432, -1.820678]"
Q001,"[-1.478254, 0.898718, 2.456546, -1.008689, 3.006491, 1.239644, 5.80491, 1.96404, 3.656186, -3.471143, -2.63382, -3.633549, -1.354463, 0.565873, 3.760676, -2.290776]"
Q002,"[-3.943396, 2.382192, 1.396538, 4.466638, -2.202411, 0.128632, -2.149167, -4.293226, -4.719686, -1.515418, 1.945971, 1.834788, 0.15753, -3.051256, -0.91239, 3.888686]"
Q003,"[-2.302905, 1.69927, 2.688716, -0.161491, 4.021689, 0.762167, 6.401132, 1.556828, 4.665233, -4.089165, -2.316991, -3.375571, -2.546122, 0.398775, 4.909915, -1.607183]"
Q004,"[-2.391563, 3.672468, 1.057059, 4.063738, -1.193176, 1.34362, -4.434354, -3.568022, -3.478633, -0.884071, 3.008655, 2.006573, 0.292117, -4.311061, -0.815771, 3.286288]"
Q005,"[-0.554223, -5.058515, 2.949462, -1.56392, -2.243765, 5.392755, 1.197689, 0.686593, -1.079038, -2.222036, -3.741937, 1.345963, 5.296586, -0.121562, 1.330128, 1.906007]"
Q006,"[1.906562, 3.296841, -1.423701, 0.223804, -0.814865, 0.897484, 3.098391, 2.377006, -3.050269, -2.192786, -1.983614, -0.245743, 0.228704, 2.341829, -2.707258, -4.495881]"
Q007,"[7.962329, -5.494547, 2.305002, -0.775775, 1.590037, -0.628481, -2.094796, -1.617529, 0.520129, -1.39661, -0.001104, -0.211159, 3.073623, -3.94401, 0.645612, -4.471712]"
Q008,"[-0.285673, -4.699125, 2.190662, -1.787845, -1.628641, 4.841235, 0.736201, 1.702524, -1.535904, -1.791105, -4.567349, 3.022506, 5.552463, 0.674052, 2.701249, 0.834117]"
Q009,"[8.047257, -4.350767, 2.035474, -1.382841, 1.460039, -0.1844, -3.606542, -1.765068, 0.217191, -1.249513, -0.512915, -0.216096, 3.10824, -4.152435, 1.355676, -5.953034]"
Q010,"[-1.469208, -3.206474, -3.795898, 2.791963, 4.937899, 1.311076, -0.045877, -3.55719, 1.314202, 3.227272, -3.808645, 2.04606, 4.860756, 2.650919, 1.413034, -1.872008]"
Q011,"[-0.495581, -4.563438, -4.459967, 3.489953, 7.715594, 0.770616, -0.271658, -3.512287, 1.416167, 2.911741, -3.779332, 2.114272, 4.004758, 2.810457, 2.407612, -2.249594]"
Q012,"[-1.637961, 1.126078, 1.863734, -1.215381, 4.072823, -0.598407, 6.020545, 1.703234, 4.778109, -4.049149, -1.936482, -2.825674, -2.841497, 1.921002, 4.7994, -1.900355]"
Q013,"[-2.039517, 2.210242, 3.835566, -0.901213, 4.824506, -0.424633, 5.625436, 1.826252, 4.519721, -3.957477, -2.608572, -2.931473, -1.251399, 0.569076, 4.860238, -1.892613]"
Q014,"[6.9231, -4.83917, 1.743219, -0.434679, 1.178327, -0.134256, -2.603291, -3.150289, -0.108092, -1.577753, 0.573773, -0.039702, 2.83063, -3.865078, 0.948885, -5.112384]"
Q015,"[9.175081, -6.109169, 2.132231, -0.235242, 1.152788, -0.420673, -3.516483, -2.767738, 0.244795, -0.984568, 0.377647, -0.851009, 3.41265, -3.279518, 1.06108, -6.026692]"
Q016,"[-0.911183, -4.896643, 0.274031, -1.438259, -2.321514, 4.278819, 1.250432, 1.463964, -2.015839, -0.556314, -3.139578, 2.501376, 5.72009, 0.661254, 2.354537, 1.482328]"
Q017,"[1.307048, 3.358113, -2.94131, -0.66383, -0.630711, -1.242154, 3.646945, 2.924975, -3.366603, -1.544095, -2.18715, 0.182739, -0.301828, 2.024748, -2.866461, -3.822827]"
Q018,"[-3.009651, 2.581542, 3.09359, 4.488943, -3.151474, 0.685364, -2.97674, -2.941559, -4.475553, -1.998013, 2.137513, 2.052136, -0.253428, -4.800825, -0.700338, 3.845918]"
Q019,"[8.149314, -5.563751, 2.041279, -1.06805, 1.536386, -1.267953, -3.672779, -2.091915, 0.90195, -0.789084, -0.240208, -0.8622, 5.487955, -4.347498, 1.391937, -6.078959]"
Q020,"[-2.876285, 1.611796, 3.443092, -0.081946, 3.859371, -0.970247, 5.702315, 1.63051, 4.269091, -5.069889, -1.940403, -1.752187, -1.971561, 1.011215, 4.368143, -2.502503]"
Q021,"[-0.899081, -5.185466, -3.946662, 2.306721, 6.470397, 0.811648, -0.262429, -2.901684, 2.120784, 1.559828, -3.820548, 2.25095, 3.558169, 1.912454, 1.850503, -0.80035]"
Q022,"[-4.226052, 2.688535, 1.786283, 3.353577, -2.991381, 1.209341, -2.805874, -4.621509, -4.864737, -2.065779, 2.72687, 2.586956, 0.202942, -4.307585, -1.355324, 4.22857]"
Q023,"[-0.864336, -4.879427, 1.519257, -1.769269, -1.971551, 5.19113, 0.474341, 1.397622, -1.212947, -1.349746, -4.899137, 3.072788, 5.995848, 1.649686, 2.466765, 0.794877]"
Q024,"[0.891034, -5.069737, 0.995748, -1.446001, -1.545627, 5.389807, 0.811817, 1.219116, -1.420249, -1.0821, -2.941013, 1.810033, 6.585385, 0.388745, 2.641527, 2.311386]"
