row_id,status,balance,updated_at
R00373,active,5656.77,1770019800000
R00242,active,5984.54,1770393060000
R00136,active,1467.81,1770538380000
R00364,closed,5196.31,1770172500000
R00262,closed,6505.97,1770316980000
R00047,closed,2624.56,1770477960000
R00098,active,5537.78,1770200460000
R00325,closed,8467.18,1770329880000
R00097,closed,6405.84,1770142200000
R00002,dormant,4852.41,1770161340000
R00303,closed,1720.16,1770120900000
R00276,active,7374.06,1770055800000
R00292,active,4730.14,1770697020000
R00336,dormant,6978.66,1770119520000
R00207,active,4044.02,1770145560000
R00232,closed,5682.93,1770386040000
R00182,closed,2782.13,1770524760000
R00044,active,8743.07,1770240840000
R00245,closed,7841.92,1770584640000
R00105,active,4894.96,1770496380000
R00266,active,6163.42,1770448020000
R00184,active,5358.97,1770655320000
R00172,closed,5001.66,1770213960000
R00192,closed,5421.57,1770183840000
R00388,dormant,4624.92,1770185760000
R00179,closed,4502.65,1770275940000
R00141,closed,-540.45,1770601380000
R00258,closed,3397.56,1770235080000
R00054,active,8519.67,1770404160000
R00187,closed,5445.78,1770691320000
R00066,closed,7755.15,1770569820000
R00208,dormant,3049.76,1770470340000
R00020,active,6469.58,1770161100000
R00306,closed,3797.04,1770269700000
R00112,closed,9004.33,1770135120000
R00103,dormant,1965.41,1770503820000
R00222,closed,9701.22,1770576600000
R00281,closed,7420.59,1770038640000
R00264,active,5684.64,1770041820000
R00294,closed,8758.71,1770162840000
R00297,active,4495.96,1770323760000
R00091,dormant,4658.97,1770700080000
R00150,closed,5486.55,1770363480000
R00177,dormant,6731.76,1770224880000
R00246,active,3792.85,1770575100000
R00316,closed,8769.99,1770761580000
R00119,active,6463.32,1770362700000
R00193,active,5711.13,1770461940000
R00352,dormant,2496.07,1770445620000
R00014,active,3678.69,1770305040000
R00053,active,5659.86,1770487980000
R00384,active,3636.62,1770426420000
R00009,closed,3154.77,1770682980000
R00215,closed,8104.77,1770469500000
R00190,active,3424.23,1770423000000
R00018,active,6398.71,1770286740000
R00360,active,6051.77,1770040440000
R00333,closed,8817.84,1770706200000
R00146,dormant,6513.42,1770195660000
R00200,active,2646.61,1770214440000
R00348,active,4146.39,1770222720000
R00345,dormant,4624.63,1770114540000
R00051,dormant,7673.26,1770332220000
R00201,active,2399.58,1770506100000
R00233,active,3798.42,1770638580000
R00260,closed,6337.78,1770058560000
R00329,closed,3069.33,1770421860000
R00318,closed,6060.54,1770198360000
R00218,closed,6677.11,1770460320000
R00236,closed,6858.71,1770487080000
R00089,dormant,4871.96,1770581460000
R00144,active,5090.41,1770212220000
R00000,active,5996.8,1770712260000
R00206,active,5138.03,1770522120000
R00015,closed,4100.84,1770320280000
R00261,active,5180.77,1770402660000
R00185,closed,6367.53,1770660420000
R00279,closed,7619.56,1770197220000
R00285,active,2000.47,1769959560000
R00308,closed,4438.36,1770130440000
R00147,active,5021.68,1770207840000
R00029,active,5898.39,1770507480000
R00059,closed,8149.55,1770529920000
R00115,active,3684.04,1770373080000
R00012,closed,4528.56,1770344040000
R00099,dormant,2028.63,1770324600000
R00210,dormant,6564.77,1770582240000
R00244,active,4596.31,1770440760000
R00334,active,398.36,1770261660000
R00157,active,4317.39,1770213900000
