account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1773091075000,53.65,5109.6,744,gold,22,49.17,0
A0001,1772260940000,18.95,4709.89,787,silver,9,55.63,0
A0002,1773235214000,100.41,2184.49,815,bronze,32,54.58,1
A0003,1773119773000,25.81,3666.11,428,silver,38,47.17,1
A0004,1772343031000,12.87,3992.32,737,gold,22,54.82,1
A0005,1772539761000,15.13,3676.2,387,gold,27,55.23,1
A0006,1773525291000,266.62,5517.62,610,gold,11,48.24,0
A0007,1772061321000,16.11,5168.38,829,bronze,19,55.37,0
A0008,1773503771000,34.57,-185.08,358,bronze,29,59.96,1
A0009,1773284825000,41.8,4047.81,713,bronze,9,54.45,1
A0010,1772922154000,91.11,4358.14,540,bronze,29,48.24,1
A0011,1772777129000,39.82,3542.81,472,gold,27,56.83,1
A0012,1773354586000,83.03,1999.22,645,gold,12,54.17,1
A0013,1772007007000,14.49,7446.11,362,gold,9,49.0,1
A0014,1772692881000,46.84,6214.41,623,bronze,0,56.05,1
A0015,1773390580000,20.34,5133.05,589,silver,0,60.7,0
A0016,1773547264000,275.31,5467.79,709,bronze,15,45.89,0
A0017,1773101994000,26.16,7221.0,412,bronze,17,45.53,0
A0018,1772809275000,33.76,5178.63,330,silver,4,52.87,0
A0019,1772054772000,13.92,5422.75,509,gold,35,42.81,1
A0020,1773244311000,100.54,5690.59,554,gold,21,53.51,0
A0021,1773245760000,80.15,9184.46,408,silver,9,55.16,1
A0022,1773025886000,12.98,7537.1,347,gold,38,46.74,0
A0023,1772934798000,354.62,7723.89,539,bronze,20,53.34,0
A0024,1772097474000,9.65,4354.52,708,gold,22,59.26,0
A0025,1773297328000,14.82,6433.87,329,gold,33,55.94,0
A0026,1772836086000,137.05,2781.66,552,gold,27,55.76,0
A0027,1772392935000,17.73,10555.64,525,bronze,14,44.24,1
A0028,1772361779000,19.13,5254.68,699,bronze,9,47.51,1
A0029,1772273581000,79.51,7442.65,736,bronze,3,55.54,0
A0030,1772601820000,29.62,2175.94,572,bronze,5,46.96,1
A0031,1772013454000,161.95,7297.39,724,gold,11,55.57,0
A0032,1772360752000,3.53,4426.34,362,gold,15,49.07,1
A0033,1772724614000,41.71,4396.08,453,silver,26,47.65,1
