account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1773091075000,16.34,3826.28,684,gold,30,94.91,0
A0001,1772260940000,49.78,4576.67,787,silver,21,94.43,0
A0002,1773235214000,5.22,2890.48,815,bronze,19,8.71,1
A0003,1773119773000,7.11,2949.07,428,silver,34,11.23,1
A0004,1772343031000,82.58,4245.83,737,gold,11,14.28,1
A0005,1772539761000,103.01,4454.08,387,gold,1,8.59,1
A0006,1773525291000,29.71,5413.12,610,gold,35,88.81,0
A0007,1772061321000,27.22,4072.3,801,bronze,3,88.94,0
A0008,1773503771000,34.57,194.83,305,gold,4,13.48,1
A0009,1773284825000,38.06,3555.33,713,bronze,10,13.3,1
A0010,1772922154000,99.57,3673.17,540,bronze,39,6.8,1
A0011,1772777129000,27.68,3765.15,438,silver,16,10.88,1
A0012,1773354586000,31.91,1686.49,645,gold,35,14.77,1
A0013,1772007007000,59.27,7183.42,362,gold,19,11.28,1
A0014,1772692881000,26.58,6768.02,623,bronze,29,9.6,1
A0015,1773390580000,11.47,5485.06,589,silver,0,90.89,0
A0016,1773547264000,159.92,5770.8,709,bronze,12,86.79,0
A0017,1773101994000,35.78,7196.98,412,bronze,32,85.14,0
A0018,1772809275000,28.08,4464.19,300,silver,25,89.4,0
A0019,1772054772000,27.18,5239.72,509,gold,3,14.14,1
A0020,1773244311000,114.27,5063.06,554,gold,23,88.28,0
A0021,1773245760000,103.52,9303.57,425,silver,14,6.9,1
A0022,1773025886000,50.02,7410.21,347,gold,20,92.57,0
A0023,1772934798000,13.55,8033.43,539,bronze,33,92.76,0
A0024,1772097474000,85.23,4321.97,740,silver,11,90.47,0
A0025,1773297328000,29.53,6304.71,329,gold,31,86.62,0
A0026,1772836086000,88.86,2730.18,552,gold,34,85.01,0
A0027,1772392935000,26.98,9374.65,525,bronze,2,8.07,1
A0028,1772361779000,31.98,4976.52,699,bronze,23,9.61,1
A0029,1772273581000,62.32,7732.7,736,bronze,25,90.93,0
A0030,1772601820000,40.38,1836.74,572,bronze,22,5.23,1
A0031,1772013454000,167.43,7349.66,724,gold,20,88.24,0
A0032,1772360752000,7.87,4155.23,362,gold,16,7.03,1
A0033,1772724614000,10.82,3493.79,392,bronze,4,12.35,1
A0034,1772301317000,9.47,7189.84,814,gold,33,94.2,0
A0035,1773260116000,41.1,8270.6,354,bronze,37,90.98,0
A0036,1772383755000,159.17,5477.25,476,bronze,39,6.96,1
A0037,1773584103000,4.55,2463.8,398,gold,33,93.41,0
A0038,1773106480000,29.28,2979.25,526,silver,13,85.62,0
A0039,1773083020000,44.41,3756.24,403,silver,34,92.01,0
