account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1773091075000,5.365E1,5.1096E3,744,gold,22,4.917E1,0
A0001,1772260940000,1.895E1,4.70989E3,787,silver,9,5.563E1,0
A0002,1773235214000,1.0041E2,2.18449E3,815,bronze,32,5.458E1,1
A0003,1773119773000,2.581E1,3.66611E3,428,silver,38,4.717E1,1
A0004,1772343031000,1.287E1,3.99232E3,737,gold,22,5.482E1,1
A0005,1772539761000,1.513E1,3.6762E3,387,gold,27,5.523E1,1
A0006,1773525291000,2.6662E2,5.51762E3,610,gold,11,4.824E1,0
A0007,1772061321000,1.611E1,5.16838E3,829,bronze,19,5.537E1,0
A0008,1773503771000,3.457E1,-1.8508E2,358,bronze,29,5.996E1,1
A0009,1773284825000,4.18E1,4.04781E3,713,bronze,9,5.445E1,1
A0010,1772922154000,9.111E1,4.35814E3,540,bronze,29,4.824E1,1
A0011,1772777129000,3.982E1,3.54281E3,472,gold,27,5.683E1,1
A0012,1773354586000,8.303E1,1.99922E3,645,gold,12,5.417E1,1
A0013,1772007007000,1.449E1,7.44611E3,362,gold,9,4.9E1,1
A0014,1772692881000,4.684E1,6.21441E3,623,bronze,0,5.605E1,1
A0015,1773390580000,2.034E1,5.13305E3,589,silver,0,6.07E1,0
A0016,1773547264000,2.7531E2,5.46779E3,709,bronze,15,4.589E1,0
A0017,1773101994000,2.616E1,7.221E3,412,bronze,17,4.553E1,0
A0018,1772809275000,3.376E1,5.17863E3,330,silver,4,5.287E1,0
A0019,1772054772000,1.392E1,5.42275E3,509,gold,35,4.281E1,1
A0020,1773244311000,1.0054E2,5.69059E3,554,gold,21,5.351E1,0
A0021,1773245760000,8.015E1,9.18446E3,408,silver,9,5.516E1,1
A0022,1773025886000,1.298E1,7.5371E3,347,gold,38,4.674E1,0
A0023,1772934798000,3.5462E2,7.72389E3,539,bronze,20,5.334E1,0
A0024,1772097474000,9.65E0,4.35452E3,708,gold,22,5.926E1,0
A0025,1773297328000,1.482E1,6.43387E3,329,gold,33,5.594E1,0
A0026,1772836086000,1.3705E2,2.78166E3,552,gold,27,5.576E1,0
A0027,1772392935000,1.773E1,1.055564E4,525,bronze,14,4.424E1,1
A0028,1772361779000,1.913E1,5.25468E3,699,bronze,9,4.751E1,1
A0029,1772273581000,7.951E1,7.44265E3,736,bronze,3,5.554E1,0
A0030,1772601820000,2.962E1,2.17594E3,572,bronze,5,4.696E1,1
A0031,1772013454000,1.6195E2,7.29739E3,724,gold,11,5.557E1,0
A0032,1772360752000,3.53E0,4.42634E3,362,gold,15,4.907E1,1
A0033,1772724614000,4.171E1,4.39608E3,453,silver,26,4.765E1,1
A0034,1772301317000,5.81E1,7.02308E3,833,bronze,31,5.181E1,0
A0035,1773260116000,5.22E1,8.44512E3,411,gold,13,5.147E1,0
A0036,1772383755000,9.122E1,5.89964E3,476,bronze,30,4.236E1,1
A0037,1773584103000,8.89E0,1.96977E3,398,gold,0,5.334E1,0
A0038,1773106480000,8.267E1,3.15146E3,526,silver,29,6.348E1,0
A0039,1773083020000,6.323E1,3.24999E3,363,bronze,14,4.844E1,0
A0040,1773583739000,1.862E1,5.07661E3,664,silver,32,5.102E1,1
A0041,1773222505000,2.346E1,1.60673E3,370,bronze,26,6.104E1,1
A0042,1772653231000,1.251E1,3.24807E3,556,gold,38,5.087E1,1
A0043,1772238552000,1.1559E2,3.84489E3,418,silver,6,4.698E1,0
A0044,1772998612000,3.898E1,5.07204E3,477,gold,19,4.571E1,1
A0045,1773697898000,6.091E1,4.39452E3,307,silver,36,4.475E1,0
A0046,1772284712000,3.226E1,2.18695E3,478,bronze,2,4.447E1,0
A0047,1772192510000,1.208E1,4.1111E3,551,gold,7,5.777E1,1
A0048,1773184184000,1.4687E2,6.3351E3,582,silver,0,4.791E1,0
A0049,1773374474000,7.049E1,5.66935E3,653,silver,5,4.799E1,0
A0050,1772044993000,3.818E1,9.11327E3,401,bronze,29,5.794E1,0
A0051,1772210131000,5.721E1,5.34079E3,795,gold,11,4.533E1,0
