f2,f3,f4,f5
13.450119,251.722397,8.515848,18.418342
6.310918,5.151493,9.054081,3.137021
7.453597,0.975287,16.600552,3.060523
4.309709,14.194638,21.150495,11.838014
14.995086,9.524153,24.989298,11.209826
3.960088,20.286205,2.961761,13.685833
4.4231,12.078039,5.454186,1.95725
5.97297,6.961912,8.964698,6.888868
10.063642,8.575,7.700795,44.702493
10.732169,14.423412,25.909284,9.231548
0.977477,6.623795,15.072456,6.761894
12.903516,2.695231,2.033042,3.118651
2.123363,5.51856,8.794858,2.064202
7.61988,1.770566,6.331466,6.659272
12.408135,3.465953,1.914575,8.761167
4.602707,9.930541,8.291607,8.977751
5.176667,15.507,14.722736,4.69031
9.206253,10.227648,32.874968,7.592811
7.62638,6.711911,3.51397,6.054059
7.61978,6.590161,11.247219,8.32926
5.718653,18.81281,12.62085,5.527233
13.108358,4.723215,4.742798,4.994453
4.280137,3.415636,5.044879,26.441447
4.5765,24.382049,12.198829,4.184031
44.626556,13.665382,2.254263,1.890059
10.6595,4.947646,9.623823,10.15152
20.679872,4.366182,6.658237,3.143444
9.339167,1.545173,8.192007,3.1359
7.937741,18.474316,8.497515,11.650724
7.973828,14.425098,3.237999,3.981685
17.040966,23.650858,12.649039,23.296038
2.091332,7.953899,4.969898,1.600876
11.539963,2.606767,17.272551,2.585038
13.976073,11.862728,10.702611,4.655632
14.144098,9.571865,12.815854,7.878583
2.9947,80.82054,9.000261,21.178163
12.148908,1.911505,2.819949,21.261814
6.943927,14.292712,10.474099,12.418371
13.901423,4.629886,8.923514,10.838954
29.251124,10.417156,9.580889,16.808834
6.215577,7.921559,39.728505,1.862902
20.855893,17.884998,2.955907,6.911143
2.712362,3.112756,7.758988,2.935632
32.741203,2.852516,7.09108,33.558668
3.434381,8.863409,6.555498,6.092892
21.789408,12.404912,3.439644,5.158877
10.092197,3.88533,5.496013,7.25097
3.589512,2.561228,10.320222,7.717617
23.913337,5.036112,1.684621,11.733119
4.666939,6.667106,12.306005,3.83518
7.2533,2.922771,17.092218,10.089865
59.039398,5.871179,8.649115,21.069788
15.679368,3.866932,1.866286,2.453029
4.899037,2.822219,10.199482,19.908752
8.150045,4.605616,11.474949,16.921693
16.246742,8.686873,13.661464,8.008221
6.140316,6.39652,11.395906,5.839903
8.185382,12.41753,10.636646,9.957231
1.26903,6.096102,9.135713,6.694582
5.319107,4.422321,15.106607,6.191377
3.540705,12.45442,5.76554,7.308509
5.234416,6.702553,8.459278,17.71426
13.032897,1.838981,14.857758,10.68501
7.483713,8.62396,11.22506,6.107952
3.8376,4.500256,3.907865,6.25969
5.965183,5.707917,0.83046,8.716257
4.320342,11.155737,1.688489,0.21343
8.357836,15.276875,6.487449,30.912215
6.446036,6.231682,8.350919,10.764747
16.269885,6.875507,11.796179,12.600785
3.829651,3.807996,6.03459,8.344925
3.093688,6.391741,17.426004,2.587936
7.302876,23.080506,5.400132,33.523886
71.526093,12.889551,7.243435,22.525384
16.868545,40.977546,5.790291,12.253539
72.683695,5.832725,2.256187,13.316934
6.032609,3.527768,3.2951,1.521873
20.304229,10.344518,7.127917,6.984091
27.631603,5.80454,28.005472,7.583391
2.517174,3.517626,4.579585,14.63209
5.360398,16.782153,41.412881,17.318992
6.657052,16.219368,3.559339,27.210008
3.202514,6.037438,7.595438,4.306065
19.927325,41.410178,7.432453,3.324339
10.403471,14.087882,7.533053,6.69962
11.253049,12.560447,1.948141,2.619945
12.598194,3.585222,39.615495,4.849511
11.218293,0.55774,7.492509,16.666479
10.9238,5.219027,13.714387,6.195964
8.917906,12.331696,4.803074,2.6354
