row_id,f1,f2,f3,f4
R00000,-2.635459,-1.910944,0.925575,-5.523484
R00001,-3.00537,-3.215878,0.865183,-2.607429
R00002,-2.502777,-2.562721,1.467915,-5.388015
R00003,-3.766172,-2.591689,2.129306,-7.18578
R00004,-3.098659,-2.966291,2.128953,-6.777185
R00005,-3.107176,-3.09674,2.631631,-4.050641
R00006,-2.357619,-1.645535,2.572661,-6.129199
R00007,-3.876881,-2.824659,1.346094,-5.108591
R00008,-3.398345,-2.409446,3.117691,-6.401525
R00009,-2.852906,-2.412388,1.26782,-6.967633
R00010,-2.852557,-1.740272,2.326958,-6.703211
R00011,-2.612723,-2.440988,1.623786,-2.196272
R00012,-3.946939,-1.941905,1.532332,-6.410853
R00013,-1.175628,-2.807484,1.138062,-3.716611
R00014,-3.292712,-2.892173,1.168601,-5.145928
R00015,-2.585127,-2.067139,2.313276,-4.520981
R00016,-3.991134,-2.873018,2.236881,-4.296557
R00017,-4.399968,-2.247106,3.067486,-5.878135
R00018,-3.330846,-3.362392,1.978316,-5.000957
R00019,-3.266872,-2.023188,3.315538,-7.080378
R00020,-2.913896,-1.972373,2.616144,-6.135797
R00021,-3.557802,-2.058054,2.67306,-4.79428
R00022,-2.731386,-2.432428,2.853512,-4.278711
R00023,-4.727277,-1.965757,1.966397,-4.385027
R00024,-2.67211,-2.754137,2.09001,-5.446597
R00025,-1.805902,-2.860577,2.55866,-5.114007
R00026,-3.193562,-2.465411,2.731111,-5.709653
R00027,-2.051562,-3.110447,1.610847,-4.43891
R00028,-3.904766,-1.813438,1.724884,-6.532906
R00029,-3.009676,-2.075628,2.700157,-4.216253
R00030,-3.979446,-1.351912,0.339735,-2.280789
R00031,-2.198977,-2.815045,1.32734,-5.643892
R00032,-4.433922,-2.471934,0.977164,-5.781007
R00033,-4.076013,-2.808939,1.668157,-4.858995
R00034,-3.763414,-1.957529,2.44351,-6.077889
R00035,-2.723907,-2.29949,2.776733,-4.10567
R00036,-4.709889,-1.898968,1.257339,-2.528175
R00037,-2.949494,-1.652378,3.167866,-5.388207
R00038,-2.46572,-1.3897,2.213709,-5.533857
R00039,-3.914449,-3.086068,2.622391,-5.976198
R00040,-4.677609,-2.786062,2.108912,-3.583826
R00041,-1.751299,-1.131025,3.221238,-3.991973
R00042,-4.603838,-1.420635,1.842378,-6.545521
R00043,-3.918583,-1.903624,0.828491,-5.499495
R00044,-3.718917,-2.526643,2.079218,-4.133576
R00045,-2.938179,-2.206748,3.15343,-4.923436
R00046,-1.509547,-2.571704,1.561415,-6.700786
R00047,-4.190272,-1.835639,2.252499,-4.546869
R00048,-2.962141,-1.928961,2.077548,-5.218915
R00049,-3.609827,-1.91252,1.685809,-5.634914
R00050,-3.625525,-1.35492,3.250071,-5.764362
R00051,-3.338633,-2.646937,1.042619,-3.939102
R00052,-3.436926,-2.653076,0.607502,-5.557726
R00053,-3.54276,-3.112687,1.821017,-3.119071
R00054,-2.903772,-1.172227,0.920033,-6.131786
R00055,-3.062857,-1.839061,0.933606,-5.389586
R00056,-2.094474,-2.308958,1.876889,-3.124838
R00057,-4.670525,-2.016961,2.770147,-5.218008
R00058,-4.132401,-2.850801,1.76487,-5.430728
R00059,-3.711198,-2.39388,3.167598,-3.563818
R00060,-3.327612,-2.709286,1.881653,-4.41141
R00061,-3.379807,-2.57777,1.905301,-3.761294
R00062,-3.218657,-2.502669,1.156129,-3.500861
R00063,-4.477578,-1.982519,3.211869,-4.480654
R00064,-2.519185,-2.715663,2.823792,-5.850456
R00065,-2.806373,-2.251564,2.230531,-4.5469
R00066,-2.940863,-1.375698,1.567799,-3.807352
R00067,-3.283987,-2.047679,0.318571,-5.029742
R00068,-3.107906,-1.62165,1.903527,-5.103392
R00069,-2.899661,-3.712505,1.624514,-5.725261
R00070,-3.36007,-2.438876,1.090538,-3.97797
R00071,-3.71965,-2.349756,2.439389,-5.221372
R00072,-2.754271,-2.739273,3.642684,-3.355072
R00073,-2.095575,-1.37617,2.484307,-3.924142
R00074,-3.358922,-2.391795,2.279426,-3.966032
R00075,-3.38258,-2.148002,2.398252,-4.971264
R00076,-3.742905,-2.151876,1.311081,-3.336864
R00077,-3.119534,-3.436517,1.563139,-4.630082
R00078,-3.555081,-2.574807,2.435129,-4.837381
R00079,-5.221342,-2.504019,1.243795,-5.589015
R00080,-3.472162,-2.590658,1.998189,-3.079498
R00081,-4.29651,-1.729826,2.168677,-6.472748
R00082,-3.657795,-2.82311,1.591589,-5.272325
R00083,-3.048989,-1.83804,2.221224,-3.654319
R00084,-3.093839,-3.030945,1.842679,-3.673004
R00085,-2.501642,-1.975175,2.458268,-4.901316
R00086,-2.746325,-3.475849,1.303562,-3.640124
R00087,-1.251914,-1.799891,2.51381,-3.787645
R00088,-3.257377,-2.781523,2.700642,-6.187671
R00089,-3.113093,-2.596196,2.127272,-6.23502
R00090,-2.851607,-2.434342,2.243609,-2.212854
R00091,-3.342014,-1.830753,2.201969,-2.977826
R00092,-4.575029,-2.217256,2.4413,-1.924304
R00093,-2.904321,-3.619086,0.934349,-4.176888
R00094,-1.894891,-1.971361,2.447661,-6.372798
R00095,-2.785981,-1.623554,1.370349,-5.742287
R00096,-3.237005,-1.752754,3.020276,-2.648524
R00097,-3.785949,-2.321458,1.723371,-5.273727
R00098,-4.445192,-1.589096,1.866838,-3.674046
R00099,-1.102248,-2.199894,1.331448,-5.974482
R00100,-2.338257,-2.047655,2.379591,-4.735685
R00101,-3.486864,-1.492625,2.130157,-3.642096
R00102,-2.824948,-2.365083,0.901014,-5.226413
R00103,-5.239959,-2.370493,2.378089,-6.416708
R00104,-3.485125,-2.281305,1.954183,-4.502375
R00105,-1.745597,-1.832887,2.410279,-5.08019
R00106,-2.719729,-2.961241,1.712245,-4.736031
R00107,-2.729744,-3.27634,0.815598,-4.248981
R00108,-4.010904,-1.910023,0.885932,-5.95716
R00109,-1.740563,-1.632203,1.37636,-2.346937
R00110,-2.783741,-1.990994,1.745018,-5.137649
R00111,-4.343755,-2.13982,1.896305,-3.410011
R00112,-3.874916,-2.388996,0.311869,-5.351054
R00113,-3.812824,-2.222496,2.637993,-4.338721
R00114,-0.815344,-1.477907,2.67373,-4.295524
R00115,-5.156945,-3.008028,1.523885,-4.87018
R00116,-2.967691,-3.510449,2.547968,-2.872445
R00117,-4.453062,-3.411066,1.86777,-3.502512
R00118,-2.094835,-2.351082,2.259466,-2.882499
R00119,-3.289137,-2.78292,1.676343,-3.832619
R00120,-3.135374,-2.061792,2.057542,-4.79219
R00121,-3.812676,-2.006567,2.139923,-5.64837
R00122,-3.462825,-2.317299,1.040174,-3.999452
R00123,-5.261084,-2.811739,1.292269,-6.012791
R00124,-5.246658,-2.003039,2.198122,-4.227033
R00125,-2.584463,-2.792363,0.979497,-5.601879
R00126,-3.292331,-1.957667,2.354227,-5.512078
R00127,-2.410907,-1.845928,0.484807,-4.549161
R00128,-2.464663,-2.710996,3.482473,-6.821773
R00129,-0.977227,-2.380931,1.195246,-4.727644
R00130,-2.320963,-2.306817,3.020342,-5.156089
R00131,-4.486864,-2.121775,1.449603,-4.521838
R00132,-3.357305,-2.749372,0.725815,-4.713615
R00133,-4.241496,-2.198974,1.595557,-5.218739
R00134,-3.503585,-2.553649,1.394002,-3.533405
R00135,-2.898178,-1.237684,2.202491,-5.617497
R00136,-2.335172,-2.473638,1.532189,-3.363782
R00137,-3.017281,-2.705836,1.629854,-3.286302
R00138,-3.722497,-2.875806,2.544115,-4.119462
R00139,-2.441065,-1.572918,2.763016,-4.688684
R00140,-1.17205,-2.026238,2.537363,-4.23114
R00141,-1.898778,-1.933561,2.330904,-4.42734
R00142,-1.546253,-1.591888,1.290543,-4.944728
R00143,-2.931148,-2.055171,2.80775,-5.672441
R00144,-3.286116,-2.599415,2.005936,-5.212363
R00145,-2.050235,-1.975876,1.657417,-5.209523
R00146,-2.977437,-2.965371,1.885911,-3.883981
R00147,-5.02058,-2.66771,2.469363,-2.896862
R00148,-1.73964,-3.15112,1.944413,-6.314635
R00149,-4.019436,-2.82393,2.147859,-5.369736
R00150,-2.318633,-1.469445,2.139417,-3.195316
R00151,-3.346994,-2.536354,2.620102,-4.188777
R00152,-3.146172,-3.282915,1.725684,-5.191983
R00153,-3.714754,-2.302014,1.130114,-4.237395
R00154,-2.995964,-1.962995,1.513624,-4.222202
R00155,-2.577618,-2.53084,1.672517,-3.389156
R00156,-4.070724,-2.652639,1.671495,-4.66772
R00157,-2.681672,-1.883675,2.062315,-3.852698
R00158,-4.045877,-3.406549,0.993356,-4.916048
R00159,-3.461108,-1.754079,1.258561,-4.23179
R00160,-2.708565,-1.704513,1.640754,-3.838438
R00161,-2.295601,-1.41466,2.756978,-4.463879
R00162,-3.250404,-1.919733,2.732473,-4.790006
R00163,-2.560757,-1.873454,1.406713,-4.949808
R00164,-2.590965,-1.970243,1.032068,-4.043605
R00165,-3.380751,-1.25715,1.182236,-4.656172
R00166,-3.552377,-2.411806,3.736548,-6.639561
R00167,-4.690433,-2.714951,2.240591,-5.721822
R00168,-2.169781,-1.950923,0.917289,-4.438012
R00169,-3.855758,-1.64659,1.071059,-4.216451
R00170,-4.100333,-2.677585,1.889065,-4.700835
R00171,-3.300304,-2.38628,1.805098,-4.955368
R00172,-4.136345,-2.21025,2.459983,-5.120357
R00173,-0.624611,-1.759148,1.817489,-5.74122
R00174,-3.529976,-1.892827,1.229586,-5.627465
R00175,-3.050264,-2.52898,3.095443,-4.586618
R00176,-3.597376,-2.198349,1.8806,-4.046969
R00177,-3.27017,-2.723764,2.015079,-4.888203
R00178,-3.300084,-2.229191,2.707244,-4.037724
R00179,-3.357526,-1.992934,0.316997,-6.679932
R00180,-3.774557,-2.710601,1.786573,-4.558026
R00181,-2.349894,-2.620861,3.313432,-5.240236
R00182,-3.023939,-2.810024,2.740055,-5.451617
R00183,-4.076593,-2.100601,2.538625,-5.322203
R00184,-3.125099,-2.525325,1.581767,-4.663493
R00185,-2.425017,-1.382702,1.962283,-4.153847
R00186,-3.038024,-3.196496,1.66918,-4.448313
R00187,-3.243363,-1.688336,2.408339,-4.506623
R00188,-2.798476,-3.23381,1.443213,-3.815897
R00189,-1.995141,-2.0472,0.555302,-5.821056
R00190,-3.246926,-1.507421,1.55119,-5.584
R00191,-1.974773,-1.900809,2.532537,-4.944516
R00192,-3.845303,-2.799947,1.015694,-5.346519
R00193,-2.338035,-2.755758,1.397572,-4.479178
R00194,-3.56917,-2.01065,2.87043,-3.322133
R00195,-2.174786,-2.10638,3.005083,-6.393144
R00196,-4.758469,-2.953999,1.915974,-6.489481
R00197,-2.942723,-2.591684,1.457554,-5.09904
R00198,-1.669186,-2.178238,2.576842,-5.161296
R00199,-2.641209,-2.175021,1.790924,-5.181189
R00200,-4.337196,-2.523574,3.352543,-4.825915
R00201,-2.610093,-2.169552,1.261934,-3.33563
R00202,-4.260694,-2.040165,1.684638,-4.559394
R00203,-3.710542,-2.264651,3.496299,-6.05893
R00204,-2.937172,-2.569704,1.751097,-5.003042
R00205,-3.052046,-2.25892,2.232625,-4.756117
R00206,-3.510999,-2.609222,1.470988,-6.083093
R00207,-1.794682,-2.630756,2.781133,-5.272417
R00208,-5.842946,-1.907992,3.058331,-3.792699
R00209,-1.591298,-2.365105,3.114925,-4.226471
R00210,-2.432075,-1.14587,1.865263,-6.525139
R00211,-3.140855,-2.051751,3.140616,-5.223698
R00212,-1.47976,-3.092337,1.682652,-5.230618
R00213,-2.246499,-2.18059,1.245776,-5.308461
R00214,-3.737942,-2.859352,2.950784,-5.908713
R00215,-2.936659,-1.696574,1.825871,-4.000593
R00216,-4.252933,-3.11835,2.824131,-3.420661
R00217,-4.13078,-1.901784,2.176966,-4.521796
R00218,-3.060478,-2.659722,2.09176,-5.074531
R00219,-3.626934,-2.542636,1.133286,-4.564156
R00220,-5.569063,-3.362756,1.520197,-5.216173
R00221,-4.104923,-1.829967,1.476715,-5.847634
R00222,-3.589889,-2.543345,3.196214,-7.220287
R00223,-4.867789,-2.314582,1.635315,-6.266398
R00224,-3.514327,-1.557677,1.963377,-2.15989
R00225,-2.332127,-2.701626,1.281465,-5.857599
R00226,-4.636878,-1.037378,0.911713,-4.696094
R00227,-4.207026,-2.0893,2.840597,-4.99189
R00228,-5.998637,-1.929715,0.664502,-4.917053
R00229,-2.345903,-3.205608,2.233919,-4.25527
R00230,-3.58314,-2.834827,2.789969,-4.080195
R00231,-3.63833,-2.08907,2.895741,-5.662301
R00232,-3.127155,-2.464603,1.532063,-5.436077
R00233,-1.941988,-2.642672,2.097389,-7.703368
R00234,-2.822521,-1.796474,2.169392,-3.659983
R00235,-3.441525,-1.418515,1.301915,-5.507563
R00236,-2.863837,-0.711131,2.856234,-4.594645
R00237,-2.511205,-2.534504,2.751498,-4.963342
R00238,-1.552372,-3.078973,1.871014,-4.99977
R00239,-3.741644,-2.17425,1.968424,-5.549041
R00240,-2.82078,-3.310315,2.241449,-4.873997
R00241,-3.008519,-2.932743,1.150758,-6.031865
R00242,-1.856791,-3.738964,1.933694,-5.739012
R00243,-3.908479,-3.031648,2.049621,-3.402754
R00244,-2.548228,-2.316939,1.585219,-3.438394
R00245,-3.947624,-2.460718,3.106216,-4.30522
R00246,-2.314515,-2.054422,1.114533,-4.101288
R00247,-4.585173,-2.418169,2.382775,-4.370927
R00248,-2.869442,-3.130337,2.962455,-4.267791
R00249,-2.882988,-3.0873,1.190232,-4.740112
R00250,-2.720589,-2.51698,2.257431,-5.34211
R00251,-2.945865,-2.384481,2.462457,-4.060807
R00252,-3.594999,-1.875542,1.79409,-5.334949
R00253,-3.134898,-3.604788,2.807144,-4.566571
R00254,-4.079209,-2.899176,1.758556,-3.354665
R00255,-2.665688,-2.079524,2.214969,-5.783802
R00256,-4.24922,-1.617913,1.941904,-5.966851
R00257,-2.733999,-2.302061,1.082359,-3.519084
R00258,-2.19059,-1.752218,1.857153,-5.904824
R00259,-3.25028,-2.54904,2.857279,-1.644523
R00260,-3.064732,-1.914734,2.217838,-5.33624
R00261,-2.930095,-1.999286,2.043103,-5.511552
R00262,-4.179438,-2.108417,2.649522,-4.898469
R00263,-3.169583,-1.869139,1.643131,-4.813989
R00264,-4.315733,-1.887105,1.462255,-4.808872
R00265,-2.296593,-0.994068,1.790285,-4.159522
R00266,-3.274666,-1.709383,1.611232,-4.321589
R00267,-3.82365,-2.114986,2.018316,-5.303924
R00268,-4.749557,-2.612413,2.012617,-4.158408
R00269,-3.152643,-1.567933,1.399846,-5.501405
R00270,-2.178446,-2.861907,1.549483,-7.215448
R00271,-1.595358,-2.693909,1.314234,-5.514035
R00272,-3.887605,-1.748862,1.929802,-2.984635
R00273,-2.567416,-2.110761,2.072336,-4.628606
R00274,-3.164957,-2.496734,2.240779,-4.415041
R00275,-4.088811,-2.52149,1.450276,-5.32465
R00276,-2.774138,-2.160286,2.027549,-3.882909
R00277,-2.938759,-2.672678,2.375296,-4.920641
R00278,-4.117273,-1.83,2.655081,-4.889721
R00279,-1.600336,-2.293602,2.812508,-4.85225
R00280,-4.451328,-2.261695,1.555648,-6.106638
R00281,-1.870813,-1.748407,2.360209,-3.69957
R00282,-3.90646,-1.481701,1.277008,-6.098832
R00283,-3.343656,-2.467071,2.247561,-4.983319
R00284,-5.592346,-1.81981,1.492668,-4.006311
R00285,-1.667282,-2.672361,2.833857,-6.639145
R00286,-1.85762,-1.984802,3.826495,-5.161437
R00287,-4.022066,-2.830917,1.792665,-7.169135
R00288,-2.160647,-1.672461,2.229744,-6.08337
R00289,-4.346949,-1.95838,4.027567,-3.711875
R00290,-3.520059,-1.92626,2.598747,-4.564923
R00291,-1.272264,-1.904915,2.062486,-5.038284
R00292,-4.034398,-2.145215,1.460782,-5.348591
R00293,-2.48237,-1.973247,1.332354,-4.26803
R00294,-0.618294,-1.868231,1.469684,-4.720933
R00295,-3.0892,-2.261485,1.581035,-4.53745
R00296,-2.850615,-2.560787,1.541907,-4.809584
R00297,-3.038467,-2.809988,1.86202,-4.05898
R00298,-2.966744,-2.862891,2.211709,-6.388182
R00299,-3.171968,-2.300466,1.854373,-4.350834
R00300,-3.470315,-2.031077,2.619969,-7.213011
R00301,-4.18406,-1.468679,2.889599,-4.353031
R00302,-5.07616,-1.953061,2.29351,-4.382647
R00303,-3.167987,-2.231775,0.77558,-3.308007
R00304,-2.22899,-1.854057,2.508886,-4.265026
R00305,-2.926218,-1.264699,1.549215,-4.409511
R00306,-2.676515,-1.617775,2.511657,-5.042188
R00307,-3.921264,-3.111281,0.970804,-3.19992
R00308,-2.215298,-2.285779,2.7858,-4.029926
R00309,-2.436224,-2.645092,3.007746,-7.886307
R00310,-4.298949,-2.069583,1.319228,-4.57173
R00311,-2.531811,-1.738513,2.127371,-5.152929
R00312,-2.829517,-1.884207,1.910125,-4.386377
R00313,-1.891037,-1.947038,2.625895,-4.212513
R00314,-3.707879,-2.768356,1.388059,-5.067035
R00315,-3.280218,-2.82279,3.082212,-4.398714
R00316,-2.591799,-2.348732,0.905577,-4.114928
R00317,-3.056984,-2.375377,1.675638,-5.276813
R00318,-4.006761,-1.373995,1.862781,-3.936172
R00319,-4.097217,-1.399508,2.547619,-4.480145
R00320,-3.417609,-2.540221,2.83183,-3.428572
R00321,-3.697276,-2.258708,2.016646,-4.192977
R00322,-3.13069,-2.435959,1.573469,-5.954157
R00323,-3.105215,-2.32439,1.780927,-2.875794
R00324,-2.824105,-3.187655,2.827191,-5.172034
R00325,-3.428401,-2.565161,2.401512,-3.341338
R00326,-2.535814,-1.832491,0.758994,-3.822295
R00327,-0.864158,-1.720285,2.100801,-4.954131
R00328,-2.316124,-2.490711,2.59047,-5.678746
R00329,-2.563865,-2.721083,1.592472,-3.599861
R00330,-2.663478,-2.729343,2.39925,-5.555925
R00331,-3.394247,-2.183488,2.066655,-4.628657
R00332,-2.438261,-3.188801,2.534107,-4.679647
R00333,-1.889921,-2.430209,2.466942,-3.482889
R00334,-4.355613,-1.945177,1.97889,-4.550434
R00335,-3.107294,-2.513321,2.962198,-4.57654
R00336,-3.078088,-1.954328,2.468526,-4.411049
R00337,-2.724065,-1.84837,3.718302,-2.283783
R00338,-2.159732,-1.263068,2.86202,-4.651921
R00339,-2.659919,-2.444719,1.451804,-3.991325
R00340,-0.985527,-2.918285,2.070783,-5.164242
R00341,-1.893282,-2.601852,2.21843,-4.284827
R00342,-1.857616,-2.583925,2.483204,-3.060762
R00343,-3.225855,-2.227264,1.702767,-6.18613
R00344,-2.435624,-3.029794,2.247304,-5.04267
R00345,-2.497713,-1.731368,1.382926,-7.170688
