date,pm25_lag1,temperature,humidity,wind_speed,pressure,precipitation
2025-04-07,3.6,5.8,63,16.5,1020.5,0.0
2025-04-09,3.7,4.0,56,28.9,1014.4,0.3
2025-04-11,3.3,5.5,61,18.6,1003.4,0.0
2025-04-13,2.4,7.9,77,17.8,1003.5,0.1
2025-04-16,4.7,10.5,77,13.5,1010.8,0.0
2025-04-27,2.7,8.9,61,19.4,1022.3,0.0
2025-05-04,1.5,5.7,55,26.9,1003.6,0.1
2025-05-09,3.4,4.7,86,12.7,1015.2,4.0
2025-05-15,2.6,9.7,62,28.7,1010.3,0.6
2025-05-20,3.2,13.8,50,15.5,1005.6,0.0
2025-05-23,2.2,8.4,74,23.7,1001.3,1.2
2025-05-25,2.6,11.1,69,21.1,1006.0,0.5
2025-05-28,4.4,12.9,75,12.3,1004.9,1.1
2025-06-01,1.9,14.7,60,20.4,1007.9,0.0
2025-06-05,7.4,15.3,62,17.0,1001.9,0.2
2025-06-07,4.8,14.2,61,31.5,996.7,0.0
2025-06-10,4.2,13.6,71,16.5,1006.7,0.2
2025-06-12,6.0,12.8,62,24.8,1020.2,0.0
2025-06-17,4.7,18.3,62,22.1,1008.4,0.0
2025-06-21,2.7,16.7,52,23.1,1010.4,0.0
2025-06-24,3.8,13.6,87,24.3,985.9,11.0
2025-06-26,2.8,17.8,67,12.5,1005.3,0.0
2025-06-29,2.7,17.3,61,27.4,1000.2,2.1
2025-07-01,2.4,19.7,63,16.2,1012.7,0.0
2025-07-13,4.1,18.4,80,9.2,1015.9,1.9
2025-07-15,6.7,18.7,89,8.3,1009.5,5.9
2025-07-17,7.2,21.7,68,12.6,1009.5,0.0
2025-07-19,7.7,21.1,69,10.6,1010.3,0.0
2025-07-26,6.1,22.1,75,9.1,1005.2,1.0
2025-07-29,5.5,20.3,82,34.4,995.8,21.3
2025-08-01,4.1,17.3,88,12.0,1002.9,8.4
2025-08-04,4.0,18.9,82,17.8,1006.2,1.8
2025-08-14,4.8,20.8,65,14.9,1019.2,0.0
2025-08-22,3.7,10.5,88,18.6,1001.3,27.0
2025-08-24,1.2,13.2,70,23.0,1003.4,1.5
2025-08-29,4.8,15.5,90,17.5,1000.8,2.4
2025-09-01,6.2,15.5,89,10.9,1011.7,0.2
2025-09-03,5.7,17.6,85,14.8,1005.8,9.9
2025-09-09,8.3,17.7,83,13.8,1019.1,0.0
2025-09-19,3.2,15.4,78,19.7,1006.8,0.0
2025-09-23,1.4,9.2,64,14.5,1017.7,0.0
2025-10-01,3.7,8.5,84,6.6,1032.8,0.2
2025-10-03,6.3,8.9,78,14.2,1023.1,0.0
2025-10-15,2.8,8.8,90,11.0,1013.1,0.0
2025-10-17,3.8,3.3,80,13.2,1013.3,0.0
2025-10-28,5.4,5.5,94,9.3,986.4,0.8
2025-11-01,2.1,7.2,86,19.5,1011.4,0.0
2025-11-06,6.4,10.8,96,11.6,1009.9,1.5
2025-11-12,8.9,7.8,94,27.6,1002.8,3.8
2025-11-14,2.5,1.0,80,15.4,1004.8,0.0
2025-11-18,2.8,-3.7,86,9.7,1001.1,0.0
2025-11-21,2.3,-2.6,82,22.4,1008.5,0.2
2025-11-24,8.9,-1.3,90,8.6,1000.7,0.0
2025-11-30,4.7,5.4,96,17.5,1005.1,3.9
2025-12-02,3.8,5.1,85,22.6,1009.4,0.1
2025-12-04,8.7,4.3,94,10.4,1011.3,0.8
2025-12-13,2.2,3.4,93,17.3,1015.9,4.2
2025-12-20,7.1,6.0,86,18.9,1005.1,0.0
2025-12-22,2.5,-0.4,93,13.8,1022.7,0.0
2025-12-26,3.5,1.5,92,13.9,1024.6,0.0
2026-01-02,2.5,-1.4,93,25.0,974.8,9.1
2026-01-05,4.2,-7.6,85,20.5,1010.1,4.6
2026-01-07,5.5,-5.4,91,16.9,1008.7,1.4
2026-01-12,1.6,-4.9,89,12.3,1014.3,0.2
2026-01-26,5.6,-5.1,90,15.6,1009.0,0.2
2026-02-02,2.8,-8.1,85,8.7,1025.1,0.0
2026-02-04,3.6,-6.3,87,16.6,1022.5,0.0
2026-02-07,4.4,-6.0,90,15.5,1014.8,0.0
2026-02-11,6.8,-5.5,91,11.9,991.7,0.9
2026-02-13,3.5,-8.7,88,15.9,998.7,0.0
2026-02-16,6.7,-8.1,80,10.6,1007.8,0.0
2026-02-18,3.4,-6.9,87,11.6,1008.2,0.0
2026-02-24,3.6,-1.5,93,14.8,1012.0,5.5
2026-03-02,3.6,1.4,83,13.7,1016.9,0.0
2026-03-05,2.6,3.0,77,12.7,1018.2,0.0
2026-03-07,12.0,1.4,92,9.6,1024.9,2.9
2026-03-14,7.8,3.6,98,10.7,998.4,10.6
2026-03-18,8.1,5.5,76,16.4,1022.6,0.0
2026-03-20,11.2,4.5,69,12.4,1018.1,0.0
2026-03-29,4.4,4.5,75,18.2,1010.7,0.0
2026-04-01,5.5,6.6,71,16.3,1015.8,0.0
2026-04-05,2.4,4.7,77,31.4,992.8,3.5
2026-04-08,2.1,4.5,71,17.0,1027.9,0.0
2026-04-18,5.2,8.3,64,10.7,1019.3,0.0
2026-04-28,2.3,5.4,48,19.9,1023.6,0.2
2026-05-02,4.4,17.4,39,21.4,1008.5,0.0
2026-05-13,3.9,7.1,95,12.8,990.8,4.5
2026-05-22,5.2,15.9,68,15.3,1017.2,0.7
2026-05-24,3.9,18.0,57,20.2,1015.8,0.0
2026-05-26,2.7,14.9,61,24.2,1010.4,0.8
