row_id,account_id,event_time,amount,category
R00530,A0122,1772842620000,46.67,other
R00531,A0012,1772842980000,10.71,rent
R00532,A0147,1772843280000,47.75,salary
R00533,A0053,1772843940000,58.43,grocery
R00534,A0074,1772845080000,15.06,grocery
R00535,A0054,1772845200000,15.04,grocery
R00536,A0016,1772846160000,60.62,travel
R00537,A0081,1772847840000,22.04,rent
R00538,A0062,1772851260000,2.55,salary
R00539,A0004,1772851380000,6.76,other
R00540,A0056,1772852460000,17.25,other
R00541,A0004,1772853660000,16.89,rent
R00542,A0083,1772855760000,11.68,grocery
R00543,A0044,1772857080000,100.69,grocery
R00544,A0079,1772857620000,1.33,grocery
R00545,A0005,1772858040000,13.65,rent
R00546,A0088,1772858280000,13.18,grocery
R00547,A0122,1772859240000,90.86,grocery
R00548,A0082,1772861400000,3.15,travel
R00549,A0062,1772861760000,3.51,salary
R00550,A0123,1772862180000,42.06,rent
R00551,A0135,1772862840000,35.76,grocery
R00552,A0107,1772863140000,20.27,other
R00553,A0125,1772863620000,23.24,grocery
R00554,A0043,1772866500000,101.39,salary
R00555,A0136,1772866620000,50.72,rent
R00556,A0083,1772866920000,9.78,travel
R00557,A0084,1772867820000,25.14,salary
R00558,A0021,1772867880000,36.09,grocery
R00559,A0057,1772868060000,31.44,other
R00560,A0054,1772868720000,6.03,salary
R00561,A0132,1772868780000,18.92,salary
R00562,A0094,1772868960000,18.5,other
R00563,A0038,1772869440000,94.31,travel
R00564,A0107,1772869620000,35.07,other
R00565,A0059,1772870160000,42.13,travel
R00566,A0016,1772870220000,57.98,salary
R00567,A0109,1772870700000,19.32,salary
R00568,A0062,1772872080000,8.16,salary
R00569,A0025,1772872800000,25.11,grocery
R00570,A0133,1772872980000,62.24,rent
R00571,A0065,1772873280000,12.14,rent
R00572,A0096,1772874300000,9.59,salary
R00573,A0135,1772876040000,111.04,grocery
R00574,A0072,1772876160000,4.09,salary
R00575,A0118,1772876460000,2.98,travel
R00576,A0145,1772877600000,7.92,grocery
R00577,A0052,1772878080000,16.89,salary
R00578,A0017,1772878980000,16.03,other
R00579,A0074,1772879160000,10.31,travel
R00580,A0094,1772879400000,45.12,other
R00581,A0130,1772879760000,52.28,rent
R00582,A0053,1772880240000,11.2,rent
R00583,A0139,1772880840000,48.76,grocery
R00584,A0079,1772880900000,16.18,travel
R00585,A0012,1772881440000,6.47,other
R00586,A0122,1772882400000,90.12,salary
R00587,A0128,1772882760000,52.82,travel
R00588,A0061,1772884320000,110.07,rent
R00589,A0015,1772884500000,108.31,grocery
R00590,A0098,1772886840000,14.59,other
R00591,A0094,1772887380000,18.91,salary
R00592,A0082,1772887740000,14.48,grocery
R00593,A0121,1772887860000,23.13,salary
R00594,A0103,1772888700000,27.56,salary
R00595,A0144,1772889720000,6.22,other
R00596,A0119,1772890500000,4.53,salary
R00597,A0014,1772893500000,28.58,rent
R00598,A0064,1772893800000,65.77,other
R00599,A0075,1772894280000,19.95,travel
R00600,A0126,1772895600000,7.45,rent
R00601,A0110,1772896560000,10.45,other
R00602,A0075,1772899080000,5.49,other
R00603,A0031,1772901120000,10.61,salary
R00604,A0129,1772901360000,12.27,travel
R00605,A0011,1772902020000,130.93,salary
R00606,A0076,1772902260000,233.47,other
R00607,A0084,1772903880000,27.2,other
R00608,A0032,1772904420000,84.15,other
R00609,A0028,1772904660000,148.59,grocery
R00610,A0050,1772905080000,4.71,grocery
R00611,A0099,1772906040000,26.95,travel
R00612,A0074,1772907720000,20.86,other
R00613,A0004,1772907900000,19.14,grocery
R00614,A0118,1772908200000,14.25,other
R00615,A0143,1772910540000,74.06,other
R00616,A0129,1772910660000,22.93,rent
R00617,A0051,1772910900000,195.68,other
R00618,A0090,1772912400000,98.44,salary
R00619,A0112,1772913180000,61.25,salary
R00620,A0016,1772913960000,32.5,rent
R00621,A0140,1772914020000,3.58,other
R00622,A0093,1772916240000,8.23,rent
R00623,A0133,1772916240000,8.66,salary
R00624,A0021,1772916240000,81.45,other
R00625,A0093,1772916420000,50.44,salary
R00626,A0113,1772918460000,37.77,salary
R00627,A0127,1772920500000,27.12,other
R00628,A0052,1772921220000,22.7,other
R00629,A0018,1772921520000,12.63,salary
R00630,A0019,1772921820000,41.45,grocery
R00631,A0047,1772922240000,6.38,salary
R00632,A0136,1772922300000,37.02,salary
R00633,A0024,1772923080000,4.94,other
R00634,A0115,1772923800000,14.87,grocery
R00635,A0120,1772923920000,30.29,rent
R00636,A0135,1772924640000,15.86,salary
R00637,A0125,1772924700000,18.13,grocery
R00638,A0060,1772924820000,25.57,other
R00639,A0029,1772925060000,11.8,travel
R00640,A0136,1772925540000,13.89,travel
R00641,A0119,1772927640000,20.97,grocery
