row_id,account_id,event_time,amount,category
R00000,A0099,1767230340000,13.64,grocery
R00001,A0069,1767233760000,18.5,grocery
R00002,A0094,1767237420000,49.59,travel
R00003,A0032,1767238980000,10.18,travel
R00004,A0096,1767241740000,20.77,other
R00005,A0046,1767271380000,37.34,grocery
R00006,A0027,1767271920000,15.07,grocery
R00007,A0056,1767275340000,20.38,rent
R00008,A0078,1767288960000,46.41,salary
R00009,A0031,1767295860000,5.22,salary
R00010,A0006,1767299760000,13.38,salary
R00011,A0065,1767305160000,13.87,salary
R00012,A0088,1767316980000,43.95,travel
R00013,A0007,1767335640000,20.74,other
R00014,A0006,1767344160000,32.36,travel
R00015,A0074,1767349920000,62.8,other
R00016,A0086,1767355860000,110.69,other
R00017,A0090,1767361020000,42.05,rent
R00018,A0117,1767362400000,27.7,travel
R00019,A0029,1767370500000,27.32,travel
R00020,A0027,1767374220000,5.54,rent
R00021,A0068,1767374520000,31.89,salary
R00022,A0030,1767381420000,12.65,other
R00023,A0037,1767382440000,48.02,rent
R00024,A0028,1767393060000,8.18,salary
R00025,A0074,1767406980000,78.75,travel
R00026,A0072,1767416760000,27.99,salary
R00027,A0068,1767438180000,67.03,other
R00028,A0067,1767439440000,53.83,rent
R00029,A0070,1767452040000,5.64,travel
R00030,A0097,1767454800000,30.31,other
R00031,A0106,1767463680000,25.45,other
R00032,A0101,1767470100000,23.02,salary
R00033,A0116,1767481560000,15.74,grocery
R00034,A0013,1767485580000,21.82,other
R00035,A0075,1767511500000,33.28,rent
R00036,A0042,1767516600000,16.99,salary
R00037,A0091,1767516840000,32.23,other
R00038,A0119,1767521040000,11.07,salary
R00039,A0071,1767527760000,44.63,travel
R00040,A0046,1767544380000,53.47,rent
R00041,A0037,1767558000000,2.36,other
R00042,A0028,1767564660000,13.55,grocery
R00043,A0096,1767592560000,13.87,grocery
R00044,A0049,1767622980000,5.48,grocery
R00045,A0118,1767638940000,12.52,other
R00046,A0067,1767643800000,10.1,rent
R00047,A0079,1767655260000,35.59,travel
R00048,A0052,1767664500000,4.58,salary
R00049,A0104,1767678660000,12.29,rent
R00050,A0033,1767706380000,19.44,grocery
R00051,A0048,1767718500000,28.23,travel
R00052,A0071,1767731460000,35.04,grocery
R00053,A0060,1767752520000,4.81,travel
R00054,A0069,1767757500000,28.56,rent
R00055,A0017,1767763800000,91.0,other
R00056,A0040,1767769500000,29.55,rent
R00057,A0000,1767786300000,10.96,travel
R00058,A0102,1767803280000,65.86,rent
R00059,A0074,1767808920000,8.0,travel
R00060,A0060,1767814740000,4.96,salary
R00061,A0116,1767818940000,6.58,travel
R00062,A0014,1767836880000,4.97,grocery
R00063,A0021,1767851520000,1.53,travel
R00064,A0109,1767853020000,9.52,grocery
R00065,A0012,1767861420000,7.25,rent
R00066,A0000,1767867600000,2.55,grocery
R00067,A0089,1767875880000,7.22,travel
R00068,A0000,1767877380000,6.5,other
R00069,A0033,1767879000000,15.38,salary
R00070,A0018,1767882420000,47.62,travel
R00071,A0076,1767883920000,16.35,salary
R00072,A0037,1767904980000,1.38,other
R00073,A0098,1767934500000,23.26,rent
R00074,A0009,1767951120000,126.05,grocery
R00075,A0003,1767963720000,148.7,salary
R00076,A0029,1767970560000,19.4,grocery
R00077,A0068,1767977640000,7.91,grocery
R00078,A0066,1767978300000,20.86,travel
R00079,A0102,1767993720000,8.5,salary
R00080,A0061,1767994980000,23.32,salary
R00081,A0056,1768003440000,29.6,travel
R00082,A0012,1768020120000,14.32,rent
R00083,A0065,1768041300000,63.65,rent
R00084,A0078,1768043700000,29.59,travel
R00085,A0099,1768048200000,376.34,grocery
R00086,A0092,1768068420000,8.31,travel
R00087,A0079,1768070100000,6.74,salary
R00088,A0008,1768074240000,33.01,salary
R00089,A0086,1768087980000,11.16,rent
R00090,A0064,1768094580000,5.95,grocery
R00091,A0024,1768100100000,23.02,salary
R00092,A0048,1768105200000,17.69,other
R00093,A0032,1768106400000,23.14,rent
R00094,A0045,1768106700000,5.32,grocery
R00095,A0002,1768108260000,5.81,salary
R00096,A0092,1768113240000,5.21,salary
R00097,A0057,1768115940000,79.2,salary
R00098,A0070,1768121580000,20.41,grocery
R00099,A0028,1768123020000,15.55,travel
R00100,A0072,1768140240000,2.31,travel
R00101,A0055,1768153200000,3.97,grocery
R00102,A0115,1768158540000,13.05,other
R00103,A0085,1768170480000,21.18,rent
R00104,A0100,1768182900000,9.4,grocery
R00105,A0006,1768186080000,23.82,rent
R00106,A0035,1768195380000,64.58,travel
R00107,A0089,1768196340000,26.62,travel
R00108,A0006,1768201080000,24.8,travel
R00109,A0062,1768209600000,3.07,salary
R00110,A0049,1768216140000,31.38,grocery
R00111,A0113,1768231860000,9.35,travel
R00112,A0016,1768236180000,49.98,rent
R00113,A0002,1768249080000,24.31,grocery
R00114,A0114,1768268760000,2.23,travel
R00115,A0118,1768284240000,38.84,rent
R00116,A0085,1768300080000,67.36,rent
R00117,A0063,1768300380000,48.63,grocery
R00118,A0106,1768302480000,22.71,rent
R00119,A0091,1768305480000,20.6,grocery
R00120,A0033,1768317300000,14.17,salary
R00121,A0095,1768322760000,26.56,rent
R00122,A0092,1768327980000,72.97,travel
R00123,A0059,1768328520000,20.09,rent
R00124,A0051,1768332780000,5.29,salary
R00125,A0032,1768335900000,9.49,travel
R00126,A0092,1768339740000,39.19,rent
R00127,A0061,1768352700000,8.66,salary
R00128,A0079,1768372320000,11.61,other
R00129,A0052,1768376700000,32.73,grocery
R00130,A0058,1768383540000,14.49,other
R00131,A0044,1768385100000,18.25,other
R00132,A0059,1768397280000,3.62,travel
R00133,A0032,1768407120000,14.94,salary
R00134,A0060,1768410660000,12.29,salary
R00135,A0103,1768416840000,267.3,grocery
R00136,A0103,1768422180000,15.54,grocery
R00137,A0019,1768429440000,38.12,grocery
R00138,A0017,1768441620000,23.44,travel
R00139,A0067,1768444200000,18.41,grocery
R00140,A0107,1768445760000,26.37,salary
R00141,A0040,1768448880000,14.5,salary
R00142,A0067,1768463520000,3.38,salary
R00143,A0051,1768468200000,27.91,other
R00144,A0030,1768476180000,99.87,other
R00145,A0111,1768477740000,40.51,travel
R00146,A0005,1768481940000,2.21,other
R00147,A0082,1768500540000,4.54,travel
R00148,A0016,1768510320000,14.67,salary
R00149,A0044,1768517580000,6.09,grocery
R00150,A0038,1768522140000,22.1,travel
R00151,A0106,1768524480000,25.19,grocery
R00152,A0017,1768552980000,7.2,rent
R00153,A0037,1768559520000,30.68,travel
R00154,A0074,1768561080000,36.74,salary
R00155,A0067,1768567080000,4.66,travel
R00156,A0074,1768574400000,39.19,other
R00157,A0014,1768584180000,20.98,travel
R00158,A0091,1768594680000,33.79,travel
R00159,A0026,1768605000000,10.09,grocery
R00160,A0099,1768605120000,9.91,rent
R00161,A0059,1768617720000,24.51,grocery
R00162,A0091,1768646040000,37.37,grocery
R00163,A0104,1768656660000,7.88,other
R00164,A0064,1768671060000,25.02,other
R00165,A0076,1768671720000,13.98,rent
R00166,A0086,1768681020000,25.3,other
R00167,A0022,1768696020000,5.29,grocery
R00168,A0105,1768707240000,8.79,grocery
R00169,A0116,1768708980000,23.11,salary
R00170,A0112,1768714380000,14.71,other
R00171,A0102,1768714440000,3.51,grocery
R00172,A0081,1768735020000,116.83,travel
R00173,A0111,1768747140000,14.26,grocery
R00174,A0042,1768753620000,29.2,other
R00175,A0021,1768756200000,17.42,salary
R00176,A0118,1768757160000,72.2,grocery
