account_id,event_time,credit_score,tier
A0000,1767280521000,716,bronze
A0000,1773558803000,721,gold
A0001,1767226552000,437,bronze
A0001,1769148351000,504,bronze
A0002,1767241135000,843,silver
A0003,1767252727000,773,bronze
A0004,1767260520000,338,gold
A0005,1767265733000,470,gold
A0005,1773842067000,511,silver
A0006,1767309846000,812,silver
A0006,1770916267000,850,gold
A0007,1767308589000,583,bronze
A0007,1774231067000,604,bronze
A0008,1767236619000,545,gold
A0008,1769796706000,516,bronze
A0009,1767235208000,680,bronze
A0009,1774351272000,671,gold
A0010,1767267924000,330,silver
A0010,1767434513000,300,gold
A0011,1767267594000,808,gold
A0011,1773923181000,740,gold
A0012,1767294428000,627,silver
A0012,1774811929000,617,bronze
A0013,1767307358000,759,gold
A0013,1772292620000,729,bronze
A0014,1767228374000,682,silver
A0014,1774323239000,617,gold
A0015,1767269730000,741,gold
A0015,1772914310000,779,silver
A0016,1767292376000,613,silver
A0016,1774947874000,657,silver
A0017,1767288495000,745,silver
A0018,1767311532000,564,bronze
A0018,1771362500000,609,silver
A0019,1767240904000,781,silver
A0020,1767283483000,679,bronze
A0020,1768355812000,729,gold
A0021,1767229692000,313,gold
A0021,1774711476000,389,gold
A0022,1767244480000,332,gold
A0022,1768409694000,362,bronze
A0023,1767245599000,676,bronze
A0023,1772503391000,734,bronze
A0024,1767233823000,658,bronze
A0024,1774885668000,724,silver
A0025,1767255250000,410,bronze
A0025,1770168761000,338,bronze
A0026,1767286935000,847,gold
A0026,1771274046000,850,bronze
A0027,1767309585000,849,silver
A0027,1774482785000,850,bronze
A0028,1767249042000,321,gold
A0029,1767250343000,435,gold
A0029,1770056604000,474,gold
A0030,1767264614000,406,silver
A0030,1768376704000,377,gold
A0031,1767268429000,342,silver
A0031,1773940504000,410,bronze
A0032,1767297793000,403,gold
A0032,1774618946000,325,silver
A0033,1767234070000,847,bronze
A0033,1771222451000,774,silver
A0034,1767259509000,679,gold
A0034,1774593584000,663,silver
A0035,1767288037000,420,gold
A0036,1767299849000,820,silver
A0036,1772677793000,799,bronze
A0037,1767283288000,618,gold
A0038,1767273214000,795,gold
A0038,1773843881000,772,bronze
A0039,1767308946000,424,bronze
A0040,1767279503000,784,bronze
A0040,1767758156000,746,gold
A0041,1767286099000,805,silver
A0041,1774471203000,762,gold
A0042,1767251524000,425,bronze
A0042,1772175805000,493,silver
A0043,1767280545000,323,gold
A0043,1770814736000,401,silver
A0044,1767291522000,362,silver
A0044,1773994069000,442,silver
A0045,1767291886000,474,bronze
A0045,1773832105000,407,silver
A0046,1767281203000,631,bronze
A0047,1767296530000,367,gold
A0047,1774260086000,354,bronze
A0048,1767245469000,324,silver
A0048,1770665253000,300,gold
A0049,1767289395000,504,bronze
A0050,1767232957000,388,silver
A0051,1767241575000,823,silver
A0052,1767280618000,305,bronze
A0052,1774284499000,370,bronze
A0053,1767241301000,840,gold
A0053,1773054237000,808,bronze
A0054,1767294789000,806,silver
A0054,1769633084000,731,silver
A0055,1767272406000,457,gold
A0056,1767269012000,821,gold
A0056,1770394505000,745,gold
A0057,1767248348000,715,silver
A0058,1767258175000,328,bronze
A0058,1774422193000,314,gold
A0059,1767302570000,461,gold
A0060,1767253100000,418,gold
A0060,1769346957000,386,silver
A0061,1767247209000,503,silver
A0061,1773558952000,467,bronze
A0062,1767273557000,399,silver
A0063,1767305639000,384,silver
A0063,1771660204000,436,gold
A0064,1767249373000,598,silver
A0064,1774073216000,665,silver
A0065,1767262865000,543,bronze
A0065,1770956260000,565,silver
A0066,1767278523000,745,bronze
A0067,1767228273000,450,silver
A0067,1774260777000,450,gold
A0068,1767259179000,535,bronze
A0068,1772423381000,504,bronze
A0069,1767304149000,824,gold
A0070,1767258213000,353,silver
A0070,1770197066000,381,bronze
A0071,1767240827000,769,bronze
A0072,1767308004000,367,bronze
A0073,1767306950000,801,silver
A0074,1767294268000,664,bronze
A0075,1767308496000,374,gold
A0076,1767260225000,354,gold
A0076,1773310873000,418,silver
A0077,1767298712000,812,gold
A0077,1773066793000,850,silver
A0078,1767264167000,521,gold
A0078,1768461834000,587,gold
A0079,1767305476000,388,silver
A0079,1773092976000,406,silver
A0080,1767232368000,753,gold
A0080,1767703636000,703,silver
A0081,1767247936000,786,silver
A0082,1767304002000,328,gold
A0082,1770864801000,381,bronze
A0083,1767278219000,499,gold
A0084,1767297884000,595,bronze
A0084,1768300896000,593,bronze
A0085,1767259694000,323,bronze
A0085,1771499760000,375,gold
A0086,1767259272000,813,bronze
A0086,1772794518000,756,bronze
A0087,1767242894000,744,bronze
A0087,1768051987000,716,bronze
A0088,1767247115000,502,gold
A0089,1767234269000,482,gold
A0090,1767286593000,785,gold
A0091,1767286040000,758,silver
A0091,1767842991000,836,gold
A0092,1767290496000,313,silver
A0093,1767276054000,425,bronze
A0093,1768665368000,347,silver
A0094,1767235641000,569,silver
A0094,1773377495000,567,silver
A0095,1767242411000,787,bronze
A0095,1773545490000,850,bronze
A0096,1767273745000,847,gold
A0097,1767277245000,820,silver
A0097,1770349398000,800,bronze
A0098,1767305383000,542,silver
A0098,1774755950000,479,bronze
A0099,1767287171000,440,gold
A0099,1772936125000,404,silver
