row_id,account_id,event_time,amount,category
R00428,A0074,1770932340000,13.11,other
R00557,A0045,1771979460000,15.15,travel
R00361,A0033,1770391020000,12.17,other
R00463,A0054,1771231140000,10.01,rent
R00536,A0011,1771842660000,5.8,grocery
R00364,A0102,1770406260000,67.76,grocery
R00571,A0012,1772134560000,9.78,grocery
R00340,A0050,1770236760000,14.66,grocery
R00468,A0078,1771261620000,10.15,rent
R00573,A0075,1772157660000,12.66,rent
R00566,A0005,1772069640000,27.62,salary
R00396,A0028,1770618840000,38.54,salary
R00414,A0103,1770775380000,10.89,rent
R00502,A0034,1771562640000,10.61,other
R00561,A0049,1772011740000,10.06,salary
R00443,A0050,1771025640000,3.09,other
R00351,A0110,1770335040000,42.91,grocery
R00448,A0105,1771113540000,1.32,travel
R00342,A0042,1770242460000,5.91,grocery
R00422,A0100,1770853440000,21.47,travel
R00473,A0036,1771315740000,59.02,rent
R00459,A0071,1771215600000,22.61,travel
R00451,A0002,1771141980000,9.66,rent
R00540,A0025,1771864860000,73.16,grocery
R00480,A0034,1771376640000,9.68,salary
R00445,A0082,1771079280000,39.62,salary
R00488,A0047,1771428240000,19.64,rent
R00366,A0057,1770434880000,3.73,travel
R00406,A0033,1770733020000,108.97,salary
R00379,A0075,1770516360000,3.01,salary
R00454,A0101,1771192920000,22.15,travel
R00375,A0030,1770492900000,11.59,grocery
R00558,A0025,1771982760000,22.69,rent
R00476,A0011,1771345560000,42.39,rent
R00423,A0018,1770859560000,24.41,other
R00384,A0102,1770550020000,22.84,other
R00395,A0034,1770618360000,22.88,salary
R00343,A0109,1770274320000,11.07,grocery
R00371,A0026,1770471900000,58.23,travel
R00528,A0023,1771745760000,9.89,salary
R00539,A0067,1771858800000,119.4,travel
R00595,A0090,1772380200000,33.96,grocery
R00495,A0104,1771504980000,9.28,travel
R00537,A0017,1771848420000,4.33,grocery
R00547,A0094,1771921740000,18.0,rent
R00469,A0080,1771296480000,19.88,travel
R00376,A0087,1770500160000,37.88,grocery
R00526,A0004,1771738800000,23.06,grocery
R00532,A0085,1771812960000,2.89,grocery
R00439,A0094,1771016940000,15.16,rent
R00475,A0043,1771340100000,6.78,salary
R00373,A0004,1770476520000,46.69,grocery
R00394,A0064,1770604560000,29.32,grocery
R00544,A0080,1771901280000,41.67,rent
R00399,A0076,1770674160000,52.64,travel
R00358,A0023,1770367140000,15.29,grocery
R00402,A0055,1770690180000,62.55,travel
R00345,A0094,1770291900000,130.56,rent
R00559,A0118,1771982760000,4.99,salary
R00574,A0106,1772162220000,5.17,grocery
R00481,A0048,1771378860000,6.99,grocery
R00377,A0009,1770500640000,28.26,other
R00493,A0026,1771485060000,43.06,other
R00410,A0111,1770760320000,9.39,salary
R00449,A0056,1771133100000,68.09,rent
R00596,A0054,1772388240000,17.46,grocery
R00507,A0079,1771602780000,27.41,grocery
R00426,A0009,1770911040000,4.61,salary
R00565,A0043,1772063640000,44.16,rent
R00482,A0088,1771383720000,76.87,travel
R00529,A0109,1771747080000,22.38,salary
R00563,A0069,1772043420000,26.63,rent
R00409,A0054,1770753360000,8.02,rent
R00362,A0074,1770400200000,93.53,salary
R00456,A0046,1771199160000,30.66,salary
R00332,A0014,1770191220000,37.48,rent
R00497,A0064,1771514100000,9.35,grocery
R00453,A0001,1771178700000,11.1,salary
R00597,A0057,1772392140000,43.1,other
R00413,A0073,1770770400000,51.54,other
R00591,A0081,1772326260000,5.63,grocery
R00510,A0087,1771648380000,1.79,grocery
R00479,A0058,1771358820000,18.14,travel
R00543,A0110,1771877100000,41.77,travel
R00356,A0016,1770366000000,49.78,travel
R00387,A0090,1770566160000,7.67,other
R00496,A0047,1771506060000,33.18,grocery
R00369,A0071,1770466620000,9.84,other
R00388,A0023,1770567240000,18.14,rent
R00534,A0042,1771832340000,52.28,grocery
R00341,A0073,1770241320000,39.37,grocery
R00483,A0093,1771392720000,37.91,other
R00581,A0046,1772259480000,25.86,travel
R00508,A0035,1771629960000,14.98,rent
R00455,A0117,1771196400000,1.65,rent
R00506,A0094,1771574100000,7.64,rent
R00421,A0034,1770840240000,15.13,grocery
R00355,A0070,1770363000000,13.43,other
R00458,A0046,1771214100000,122.01,travel
R00564,A0114,1772062560000,10.93,other
R00492,A0075,1771483980000,7.26,travel
R00599,A0031,1772407680000,22.07,salary
R00477,A0058,1771347660000,77.35,travel
R00400,A0036,1770683280000,12.67,travel
R00579,A0105,1772219160000,36.99,grocery
R00509,A0078,1771642680000,19.16,salary
R00538,A0014,1771853160000,9.3,travel
R00461,A0091,1771222260000,18.05,travel
R00411,A0054,1770763500000,38.75,rent
R00368,A0025,1770455820000,91.46,rent
R00474,A0019,1771331700000,9.82,salary
R00350,A0046,1770313680000,17.03,rent
R00511,A0035,1771659840000,17.58,rent
R00548,A0035,1771928580000,10.79,salary
R00452,A0079,1771159620000,8.96,other
R00464,A0005,1771236840000,8.45,other
R00344,A0012,1770284760000,8.3,travel
R00472,A0057,1771311300000,15.0,travel
R00484,A0098,1771397640000,6.78,salary
R00441,A0062,1771021740000,24.49,rent
R00335,A0001,1770214020000,21.04,salary
R00515,A0084,1771691580000,55.56,salary
R00530,A0050,1771766940000,8.81,rent
R00438,A0068,1770988140000,27.5,rent
R00542,A0095,1771875780000,31.28,other
R00592,A0069,1772344320000,14.46,other
R00489,A0025,1771433340000,59.78,rent
R00501,A0048,1771558800000,72.46,travel
R00567,A0045,1772088720000,84.63,rent
R00520,A0109,1771717260000,44.89,salary
R00551,A0038,1771948500000,4.54,other
R00337,A0005,1770224640000,49.26,rent
R00583,A0065,1772276460000,36.04,other
R00420,A0059,1770831720000,12.24,rent
R00494,A0101,1771502700000,15.19,rent
R00582,A0116,1772262900000,11.63,other
R00568,A0064,1772111100000,66.66,rent
R00437,A0082,1770983400000,4.66,salary
R00556,A0106,1771970280000,11.75,grocery
R00470,A0056,1771306680000,28.96,grocery
R00431,A0082,1770942840000,16.74,grocery
R00598,A0005,1772404920000,7.38,other
R00578,A0012,1772218680000,14.89,grocery
R00457,A0061,1771213320000,27.95,rent
R00360,A0018,1770377340000,12.16,rent
R00523,A0070,1771725540000,4.16,rent
R00587,A0081,1772294820000,16.75,travel
R00434,A0053,1770962040000,84.89,travel
R00404,A0063,1770705120000,12.15,other
R00407,A0014,1770740400000,11.94,rent
R00380,A0090,1770527760000,81.46,other
R00383,A0052,1770543240000,115.1,rent
R00436,A0063,1770963540000,74.85,rent
R00385,A0000,1770552420000,4.34,other
R00546,A0052,1771918020000,14.93,salary
R00465,A0091,1771244460000,2.82,other
R00432,A0078,1770948900000,43.33,grocery
R00500,A0099,1771552800000,66.94,travel
R00593,A0068,1772354280000,132.22,travel
R00386,A0006,1770559740000,11.02,rent
R00471,A0039,1771310220000,5.0,travel
R00430,A0004,1770939300000,20.69,other
R00485,A0087,1771401180000,39.22,grocery
R00575,A0104,1772181720000,33.32,salary
R00519,A0084,1771715160000,15.44,rent
R00478,A0077,1771353120000,8.51,rent
R00514,A0001,1771686840000,20.93,salary
R00522,A0006,1771720920000,16.83,grocery
R00585,A0016,1772291400000,21.65,other
R00408,A0026,1770743580000,7.63,rent
R00466,A0018,1771244880000,261.59,rent
R00339,A0041,1770228780000,3.69,salary
R00398,A0105,1770672000000,20.88,grocery
R00533,A0026,1771828440000,17.97,salary
R00425,A0067,1770873540000,11.94,salary
R00554,A0003,1771959480000,12.62,other
R00589,A0119,1772305260000,20.78,salary
R00562,A0050,1772031120000,144.11,grocery
R00505,A0039,1771572120000,48.53,rent
R00370,A0009,1770467820000,8.37,other
R00550,A0107,1771937760000,9.91,other
R00560,A0058,1771991940000,131.33,grocery
R00524,A0047,1771730640000,88.03,other
R00467,A0116,1771259040000,4.47,rent
R00374,A0034,1770479220000,14.45,grocery
R00427,A0076,1770912180000,3.51,other
R00460,A0065,1771216800000,21.18,travel
R00397,A0029,1770649440000,49.34,travel
R00450,A0008,1771138020000,32.95,grocery
R00429,A0071,1770936720000,110.78,other
R00382,A0094,1770533640000,36.87,grocery
R00401,A0019,1770689460000,62.23,rent
R00521,A0036,1771719780000,8.77,other
R00487,A0028,1771421640000,12.24,rent
R00389,A0106,1770575280000,112.88,rent
R00490,A0006,1771473720000,31.31,travel
R00446,A0047,1771089420000,11.11,other
R00367,A0048,1770452940000,8.07,rent
R00491,A0104,1771483140000,19.36,other
R00433,A0056,1770949080000,37.06,other
R00577,A0014,1772198700000,14.9,other
R00415,A0062,1770778500000,39.56,other
R00333,A0030,1770203280000,3.57,salary
R00435,A0032,1770963480000,14.04,salary
R00390,A0059,1770575640000,16.6,salary
R00338,A0040,1770228780000,1.28,rent
R00444,A0011,1771068480000,42.06,travel
R00336,A0054,1770218700000,25.86,rent
R00525,A0017,1771731000000,5.97,grocery
R00334,A0067,1770211860000,5.19,rent
R00365,A0112,1770422220000,12.64,grocery
R00486,A0072,1771416780000,7.46,grocery
R00418,A0060,1770798660000,63.44,other
R00555,A0094,1771961040000,26.7,other
R00381,A0047,1770533460000,18.97,other
R00346,A0038,1770293880000,3.28,grocery
R00348,A0041,1770309540000,7.47,travel
R00516,A0001,1771692060000,63.89,grocery
R00447,A0050,1771097760000,5.76,grocery
R00527,A0044,1771743720000,18.46,salary
R00405,A0010,1770729600000,9.82,other
R00552,A0081,1771948620000,35.25,travel
R00576,A0109,1772182260000,14.64,rent
R00359,A0089,1770375900000,285.59,rent
R00572,A0077,1772145120000,6.36,salary
R00440,A0040,1771018560000,10.52,other
R00416,A0093,1770789540000,19.28,rent
R00347,A0025,1770295080000,63.53,salary
R00363,A0009,1770400440000,15.09,travel
R00549,A0056,1771929060000,2.57,rent
R00403,A0007,1770698160000,18.29,salary
R00517,A0114,1771693980000,37.59,travel
R00417,A0022,1770790560000,24.28,grocery
R00569,A0002,1772113320000,9.92,rent
R00372,A0046,1770472860000,4.98,rent
R00570,A0085,1772118780000,16.58,other
R00503,A0094,1771568700000,34.7,grocery
R00349,A0085,1770310260000,9.61,grocery
R00353,A0008,1770338100000,74.1,salary
R00412,A0035,1770764880000,9.67,rent
R00498,A0055,1771534140000,31.71,salary
R00586,A0034,1772293620000,41.95,other
R00535,A0007,1771837320000,41.87,rent
R00424,A0102,1770873120000,4.5,other
R00584,A0012,1772277720000,24.09,grocery
R00419,A0067,1770827400000,15.21,salary
R00512,A0018,1771665060000,16.67,travel
R00354,A0033,1770348060000,61.39,travel
R00442,A0109,1771023660000,31.09,other
R00531,A0063,1771801260000,26.86,rent
R00378,A0021,1770513240000,6.46,other
R00392,A0043,1770592980000,22.11,grocery
R00393,A0070,1770596520000,19.27,grocery
R00580,A0020,1772253420000,6.38,rent
R00331,A0051,1770184920000,27.68,salary
R00357,A0110,1770366300000,21.36,rent
R00513,A0061,1771674360000,171.4,salary
R00504,A0022,1771571640000,11.59,other
R00518,A0045,1771711440000,31.39,salary
R00391,A0005,1770583980000,60.93,grocery
R00352,A0055,1770336600000,16.75,grocery
R00588,A0083,1772295540000,10.75,other
R00553,A0011,1771949400000,21.61,travel
R00499,A0036,1771540680000,43.42,grocery
R00590,A0066,1772324520000,21.48,travel
R00545,A0079,1771906620000,16.05,other
R00541,A0066,1771865700000,48.38,grocery
R00594,A0101,1772380200000,8.81,grocery
R00462,A0071,1771228560000,13.36,grocery
